dimension,value,count,share_of_wave_c
run_profile,spot_long,212,0.921739
run_profile,futures_long_short,14,0.060870
run_profile,futures_long,3,0.013043
run_profile,unknown,1,0.004348
source_repo,PeetCrypto/freqtrade-stuff,100,0.434783
source_repo,davidzr/freqtrade-strategies,30,0.130435
source_repo,TheoBrigitte/freqtrade,26,0.113043
source_repo,markdregan/FreqAI-Marcos-Lopez-De-Prado,23,0.100000
source_repo,jaredrsommer/freqtradestrategies,13,0.056522
source_repo,mlsys-io/PortfolioBench,9,0.039130
source_repo,ShahAnuj2610/my-freqtrade,4,0.017391
source_repo,nateemma/strategies,4,0.017391
source_repo,Foxel05/freqtrade-stuff,3,0.013043
source_repo,MelvynClark/Freqtrade-Strategy,3,0.013043
source_repo,DonaldSimpson/remora-freqtrade,2,0.008696
source_repo,werkkrew/freqtrade-strategies,2,0.008696
source_repo,DutchCryptoDad/FreqtradeBotStrategyDevelopmentForBeginners,1,0.004348
source_repo,HeyMrRobot/Freqtrade-Adaptive-Renko-Strategy,1,0.004348
source_repo,MMR-19/freqtrade-strategies,1,0.004348
source_repo,Mohamed-sm/Freqtrade-RLStrategy-IA,1,0.004348
source_repo,TomtomEh/freqtrade-websocket,1,0.004348
source_repo,botenesp/freqtrade_strategies,1,0.004348
source_repo,flaviosiotto/freqtrade-strategy,1,0.004348
source_repo,iterativv/NostalgiaForInfinity,1,0.004348
source_repo,jerome-benoit/freqai-strategies,1,0.004348
source_repo,keithorange/FreqTradeCustomOrders,1,0.004348
source_repo,obseries/freqtrade-strategy-ichiv1,1,0.004348
execution_timeframe,5m,108,0.469565
execution_timeframe,<missing>,33,0.143478
execution_timeframe,1h,26,0.113043
execution_timeframe,15m,16,0.069565
execution_timeframe,3m,13,0.056522
execution_timeframe,4h,13,0.056522
execution_timeframe,1m,8,0.034783
execution_timeframe,30m,5,0.021739
execution_timeframe,1d,4,0.017391
execution_timeframe,12h,1,0.004348
execution_timeframe,1w,1,0.004348
execution_timeframe,2h,1,0.004348
execution_timeframe,5h,1,0.004348
artifact_role,strategy,218,0.947826
artifact_role,test_candidate,9,0.039130
artifact_role,template_candidate,3,0.013043
canonical_population,original,181,0.786957
canonical_population,repaired,49,0.213043
repair_class,<missing>,181,0.786957
repair_class,class2,49,0.213043
equivalence_status,not_applicable,181,0.786957
equivalence_status,strict_equivalent,49,0.213043
runtime_smoke_status,not_run,213,0.926087
runtime_smoke_status,failed,17,0.073913
classification_status,provisional,207,0.900000
classification_status,review,23,0.100000
taxonomy_logic,trend_following,106,0.460870
taxonomy_logic,unclear,41,0.178261
taxonomy_logic,ml_freqai,30,0.130435
taxonomy_logic,momentum,17,0.073913
taxonomy_logic,volatility,16,0.069565
taxonomy_logic,mean_reversion,14,0.060870
taxonomy_logic,hybrid,5,0.021739
taxonomy_logic,breakout,1,0.004348
taxonomy_complexity,simple,118,0.513043
taxonomy_complexity,complex,60,0.260870
taxonomy_complexity,moderate,52,0.226087
