strategy_id,implementation_id,canonical_sha256,recovery_startup_candle_count,recovery_state,derivation_basis
ASDTSRockwellTrading,ASDTSRockwellTrading:a8bfcc43a306,sha256_a8bfcc43a306c293e0b774c4b1dd534bf380f962fa0a4f1e332a0b491bd5a969,34,recovery_frozen,TA-Lib default MACD 12/26/9 complete nominal lookback
BinHV45,BinHV45:dad74375f7b6,sha256_dad74375f7b6746a8003d047f6bebee2929f1d0258651cb71295aae3abe0ad2e,40,recovery_frozen,canonical corpus static audit longest literal indicator period 40
Macd,Macd:446ed2df0ec1,sha256_446ed2df0ec1dfe061d36f061db5b48e3d13ad94fd643b3d05d4896954003628,816,recovery_frozen,34 daily MACD candles converted to 24 hourly base candles each
AwesomeMacd,AwesomeMacd:cd96564fec14,sha256_cd96564fec14589a8d58c78a9cdf55da29161ef6cb9e819fd225bc412e57eede,34,recovery_frozen,TA-Lib default MACD 12/26/9 complete nominal lookback
MACDStrategyADA,MACDStrategyADA:10fe039bf4c0,sha256_10fe039bf4c0b26084e180ae8c6895a56c5286283f1cc5c733fb9f0d457cd493,34,recovery_frozen,TA-Lib default MACD 12/26/9 dominates default CCI 14
MACDStrategyAVAX,MACDStrategyAVAX:99caf98ab9bd,sha256_99caf98ab9bd8ba5ea0fb1ed676f284b736526d0a1c6fadd6062bd06b9120e29,34,recovery_frozen,TA-Lib default MACD 12/26/9 dominates default CCI 14
MACDStrategyBTC,MACDStrategyBTC:0f82e3251478,sha256_0f82e3251478757520ad3736e1d2fc81b14f24e48bc5369611b4c164b98d0237,34,recovery_frozen,TA-Lib default MACD 12/26/9 dominates default CCI 14
MACDStrategyENJ,MACDStrategyENJ:f81a4ca780d7,sha256_f81a4ca780d73aca17377ff07d699c5d680a6ddb49e38352b928fc1fad8dfa7d,34,recovery_frozen,TA-Lib default MACD 12/26/9 dominates default CCI 14
MACDStrategyETC,MACDStrategyETC:0a33db88c825,sha256_0a33db88c825b23a53bb2224922011ea9e7ae71aff29d7a07d5a6b85119bb50c,34,recovery_frozen,TA-Lib default MACD 12/26/9 dominates default CCI 14
MACDStrategySOL,MACDStrategySOL:72005a2d344a,sha256_72005a2d344a587ba56576576664bef32c8eb7c4d76bd7f20b487849c7c6a8a2,34,recovery_frozen,TA-Lib default MACD 12/26/9 dominates default CCI 14
MACDStrategyXRP,MACDStrategyXRP:1d2e080ab020,sha256_1d2e080ab020a0d66ba0db880d48c026a61711772effbdf600bae1d3e0c09f0c,34,recovery_frozen,TA-Lib default MACD 12/26/9 dominates default CCI 14
ReinforcedSmoothScalp,ReinforcedSmoothScalp:583e7138ae98,sha256_583e7138ae98ed75b200ea447193f6594f4616b27bd9fdd48546d7b13cf94fd0,20,recovery_frozen,canonical corpus static audit longest literal indicator period 20
SimpleHopt,SimpleHopt:d55cca4892b5,sha256_d55cca4892b5bd7cbfb19c5e318e98b6f9a3d175f9d5a95e10b1c30a0d799f7d,12,recovery_frozen,canonical corpus static audit longest literal indicator period 12
BinHV45_kanaxe,BinHV45_kanaxe:3de55f927af3,sha256_3de55f927af3e2ead320718bc308a4a20caaecee5255169cf7f9a173cb9ebeb3,40,recovery_frozen,literal rolling Bollinger window_size 40
BinHV45_stash,BinHV45_stash:37a6a89a6302,sha256_37a6a89a6302a13818680edd27ee1494d4758aa8110abd90f348e11ba20d7feb,40,recovery_frozen,literal rolling Bollinger window_size 40
BinHV45_werkkrew,BinHV45_werkkrew:379b5bd8faf9,sha256_379b5bd8faf969db26b0f2b424ed0cffb10cbc4b19c752da79412dbf72bff62b,40,recovery_frozen,literal rolling Bollinger window_size 40
Freqtrade_backtest_validation_freqtrade1,Freqtrade_backtest_validation_freqtrade1:758d3730e57c,sha256_758d3730e57c7337f988ac68420d8140a0bff72d99fa9182017cd1f8b160c869,28,recovery_frozen,canonical corpus static audit longest literal indicator period 28
Bandtastic,Bandtastic:a4536c793bf4,sha256_a4536c793bf49fb82dbaa508b0c126c5884e0eed6749b145313374228af28704,20,recovery_frozen,canonical corpus static audit longest literal indicator period 20
