strategy_id,run_profile,timeframe,coverage_status,coverage_evidence,window_start,window_end_exclusive,required_pairs,complete_pairs,availability_limited_pairs,missing_files,edge_failures,auxiliary_failures,pair_specific_gaps,synchronized_gaps,duplicate_candles,source_fingerprint
RegimeFilterStrategy,futures_long_short,1h,PASS,policy=1;mode=futures;timeframe=1h;complete=8/8;availability_limited=0;sync_gaps=0;pair_gaps=0;aux_failures=0;duplicates=0,2020-03-01T00:00:00Z,2026-08-21T00:00:00Z,8,8,,,,,0,0,0,sha256_7df5dfd7a4b47765024bf7db5b8447fd3b7a7913de3bdbddd2b136132bac1d55
AdvancedRiskFilterStrategy,spot_long,5m,PASS,policy=1;mode=spot;timeframe=5m;complete=8/8;availability_limited=1;sync_gaps=13;pair_gaps=0;aux_failures=0;duplicates=0,2020-03-01T00:00:00Z,2026-08-21T00:00:00Z,8,8,XMR/USDT,,,,0,13,0,sha256_e8d28cd87065e2c4fddc76d0370ed6ddf67047ffb0a8bbd02f4139488617d93b
SimpleRiskFilterStrategy,spot_long,5m,PASS,policy=1;mode=spot;timeframe=5m;complete=8/8;availability_limited=1;sync_gaps=13;pair_gaps=0;aux_failures=0;duplicates=0,2020-03-01T00:00:00Z,2026-08-21T00:00:00Z,8,8,XMR/USDT,,,,0,13,0,sha256_e8d28cd87065e2c4fddc76d0370ed6ddf67047ffb0a8bbd02f4139488617d93b
MacdStrategy,spot_long,1d,PASS,policy=1;mode=spot;timeframe=1d;complete=8/8;availability_limited=1;sync_gaps=0;pair_gaps=0;aux_failures=0;duplicates=0,2020-03-01T00:00:00Z,2026-08-21T00:00:00Z,8,8,XMR/USDT,,,,0,0,0,sha256_e606ca78497360fc0ec1042bb6ffe7a553818da8fe41f9ff04e1b6ca510a956a
MyStrategyTemplate,spot_long,5m,PASS,policy=1;mode=spot;timeframe=5m;complete=8/8;availability_limited=1;sync_gaps=13;pair_gaps=0;aux_failures=0;duplicates=0,2020-03-01T00:00:00Z,2026-08-21T00:00:00Z,8,8,XMR/USDT,,,,0,13,0,sha256_e8d28cd87065e2c4fddc76d0370ed6ddf67047ffb0a8bbd02f4139488617d93b
SmaRsiStrategy,spot_long,1d,PASS,policy=1;mode=spot;timeframe=1d;complete=8/8;availability_limited=1;sync_gaps=0;pair_gaps=0;aux_failures=0;duplicates=0,2020-03-01T00:00:00Z,2026-08-21T00:00:00Z,8,8,XMR/USDT,,,,0,0,0,sha256_e606ca78497360fc0ec1042bb6ffe7a553818da8fe41f9ff04e1b6ca510a956a
SampleStrategy,spot_long,5m,PASS,policy=1;mode=spot;timeframe=5m;complete=8/8;availability_limited=1;sync_gaps=13;pair_gaps=0;aux_failures=0;duplicates=0,2020-03-01T00:00:00Z,2026-08-21T00:00:00Z,8,8,XMR/USDT,,,,0,13,0,sha256_e8d28cd87065e2c4fddc76d0370ed6ddf67047ffb0a8bbd02f4139488617d93b
ASDTSRockwellTrading,spot_long,5m,PASS,policy=1;mode=spot;timeframe=5m;complete=8/8;availability_limited=1;sync_gaps=13;pair_gaps=0;aux_failures=0;duplicates=0,2020-03-01T00:00:00Z,2026-08-21T00:00:00Z,8,8,XMR/USDT,,,,0,13,0,sha256_e8d28cd87065e2c4fddc76d0370ed6ddf67047ffb0a8bbd02f4139488617d93b
BBRSI,spot_long,,PENDING,unsupported_or_unknown_profile,2020-03-01T00:00:00Z,2026-08-21T00:00:00Z,0,0,,,,,,,,
BigZ04_TSL4,spot_long,5m,PASS,policy=1;mode=spot;timeframe=5m;complete=8/8;availability_limited=1;sync_gaps=13;pair_gaps=0;aux_failures=0;duplicates=0,2020-03-01T00:00:00Z,2026-08-21T00:00:00Z,8,8,XMR/USDT,,,,0,13,0,sha256_e8d28cd87065e2c4fddc76d0370ed6ddf67047ffb0a8bbd02f4139488617d93b
BinHV45,spot_long,1m,PASS,policy=1;mode=spot;timeframe=1m;complete=8/8;availability_limited=1;sync_gaps=13;pair_gaps=0;aux_failures=0;duplicates=0,2020-03-01T00:00:00Z,2026-08-21T00:00:00Z,8,8,XMR/USDT,,,,0,13,0,sha256_abb17c3c2a1a410057e1351508eeebdd41b095e316f737ad57de215036a3c3e3
