strategy,repo,implementation_id,run_profile,provenance,repair_class,eligibility_status,direction,logic,speed,complexity,exit_style,dca,informative,timeframe,stoploss,regime_hypothesis,measured,dropped_at,os_total,os_market,beats_bh,os_trades,indicators
RegimeFilterStrategy,Bananajoexxc/RegimeFilterStrategy-Freqtrade,RegimeFilterStrategy:11c48354d533,futures_long_short,original,,eligible,long_short,trend_following,intraday,simple,roi,False,False,1h,-0.05,bear+range,True,G0_measured,,,,,EMA|SMA
AdvancedRiskFilterStrategy,DonaldSimpson/remora-freqtrade,AdvancedRiskFilterStrategy:bcb660284ad4,spot_long,original,,ineligible,long_only,unclear,scalp,simple,roi,True,False,5m,-0.1,undetermined,False,G0_measured,,,,,
SimpleRiskFilterStrategy,DonaldSimpson/remora-freqtrade,SimpleRiskFilterStrategy:349288612da4,spot_long,original,,ineligible,long_only,unclear,scalp,simple,signal_only,False,False,5m,,undetermined,False,G0_measured,,,,,
MacdStrategy,DutchCryptoDad/FreqtradeBotStrategyDevelopmentForBeginners,MacdStrategy:e06777de204f,spot_long,original,,eligible,long_only,momentum,position,simple,roi,False,False,1d,-0.1,bull,True,G2_is_pos,237.07,352.61,False,351,MACD
MyStrategyTemplate,DutchCryptoDad/FreqtradeBotStrategyDevelopmentForBeginners,MyStrategyTemplate:2a53430c587a,spot_long,original,,ineligible,long_only,unclear,scalp,simple,roi,False,False,5m,-0.1,undetermined,False,G0_measured,,,,,
SmaRsiStrategy,DutchCryptoDad/FreqtradeBotStrategyDevelopmentForBeginners,SmaRsiStrategy:d2d0c1e93cee,spot_long,original,,ineligible,long_only,hybrid,position,simple,roi,False,False,1d,-0.1,undetermined,True,G3_is_sig,361.48,352.61,True,490,RSI|SMA
SampleStrategy,DutchCryptoDad/FreqtradeBotStrategyDevelopmentForBeginners,SampleStrategy:3ec261a86d86,spot_long,original,,ineligible,long_only,volatility,scalp,simple,roi,False,True,5m,-0.1,high_vol,True,G2_is_pos,-96.76,346.34,False,9619,ADX|MACD|MFI|RSI|SAR|STOCHF|TEMA|bollinger_bands
ASDTSRockwellTrading,Foxel05/freqtrade-stuff,ASDTSRockwellTrading:a8bfcc43a306,spot_long,original,,ineligible,long_only,momentum,scalp,simple,roi,False,False,5m,-0.3,bull,True,G2_is_pos,-96.57,346.34,False,13654,MACD
BBRSI,Foxel05/freqtrade-stuff,BBRSI:8a5058ea5a2e,spot_long,original,,ineligible,long_only,mean_reversion,unknown,simple,roi,False,False,,-0.3639404146663022,range,False,G0_measured,,,,,RSI|bollinger_bands
BigZ04_TSL4,Foxel05/freqtrade-stuff,BigZ04_TSL4:51f93fa45411,spot_long,original,,eligible,long_only,trend_following,scalp,moderate,custom+roi,False,True,5m,-0.99,bull,True,G2_is_pos,-71.49,346.34,False,1277,ATR|EMA|MACD|RSI|SMA|bollinger_bands
BinHV45,Foxel05/freqtrade-stuff,BinHV45:dad74375f7b6,spot_long,original,,ineligible,long_only,volatility,scalp,simple,roi,False,False,1m,-0.05,high_vol,True,G2_is_pos,-27.83,347.94,False,626,bollinger_bands
Combined_NFIv7_SMA,Foxel05/freqtrade-stuff,Combined_NFIv7_SMA:cc7aa357999a,spot_long,original,,ineligible,long_only,trend_following,scalp,complex,custom+trailing+roi,False,True,5m,-0.99,bull,True,G7_recursive,188.0,346.34,False,698,EMA|MFI|RSI|SMA|bollinger_bands|zema
Dimond,Foxel05/freqtrade-stuff,Dimond:4376ba0fb9f4,spot_long,repaired,class1,ineligible,long_only,trend_following,scalp,simple,trailing+roi,False,False,5m,-0.241,bull,True,G0_measured,,,,,SMA
ElliotV7,Foxel05/freqtrade-stuff,ElliotV7:33e3212d178f,spot_long,original,,ineligible,long_only,trend_following,scalp,moderate,custom+trailing+roi,False,True,5m,-0.32,bull,True,G6_lookahead,51.53,346.34,False,442,EMA|MACD|RSI|SMA|bollinger_bands
Elliotv8,Foxel05/freqtrade-stuff,Elliotv8:8881381c69d4,spot_long,original,,ineligible,long_only,trend_following,scalp,moderate,trailing+roi,False,True,5m,-0.32,bull,True,G6_lookahead,80.17,346.34,False,500,EMA|RSI|SMA
ElliotV8_original_ichiv3,Foxel05/freqtrade-stuff,ElliotV8_original_ichiv3:348d96d3ab08,spot_long,original,,ineligible,long_only,trend_following,scalp,moderate,trailing+roi,False,True,5m,-0.08,bull,True,G3_is_sig,89.0,346.34,False,1215,EMA|RSI|SMA
Inverse,Foxel05/freqtrade-stuff,Inverse:28baa0e82861,spot_long,original,,ineligible,long_only,trend_following,intraday,moderate,trailing+roi,False,True,1h,-0.2,bull,True,G3_is_sig,30.78,348.67,False,2021,ADX|ATR|CCI|EMA|MINUS_DI|PLUS_DI|WMA
InverseV2,Foxel05/freqtrade-stuff,InverseV2:cff8f7be447a,spot_long,original,,ineligible,long_only,trend_following,intraday,moderate,trailing+roi,False,True,1h,-0.2,bull,True,G3_is_sig,32.29,348.67,False,791,ADX|ATR|CCI|EMA|MINUS_DI|PLUS_DI|WMA
MacheteV8b,Foxel05/freqtrade-stuff,MacheteV8b:03e93809d877,spot_long,original,,ineligible,long_only,trend_following,intraday,complex,custom+roi,False,True,15m,-0.1,bull,False,G0_measured,,,,,ADX|ATR|CCI|EMA|MACD|MINUS_DI|MOM|PLUS_DI|ROC|RSI|SAR|SMA|STOCHF|TEMA|bollinger_bands|ichimoku|zema
MultiMA_TSL,Foxel05/freqtrade-stuff,MultiMA_TSL:7e8f8a956c7f,spot_long,original,,ineligible,long_only,trend_following,scalp,moderate,custom+roi,False,True,5m,-0.15,bull,False,G0_measured,,,,,EMA|RSI|TRIMA|zema
MultiOffsetLamboV0,Foxel05/freqtrade-stuff,MultiOffsetLamboV0:e23c904ac28e,spot_long,original,,ineligible,long_only,trend_following,scalp,moderate,roi,False,True,5m,-0.5,bull,True,G1_trades,33.84,346.34,False,174,EMA
NASOSv4,Foxel05/freqtrade-stuff,NASOSv4:95f4a4295729,spot_long,original,,ineligible,long_only,trend_following,scalp,moderate,custom+trailing+roi,False,True,5m,-0.15,bull,True,G6_lookahead,235.25,346.34,False,1093,EMA|RSI|SMA
Nostalgia,Foxel05/freqtrade-stuff,Nostalgia:e471c36ab08b,spot_long,original,,ineligible,long_only,trend_following,scalp,complex,custom+roi,False,True,5m,-0.99,bull,True,G2_is_pos,107.43,346.34,False,609,EMA|MFI|RSI|SMA|STOCHRSI|WMA|bollinger_bands|vwma|williams_r|zema
NostalgiaForInfinityNext,Foxel05/freqtrade-stuff,NostalgiaForInfinityNext:6699a897dded,spot_long,repaired,class2,ineligible,long_only,trend_following,scalp,complex,custom+roi,False,True,5m,-0.99,bull,False,G0_measured,,,,,ATR|CCI|DEMA|EMA|MFI|ROC|RSI|SMA|STOCHRSI|T3|TEMA|WMA|bollinger_bands|ichimoku|vwma|williams_r|zema
NostalgiaForInfinityV5MultiOffsetAndHO,Foxel05/freqtrade-stuff,NostalgiaForInfinityV5MultiOffsetAndHO:c45e11c692e5,spot_long,original,,ineligible,long_only,volatility,scalp,moderate,custom+roi,False,True,5m,-0.99,high_vol,True,G3_is_sig,125.27,346.34,False,1410,EMA|MFI|RSI|SMA|bollinger_bands
