# path	strategy_id	base_strategy_id
Kureshi25_cryptobot/user_data/strategies/AdaptiveRegimeLong.py	AdaptiveRegimeLong	AdaptiveRegime
LazyPigPig_freqtrade-grid/tests/strategy/strats/broken_strats/broken_futures_strategies.py	TestStrategyNoImplementSell	TestStrategyNoImplements
LazyPigPig_freqtrade-grid/tests/strategy/strats/strategy_test_v3.py	StrategyTestV3Futures	StrategyTestV3
MMR-19_freqtrade-strategies/strategies/EI3v2_tag_cofi_green.py	EI3v2_tag_cofi_dca_green	EI3v2_tag_cofi_green
PeetCrypto_freqtrade-stuff/Apollo11_TB_MOD_TranZ.py	UziChanTB2	Apollo11
PeetCrypto_freqtrade-stuff/BBRSITV.py	BBRSITV1	BBRSITV
PeetCrypto_freqtrade-stuff/BBRSITV.py	BBRSITV2	BBRSITV
PeetCrypto_freqtrade-stuff/BBRSITV.py	BBRSITV3	BBRSITV
PeetCrypto_freqtrade-stuff/BBRSITV.py	BBRSITV4	BBRSITV
PeetCrypto_freqtrade-stuff/BBRSITV.py	BBRSITV5	BBRSITV
PeetCrypto_freqtrade-stuff/BB_RPB_TSL.py	BB_RPB_TSL_Trailing	BB_RPB_TSL
PeetCrypto_freqtrade-stuff/BB_RPB_TSL_RNG_TBS.py	TrailingBuyStrat2	BB_RPB_TSL_RNG_TBS
PeetCrypto_freqtrade-stuff/BinClucMadSMACore.py	BinClucMadSMAv1	CoreStrategy
PeetCrypto_freqtrade-stuff/BinClucMadSMACore.py	BinClucMadSMAv2	CoreStrategy
PeetCrypto_freqtrade-stuff/BinClucMadSMACore.py	BinClucMadv1	CoreStrategy
PeetCrypto_freqtrade-stuff/BinClucMadSMACore.py	BinClucMadv2	CoreStrategy
PeetCrypto_freqtrade-stuff/Cluc4werk.py	Cluc4werk_ETH	Cluc4werk
PeetCrypto_freqtrade-stuff/Cluc5werk.py	Cluc5werk_BTC	Cluc5werk
PeetCrypto_freqtrade-stuff/Cluc5werk.py	Cluc5werk_ETH	Cluc5werk
PeetCrypto_freqtrade-stuff/Cluc5werk.py	Cluc5werk_USD	Cluc5werk
PeetCrypto_freqtrade-stuff/ClucCrypROI.py	ClucCrypROI_BTC	ClucCrypROI
PeetCrypto_freqtrade-stuff/ClucCrypROI.py	ClucCrypROI_ETH	ClucCrypROI
PeetCrypto_freqtrade-stuff/ClucCrypSlow (1).py	ClucCrypSlow_BTC	ClucCrypSlow
PeetCrypto_freqtrade-stuff/ClucCrypSlow (1).py	ClucCrypSlow_ETH	ClucCrypSlow
PeetCrypto_freqtrade-stuff/ClucHAnix (3).py	ClucHAnix_BTC	ClucHAnix
PeetCrypto_freqtrade-stuff/ClucHAnix (3).py	ClucHAnix_ETH	ClucHAnix
PeetCrypto_freqtrade-stuff/ClucHAnix (3).py	ClucHAnix_USD	ClucHAnix
PeetCrypto_freqtrade-stuff/ClucHAnix 5m trailbuy2 + BBRSIV5 offsets.py	ClucHAnix_5mTB1	ClucHAnix_5m1
PeetCrypto_freqtrade-stuff/ClucHAnix_BB_RPB_MOD_E0V1E_DYNAMIC_TB (1).py	ClucHAnix_BB_RPB_MOD2_ROI_DYNAMIC_TB	ClucHAnix5m
PeetCrypto_freqtrade-stuff/ClucHAnix_hhll (1).py	ClucHAnix_hhll_TB	ClucHAnix_hhll
PeetCrypto_freqtrade-stuff/ClucHAwerk.py	ClucHAwerk_BTC	ClucHAwerk
PeetCrypto_freqtrade-stuff/ClucHAwerk.py	ClucHAwerk_ETH	ClucHAwerk
PeetCrypto_freqtrade-stuff/ClucHAwerk.py	ClucHAwerk_USD	ClucHAwerk
PeetCrypto_freqtrade-stuff/MiniLambo (2).py	MiniLambo_TBS	MiniLambo
PeetCrypto_freqtrade-stuff/MultiMA_TSL.py	MultiMA_TSL3a	MultiMA_TSL3
PeetCrypto_freqtrade-stuff/NASOSv5_antipump.py	NASOSv5_antipump	NASOSv5
PeetCrypto_freqtrade-stuff/NASOSv5_mod1 (1).py	NASOSv5HO	NASOSv5_mod1
PeetCrypto_freqtrade-stuff/NASOSv5_mod1 (1).py	NASOSv5PD	NASOSv5_mod1
PeetCrypto_freqtrade-stuff/NASOSv5_mod1 (1).py	NASOSv5SL	NASOSv5_mod1
PeetCrypto_freqtrade-stuff/NASOSv5_mod1 (1).py	TrailingBuyStrat	NASOSv5_mod1
PeetCrypto_freqtrade-stuff/OBOnlyWSv2bband.py	OBOnlyWSv2bband	BinanceStream
PeetCrypto_freqtrade-stuff/SMAOffsetProtectOptV1Mod2_antipump (1).py	SMAOffsetProtectOptV1Mod2_antipump	SMAOffsetProtectOptV1Mod2
PeetCrypto_freqtrade-stuff/Schism-0318.py	Schism_BTC	Schism
PeetCrypto_freqtrade-stuff/Schism-0318.py	Schism_ETH	Schism
PeetCrypto_freqtrade-stuff/Schism-v1.3.py	Schism3_BTC	Schism3
PeetCrypto_freqtrade-stuff/Schism-v1.3.py	Schism3_ETH	Schism3
PeetCrypto_freqtrade-stuff/Schism-v1.4.py	Schism4_BTC	Schism4
PeetCrypto_freqtrade-stuff/Schism-v1.4.py	Schism4_ETH	Schism4
PeetCrypto_freqtrade-stuff/Schism-v1.5.py	Schism5_BTC	Schism5
PeetCrypto_freqtrade-stuff/Schism-v1.5.py	Schism5_ETH	Schism5
PeetCrypto_freqtrade-stuff/Schism-v1.6.py	Schism6_BTC	Schism6
PeetCrypto_freqtrade-stuff/Schism-v1.6.py	Schism6_ETH	Schism6
PeetCrypto_freqtrade-stuff/Schism-v2.py	Schism2_BTC	Schism2
PeetCrypto_freqtrade-stuff/Schism-v2.py	Schism2_ETH	Schism2
PeetCrypto_freqtrade-stuff/Solipsis-Con-v1.py	SolipsisCon_BTC	SolipsisCon
PeetCrypto_freqtrade-stuff/Solipsis-Con-v1.py	Solipsis_ETH	SolipsisCon
PeetCrypto_freqtrade-stuff/Solipsis-tradedbexp.py	Solipsis_BTC	Solipsis
PeetCrypto_freqtrade-stuff/Solipsis-v2.5.py	Solipsis5_BTC	Solipsis5
PeetCrypto_freqtrade-stuff/Solipsis-v2.5.py	Solipsis5_ETH	Solipsis5
PeetCrypto_freqtrade-stuff/Solipsis-v2.6.py	Solipsis6_BTC	Solipsis6
PeetCrypto_freqtrade-stuff/Solipsis-v2.6.py	Solipsis6_ETH	Solipsis6
PeetCrypto_freqtrade-stuff/Solipsis-v3.py	Solipsis3_BTC	Solipsis3
PeetCrypto_freqtrade-stuff/Solipsis-v3.py	Solipsis3_ETH	Solipsis3
PeetCrypto_freqtrade-stuff/SolipsisMM.py	SolipsisMM_BTC	SolipsisMM
PeetCrypto_freqtrade-stuff/SolipsisMM.py	SolipsisMM_ETH	SolipsisMM
PeetCrypto_freqtrade-stuff/Solipsis_v4.py	Solipsis4_BTC	Solipsis4
PeetCrypto_freqtrade-stuff/Solipsis_v4.py	Solipsis4_ETH	Solipsis4
PeetCrypto_freqtrade-stuff/Stinkfist.py	Stinkfist_BTC	Stinkfist
PeetCrypto_freqtrade-stuff/Stinkfist.py	Stinkfist_ETH	Stinkfist
PeetCrypto_freqtrade-stuff/SuperHV27.py	SuperHV27_BTC	SuperHV27
PeetCrypto_freqtrade-stuff/SuperHV27.py	SuperHV27_ETH	SuperHV27
PeetCrypto_freqtrade-stuff/TrailingBuySellStrat (1).py	TrailingBuySellStrat	YourStrat
PeetCrypto_freqtrade-stuff/TrailingBuyStratCluc.py	TrailingBuyStratCluc	ClucHAnix
PeetCrypto_freqtrade-stuff/TrailingBuyStratClucBBRPBMODE.py	TrailingBuyStratClucBBRPBMODE	ClucHAnix_BB_RPB_MOD
PeetCrypto_freqtrade-stuff/TrailingBuy_ClucHAnix_5m_E0V1E_by_TraNz (1).py	TrailingBuyStratCluc5m	ClucHAnix5m
PeetCrypto_freqtrade-stuff/Uptrend.py	SuperBuy	Uptrend
PeetCrypto_freqtrade-stuff/UziChan.py	UziChanTB	UziChan
PeetCrypto_freqtrade-stuff/tbedit (1).py	tbedit	NostalgiaForInfinityNext
PeetCrypto_freqtrade-stuff/vin.py	ViNBuyLc2	ViN
PeetCrypto_freqtrade-stuff/vin.py	ViNBuyPct	ViN
PeetCrypto_freqtrade-stuff/vin.py	ViNBuyPctLc2	ViN
PeetCrypto_freqtrade-stuff/vin.py	ViNBuyVws	ViN
PeetCrypto_freqtrade-stuff/vin.py	ViNSellCorr	ViN
PeetCrypto_freqtrade-stuff/vin.py	ViNSellEps	ViN
PeetCrypto_freqtrade-stuff/vin.py	ViNSellRiseCorrFall	ViN
PeetCrypto_freqtrade-stuff/vin.py	ViNSellRiseFall	ViN
Rikj000_MoniGoMani/user_data/strategies/MoniGoManiHyperStrategy.py	MoniGoManiHyperStrategy	MasterMoniGoManiHyperStrategy
ShahAnuj2610_my-freqtrade/user_data/strategies/BB_RPB_TSL_ClucHAnix_BB_RPB_MOD_CTT_Dynamic_Offsets_COMBINED_MOD_TraNz_1.py	ClucHAnix_BB_RPB_MOD_CTT_DTB	ClucHAnix_BB_RPB_MOD
ShahAnuj2610_my-freqtrade/user_data/strategies/BB_RTR.py	BB_RTR_dca	BB_RTR
ShahAnuj2610_my-freqtrade-nfi-nextgen/user_data/strategies/strat_dca.py	strat_dca	tbedit
TheoBrigitte_freqtrade/strategies/arima/ARIMA_5.py	ARIMA_5	ARIMASTR
TheoBrigitte_freqtrade/strategies/starrise/StarRise_V2.py	StarRise_V2	StarRise_strat
TheoBrigitte_freqtrade/strategies/starrise/StarRise_V3.py	StarRise_V3	StarRise_strat3
TomtomEh_freqtrade-websocket/user_data/strategies/CombinedBinHAndClucV4WS.py	CombinedBinHAndClucV4WS	BinanceStream
beanbocchi_money-generator/overlay/NFIX7Risk.py	NFIX7Risk	NostalgiaForInfinityX7
davidzr_freqtrade-strategies/strategies/BB_RPB_TSL_SMA_Tranz_TB_1_1_1/BB_RPB_TSL_SMA_Tranz_TB_1_1_1.py	BB_RPB_TSL_Tranz_TrailingBuy	BB_RPB_TSL_SMA_Tranz_TB_1_1_1
davidzr_freqtrade-strategies/strategies/ClucHAnix_BB_RPB_MOD_CTT/ClucHAnix_BB_RPB_MOD_CTT.py	ClucHAnix_BB_RPB_MOD_CTT_STB	ClucHAnix_BB_RPB_MOD_CTT
davidzr_freqtrade-strategies/strategies/ClucHAnix_BB_RPB_MOD_E0V1E_ROI/ClucHAnix_BB_RPB_MOD_E0V1E_ROI.py	ClucHAnix_BB_RPB_MOD_E0V1E_ROI_DYNAMIC_TB	ClucHAnix_BB_RPB_MOD_E0V1E_ROI
davidzr_freqtrade-strategies/strategies/SMAOffsetProtectOptV1_kkeue_20210619/SMAOffsetProtectOptV1_kkeue_20210619.py	SMAOffsetProtectOptV1_1	SMAOffsetProtectOptV1_kkeue_20210619
davidzr_freqtrade-strategies/strategies/custom/custom.py	SMAoffset_antipump_div	custom
djienne_YOUTUBE_STRATEGIES_FREQTRADE/Strategies/SuperReversal_mtf.py	SuperReversal_mtf_5min	SuperReversal_mtf
eovie_freqtrade_strs/ClucHAnix/ClucHAnix.py	ClucDCA	ClucHAnix
eovie_freqtrade_strs/ClucHAnix/ClucHAnix_5m.py	Cluc5mDCA	ClucHAnix_5m
keithorange_FreqTradeCustomOrders/ma_slope_strategy.py	MASlopeStrategy	FileLoadingStrategy
keithorange_FreqTradeCustomOrders/ma_stop_loss_strategy.py	MAStopLossStrategy	FileLoadingStrategy
keithorange_FreqTradeCustomOrders/ma_trailing_stop_strategy.py	MATrailingStopLossStrategy	FileLoadingStrategy
keithorange_FreqTradeCustomOrders/stop_loss_strategy.py	StopLossStrategy	FileLoadingStrategy
keithorange_FreqTradeCustomOrders/tp_activating_tsl_with_inital_tsl_strategy.py	TPActivatingTSLwithInitialTSLStrategy	FileLoadingStrategy
keithorange_FreqTradeCustomOrders/tp_activating_tsl_with_sl_strategy.py	TPActivatingTSLwithSLStrategy	FileLoadingStrategy
keithorange_FreqTradeCustomOrders/trailing_stop_loss_strategy.py	TrailingStopLossStrategy	FileLoadingStrategy
kemplail_freqtrade-stuff/strategies/StarRise.py	StarRise_dca	StarRise
markdregan_FreqAI-Marcos-Lopez-De-Prado/tests/strategy/strats/broken_strats/broken_futures_strategies.py	TestStrategyImplementBuyTimeout	TestStrategyNoImplementSell
markdregan_FreqAI-Marcos-Lopez-De-Prado/tests/strategy/strats/broken_strats/broken_futures_strategies.py	TestStrategyImplementCustomSell	TestStrategyNoImplementSell
markdregan_FreqAI-Marcos-Lopez-De-Prado/tests/strategy/strats/broken_strats/broken_futures_strategies.py	TestStrategyImplementSellTimeout	TestStrategyNoImplementSell
markdregan_FreqAI-Marcos-Lopez-De-Prado/tests/strategy/strats/hyperoptable_strategy.py	HyperoptableStrategy	StrategyTestV3
markdregan_FreqAI-Marcos-Lopez-De-Prado/tests/strategy/strats/hyperoptable_strategy_v2.py	HyperoptableStrategyV2	StrategyTestV2
markdregan_FreqAI-Marcos-Lopez-De-Prado/tests/strategy/strats/strategy_test_v3_custom_entry_price.py	StrategyTestV3CustomEntryPrice	StrategyTestV3
markdregan_FreqAI-Marcos-Lopez-De-Prado/user_data/strategies/LitmusBBStrategy.py	LitmusBBStrategy	LitmusSimpleStrategy
markdregan_FreqAI-Marcos-Lopez-De-Prado/user_data/strategies/LitmusBBTrendStrategy.py	LitmusBBTrendStrategy	LitmusSimpleStrategy
markdregan_FreqAI-Marcos-Lopez-De-Prado/user_data/strategies/LitmusClucStrategy.py	LitmusClucStrategy	LitmusSimpleStrategy
markdregan_FreqAI-Marcos-Lopez-De-Prado/user_data/strategies/LitmusSARStrategy.py	LitmusSARStrategy	LitmusSimpleStrategy
markdregan_FreqAI-Marcos-Lopez-De-Prado/user_data/strategies/LitmusScalpStrategy.py	LitmusScalpStrategy	LitmusSimpleStrategy
markdregan_FreqAI-Marcos-Lopez-De-Prado/user_data/strategies/LitmusTrendScalpStrategy.py	LitmusTrendScalpStrategy	LitmusSimpleStrategy
markdregan_FreqAI-Marcos-Lopez-De-Prado/user_data/strategies/LitmusVulcanStrategy.py	LitmusVulcanStrategy	LitmusSimpleStrategy
nateemma_strategies/Basket/BlendBasket.py	BlendBasket	BasketStrategy
nateemma_strategies/Basket/BuyHoldBasket.py	BuyHoldBasket	BasketStrategy
nateemma_strategies/Basket/ConstantMixBasket.py	ConstantMixBasket	BasketStrategy
nateemma_strategies/Basket/CppiBasket.py	CppiBasket	BasketStrategy
nateemma_strategies/Basket/InverseVolBasket.py	InverseVolBasket	BasketStrategy
nateemma_strategies/Basket/MinVarianceBasket.py	MinVarianceBasket	BasketStrategy
nateemma_strategies/Basket/MomentumBasket.py	MomentumBasket	BasketStrategy
nateemma_strategies/Basket/MomentumRegimeBasket15mFast.py	MomentumRegimeBasket15mFast	MomentumRegimeBasket15m
nateemma_strategies/Basket/VolTargetBasket.py	VolTargetBasket	BasketStrategy
nateemma_strategies/Framework/BaseNNStrategy.py	BaseNNStrategy	BaseStrategy
nateemma_strategies/Framework/test_base_strategy.py	_Strat	BaseStrategy
nateemma_strategies/SimpleStrategies/SimpleStrategy.py	SimpleStrategy	BaseStrategy
nateemma_strategies/TSPredict/TS_Coeff.py	TS_Coeff	TSPredict
nateemma_strategies/TSPredict/TS_Gain.py	TS_Gain	TSPredict
nateemma_strategies/TSPredict/TS_Wavelet.py	TS_Wavelet	TSPredict
phuchust_freqtrade_strategy/ClucHAnix_5M_E0V1E_DYNAMIC_TB.py	ClucHAnix_5M_E0V1E_DYNAMIC_TB	ClucHAnix_5M_E0V1E
thinkong_freqtradestrategies/user_data/strategies/BBMod.py	BBMod1DCA	BBMod
thinkong_freqtradestrategies/user_data/strategies/ClucHAnixV2.py	ClucDCAV2	ClucHAnixV2
thinkong_freqtradestrategies/user_data/strategies/dca_snippet.py	TrailingBuyStrat2a	YourStrat
titouannwtt_freqtrade-ultimate/tests/strategy/strats/broken_strats/broken_futures_strategies.py	TestStrategyImplementEmptyWorking	TestStrategyNoImplementSell
vaskosmihaylov_nfi-custom-strategies/user_data/strategies/Lmao/Lmao.py	LmaoStoplossClusterOpt	Lmao
webclinic017_strategies-freqtrade-/Anomaly/Anomaly_adx.py	Anomaly_adx	Anomaly
webclinic017_strategies-freqtrade-/Anomaly/Anomaly_all.py	Anomaly_all	Anomaly
webclinic017_strategies-freqtrade-/Anomaly/Anomaly_aroon.py	Anomaly_aroon	Anomaly
webclinic017_strategies-freqtrade-/Anomaly/Anomaly_bbw.py	Anomaly_bbw	Anomaly
webclinic017_strategies-freqtrade-/Anomaly/Anomaly_dwt.py	Anomaly_dwt	Anomaly
webclinic017_strategies-freqtrade-/Anomaly/Anomaly_fbb.py	Anomaly_fbb	Anomaly
webclinic017_strategies-freqtrade-/Anomaly/Anomaly_fwr.py	Anomaly_fwr	Anomaly
webclinic017_strategies-freqtrade-/Anomaly/Anomaly_highlow.py	Anomaly_highlow	Anomaly
webclinic017_strategies-freqtrade-/Anomaly/Anomaly_jump.py	Anomaly_jump	Anomaly
webclinic017_strategies-freqtrade-/Anomaly/Anomaly_macd.py	Anomaly_macd	Anomaly
webclinic017_strategies-freqtrade-/Anomaly/Anomaly_mfi.py	Anomaly_mfi	Anomaly
webclinic017_strategies-freqtrade-/Anomaly/Anomaly_minmax.py	Anomaly_minmax	Anomaly
webclinic017_strategies-freqtrade-/Anomaly/Anomaly_nseq.py	Anomaly_nseq	Anomaly
webclinic017_strategies-freqtrade-/Anomaly/Anomaly_over.py	Anomaly_over	Anomaly
webclinic017_strategies-freqtrade-/Anomaly/Anomaly_profit.py	Anomaly_profit	Anomaly
webclinic017_strategies-freqtrade-/Anomaly/Anomaly_pv.py	Anomaly_pv	Anomaly
webclinic017_strategies-freqtrade-/Anomaly/Anomaly_slope.py	Anomaly_slope	Anomaly
webclinic017_strategies-freqtrade-/Anomaly/Anomaly_smooth.py	Anomaly_smooth	Anomaly
webclinic017_strategies-freqtrade-/Anomaly/Anomaly_stochastic.py	Anomaly_stochastic	Anomaly
webclinic017_strategies-freqtrade-/Anomaly/Anomaly_swing.py	Anomaly_swing	Anomaly
webclinic017_strategies-freqtrade-/NNPredict/NNPredict_AdditiveAttention.py	NNPredict_AdditiveAttention	NNPredict
webclinic017_strategies-freqtrade-/NNPredict/NNPredict_Attention.py	NNPredict_Attention	NNPredict
webclinic017_strategies-freqtrade-/NNPredict/NNPredict_CNN.py	NNPredict_CNN	NNPredict
webclinic017_strategies-freqtrade-/NNPredict/NNPredict_GRU.py	NNPredict_GRU	NNPredict
webclinic017_strategies-freqtrade-/NNPredict/NNPredict_LSTM.py	NNPredict_LSTM	NNPredict
