strategy_id,run_profile,timeframe,coverage_status,coverage_evidence,window_start,window_end_exclusive,required_pairs,complete_pairs,availability_limited_pairs,missing_files,edge_failures,auxiliary_failures,pair_specific_gaps,synchronized_gaps,duplicate_candles,source_fingerprint
ExampleLSTMStrategy,futures_long_short,15m,PASS,policy=1;mode=futures;timeframe=15m;complete=8/8;availability_limited=0;sync_gaps=0;pair_gaps=0;aux_failures=0;duplicates=0,2020-03-01T00:00:00Z,2026-08-21T00:00:00Z,8,8,,,,,0,0,0,sha256_c889277dd601187b878ad59fa20d28c14b14afa30846ede214f5e9c743ce8229
AlexStrategyFinalV8,futures_long_short,1h,PASS,policy=1;mode=futures;timeframe=1h;complete=8/8;availability_limited=0;sync_gaps=0;pair_gaps=0;aux_failures=0;duplicates=0,2020-03-01T00:00:00Z,2026-08-21T00:00:00Z,8,8,,,,,0,0,0,sha256_0bd27a27c684552948cd4702cb88387ba9fc68a949dcc0f6034a9cc4e7d957d6
AlexStrategyFinalV8Hyper,futures_long_short,1h,PASS,policy=1;mode=futures;timeframe=1h;complete=8/8;availability_limited=0;sync_gaps=0;pair_gaps=0;aux_failures=0;duplicates=0,2020-03-01T00:00:00Z,2026-08-21T00:00:00Z,8,8,,,,,0,0,0,sha256_0bd27a27c684552948cd4702cb88387ba9fc68a949dcc0f6034a9cc4e7d957d6
AlexStrategyFinalV9,futures_long_short,1h,PASS,policy=1;mode=futures;timeframe=1h;complete=8/8;availability_limited=0;sync_gaps=0;pair_gaps=0;aux_failures=0;duplicates=0,2020-03-01T00:00:00Z,2026-08-21T00:00:00Z,8,8,,,,,0,0,0,sha256_0bd27a27c684552948cd4702cb88387ba9fc68a949dcc0f6034a9cc4e7d957d6
AlexStrategyFinalV9Hyper,futures_long_short,1h,PASS,policy=1;mode=futures;timeframe=1h;complete=8/8;availability_limited=0;sync_gaps=0;pair_gaps=0;aux_failures=0;duplicates=0,2020-03-01T00:00:00Z,2026-08-21T00:00:00Z,8,8,,,,,0,0,0,sha256_0bd27a27c684552948cd4702cb88387ba9fc68a949dcc0f6034a9cc4e7d957d6
FreqaiExampleHybridStrategy,futures_long_short,3m,PASS,policy=1;mode=futures;timeframe=3m;complete=8/8;availability_limited=0;sync_gaps=0;pair_gaps=0;aux_failures=0;duplicates=0,2020-03-01T00:00:00Z,2026-08-21T00:00:00Z,8,8,,,,,0,0,0,sha256_7ef23f6a54ad87c0b8a43495d850d1a11039008f572bcbe7ddd643e2b2314c59
FreqaiExampleStrategy,futures_long_short,3m,PASS,policy=1;mode=futures;timeframe=3m;complete=8/8;availability_limited=0;sync_gaps=0;pair_gaps=0;aux_failures=0;duplicates=0,2020-03-01T00:00:00Z,2026-08-21T00:00:00Z,8,8,,,,,0,0,0,sha256_7ef23f6a54ad87c0b8a43495d850d1a11039008f572bcbe7ddd643e2b2314c59
SampleStrategy,spot_long,5m,PASS,policy=1;mode=spot;timeframe=5m;complete=8/8;availability_limited=1;sync_gaps=13;pair_gaps=0;aux_failures=0;duplicates=0,2020-03-01T00:00:00Z,2026-08-21T00:00:00Z,8,8,XMR/USDT,,,,0,13,0,sha256_e8d28cd87065e2c4fddc76d0370ed6ddf67047ffb0a8bbd02f4139488617d93b
RegimeFilterStrategy,futures_long_short,1h,PASS,policy=1;mode=futures;timeframe=1h;complete=8/8;availability_limited=0;sync_gaps=0;pair_gaps=0;aux_failures=0;duplicates=0,2020-03-01T00:00:00Z,2026-08-21T00:00:00Z,8,8,,,,,0,0,0,sha256_0bd27a27c684552948cd4702cb88387ba9fc68a949dcc0f6034a9cc4e7d957d6
AdvancedRiskFilterStrategy,spot_long,5m,PASS,policy=1;mode=spot;timeframe=5m;complete=8/8;availability_limited=1;sync_gaps=13;pair_gaps=0;aux_failures=0;duplicates=0,2020-03-01T00:00:00Z,2026-08-21T00:00:00Z,8,8,XMR/USDT,,,,0,13,0,sha256_e8d28cd87065e2c4fddc76d0370ed6ddf67047ffb0a8bbd02f4139488617d93b
