repo,local_kind,local_only_patch_commit,local_sha,local_date,remote_default_branch,remote_head_sha,remote_pushed_at,remote_status,ahead_by,behind_by
mlsys-io/PortfolioBench,harvest_files,,,2026-09-16T20:16:58.227997+00:00,main,fc7629f795487b5ada6af077159d8b003cb6321d,2026-05-13T22:01:52Z,current_by_pushed_at,,
flaviosiotto/freqtrade-strategy,harvest_files,,,2026-08-25T05:36:27.092867+00:00,master,11ae1802f5bcaad50eb9e0c871c406478da27766,2023-03-22T11:57:19Z,current_by_pushed_at,,
nancyjimenezbnoewowo/NostalgiaForInfinity,harvest_files,,,2026-08-25T05:36:46.515191+00:00,main,db529c4d5940edd6398e54baece66e4420808ce4,2025-10-02T09:19:01Z,current_by_pushed_at,,
werkkrew/freqtrade-strategies,harvest_files,,,2026-09-22T08:43:45.174507+00:00,main,582e9649a88623b6f85f03a63bfa68410cd8ad8a,2021-06-04T16:03:18Z,current_by_pushed_at,,
remiotore/ccxt-freqtrade,harvest_files,,,2026-09-23T21:06:48.084216+00:00,main,44beaeb6a420cd8e9f2e4ea93e11d6cfa192ee03,2026-01-11T21:05:50Z,current_by_pushed_at,,
ingpawat/freqtrade-strategy-with-backtest,harvest_files,,,2026-08-24T22:43:05.736143+00:00,main,0c038985cb5c1eb7c7ac0cfd81c39693b437af17,2025-09-09T08:02:12Z,current_by_pushed_at,,
webclinic017/strategies-freqtrade-,harvest_files,,,2026-09-16T18:58:45.957649+00:00,master,d44b3e3454c7e1851ef443496b41e61735148e6c,2024-05-01T16:33:50Z,current_by_pushed_at,,
TomtomEh/freqtrade-websocket,harvest_files,,,2026-08-24T21:50:33.297305+00:00,main,5374e15766b271a8b82a2ca22d9904f3ec3f8f24,2021-10-15T08:37:35Z,current_by_pushed_at,,
jerome-benoit/freqai-strategies,harvest_files,,,2026-09-05T14:33:01.187008+00:00,main,d7fe32e18de32d18bfc278300ab2af6da1c16bfb,2026-09-23T23:58:02Z,pushed_after_local_fetch,,
vaskosmihaylov/nfi-custom-strategies,harvest_files,,,2026-09-16T17:50:38.610356+00:00,main,ab8af7807cfdb0ff36bd994cf36ca4465d558ac6,2026-08-09T09:41:43Z,current_by_pushed_at,,
Bananajoexxc/RegimeFilterStrategy-Freqtrade,harvest_files,,,2026-08-25T05:36:25.059891+00:00,main,bdf64f5cbd08c0333559e40a73f48b151f0ab9fc,2026-01-20T14:59:50Z,current_by_pushed_at,,
