strategy,worker,status,elapsed_s,peak_mib,memory_limit
EDTMA_Long_Short_prot_CE_1h_3Lev_3mt_March,4,measured,205,1379,3500m
CompleteIndicatorStrategy2,3,measured,347,1311,3500m
FastSupertrend_optim3_rsi_75fix,3,no_record,2,0,3500m
EmaCrossStrategy,4,measured,171,1055,3500m
BB10fall,2,measured,436,1257,3500m
Fibbo,4,measured,182,3250,3500m
FenixTopProfit,3,measured,239,1253,3500m
GKD_BaselineAllMAs,3,measured,204,1205,3500m
AdaptiveRegimeLong,1,measured,919,975,3500m
GKD_FisherTransformMTF,3,measured,470,1315,3500m
GKD_HurstExponent,1,measured,376,1232,3500m
FlawlessVictory,4,measured,922,2245,3500m
GKD_PFE,3,measured,349,1206,3500m
GnF_V2,1,measured,536,1291,3500m
IchimokuCloudStrategy,1,measured,134,1036,3500m
IchimokuCloudBreakoutStrategy,3,measured,455,979,3500m
LeoStrategy,1,measured,122,975,3500m
MacdStrategy,1,no_record,2,0,3500m
MeanReversionTrend,1,measured,121,919,3500m
MomentumCCITrendStrategy,1,measured,203,947,3500m
MACD9fall,3,measured,438,1316,3500m
HilbertSineWave,4,measured,1065,1202,3500m
MultiFactorConfluenceStrategy,3,measured,271,1053,3500m
OmaGann,4,measured,336,1221,3500m
OversoldReversion,3,measured,225,1113,3500m
PolymarketMeanReversionStrategy,4,measured,118,1029,3500m
PolymarketMomentumStrategy,3,measured,131,1024,3500m
RSI_BB_MACD_Nov_2023_1h_2_Dec,3,measured,454,1282,3500m
MultiActionZone,1,measured,1395,997,3500m
RsiBollingerStrategy,3,measured,237,1157,3500m
SimpleRSI_Shorts,3,measured,148,886,3500m
FibonacciEMATrendStrategy,2,timeout,3603,2590,3500m
RSI_BB,4,measured,1115,2375,3500m
StochasticCciStrategy,4,measured,143,1137,3500m
TrendAtrStrategy,4,measured,142,982,3500m
SmartMoneyStrategyHyperopt,2,measured,555,1175,3500m
SmartMoneyStrategy,3,measured,784,1638,3500m
ZScoreMeanReversionStrategy,3,measured,137,643,3500m
TwoCandle,2,measured,337,1280,3500m
adaptive_trend,2,measured,313,961,3500m
TripleSuperTrendADXRSI,4,measured,1163,1330,3500m
chispei,4,no_record,2,0,3500m
eltoro,4,resource_inconclusive,107,1002,3500m
ZaratustraV31,3,measured,868,1251,3500m
bbandrsi,2,measured,629,2248,3500m
eltoro1_4_simple,3,resource_inconclusive,131,1050,3500m
ichi,2,measured,167,1214,3500m
moonhouse,3,measured,191,931,3500m
eltoro1_4,4,measured,649,1807,3500m
simple_vwap_v1,2,measured,735,982,3500m
Schism2_BTC,1,measured,3043,2637,3500m
