strategy,worker,status,elapsed_s,peak_mib,memory_limit
AdaptiveRegime,1,measured,101,508,3500m
TrendFutures,4,measured,102,502,3500m
FAdxSmaStrategy,2,measured,108,836,3500m
FLAGS,3,measured,120,846,3500m
TrendFutures,1,resource_inconclusive,3,65,200m
TrendFutures,solo,measured,78,480,15500m
Best5m,4,resource_inconclusive,140,1134,3500m
Argrelextrema,3,resource_inconclusive,141,1141,3500m
AdxSmasS,1,measured,227,798,3500m
BinHV27_combined,3,resource_inconclusive,138,3144,3500m
BinHV27F,4,resource_inconclusive,140,3165,3500m
BinHV27_short,1,resource_inconclusive,142,1155,3500m
BollingerBounce_Shorts,3,resource_inconclusive,141,1113,3500m
CompleteIndicatorStrategy2,4,measured,153,948,3500m
ConsensusShort,1,resource_inconclusive,183,2915,3500m
DWT_LongShort,3,resource_inconclusive,518,3279,3500m
DWT_short,4,resource_inconclusive,577,3189,3500m
AlmgrenChrissStrategy,2,measured,1010,1933,3500m
E0V1E_Shorts,3,resource_inconclusive,170,2215,3500m
ETCG_Shorts,2,resource_inconclusive,141,2000,3500m
DevDsl2Approx,1,resource_inconclusive,647,2926,3500m
EDTMA_Long_Short_prot_CE_1h_3Lev_3mt_March,4,measured,212,962,3500m
FReinforcedStrategy,2,resource_inconclusive,147,1119,3500m
FSupertrendStrategy,4,measured,215,850,3500m
FSampleStrategy,1,measured,336,874,3500m
FastSupertrend_optim3,4,measured,372,924,3500m
FastSupertrend_optim3_rsi_70,1,measured,352,984,3500m
FOttStrategy,3,measured,881,2014,3500m
FTT_DWT_FBB_FUTURES,2,resource_inconclusive,778,2934,3500m
FastSupertrend_optim3_rsi_75,4,measured,377,930,3500m
FastSupertrend_optim3_rsi_752,1,measured,326,962,3500m
FastSupertrend_optim3_rsi_75fix_signal,3,measured,311,901,3500m
FastSupertrend_optim3_rsi_75sell,2,measured,370,934,3500m
FastSupertrend_optim_quick2,3,measured,169,881,3500m
FastSupertrend_optim3_rsi_80,4,measured,368,938,3500m
FastSupertrend_optim_quick,1,measured,411,1004,3500m
FastSupertrend_optim_quick3,2,measured,209,915,3500m
