candidate_id,btc_regime,trades,long_trades,short_trades,profit_abs,mean_profit_ratio,wins,gross_profit,gross_loss,mean_duration_minutes,active_dates,profit_factor,win_rate
ADXDM-downtrend,BEAR,281,281,0,-86.93870107,-0.00191050477255,210,327.25826921,414.19697028,1392.13523132,135,0.790103000968,0.747330960854
BB_RPB_TSL_RNG_2-transition,TRANSITION,112,112,0,38.16659959,0.00284431256123,42,156.15156662,117.98496703,28.8839285714,28,1.32348697085,0.375
BB_RTR-sideways,SIDEWAYS,98,98,0,120.08552714,0.00941845581175,57,185.06072396,64.97519682,52.193877551,20,2.84817488853,0.581632653061
BB_RTR-transition,TRANSITION,147,147,0,167.20427281,0.00862575248342,90,268.06760862,100.86333581,67.4829931973,38,2.65773094323,0.612244897959
BigTrader-sideways,SIDEWAYS,23,23,0,88.22795871,0.0299388720576,23,88.22795871,0,131.739130435,6,inf,1
BigTrader-transition,TRANSITION,32,32,0,112.54818066,0.0270502963416,32,112.54818066,0,964.375,11,inf,1
Cenderawasih_3_kucoin-sideways,SIDEWAYS,28,28,0,-5.11552175,-0.00146829265739,9,15.34317953,20.45870128,14.1071428571,9,0.749958627384,0.321428571429
CryptoFrog_nateema-transition,BEAR,4,4,0,6.07460364,0.00943276914906,3,9.5778725,3.50326886,220,3,2.73398157057,0.75
CryptoFrog_nateema-transition,SIDEWAYS,3,3,0,2.38813629,0.00578442613375,3,2.38813629,0,113.333333333,3,inf,1
CryptoFrog_nateema-transition,TRANSITION,1153,1153,0,-110.2542794,-0.000427564377224,899,1523.3333076,1633.587587,221.153512576,154,0.932507886154,0.779705117086
CustomStoplossWithPSAR-downtrend,BEAR,59,59,0,6574.13180844,0.887337942287,22,10382.521026,3808.3892176,426167.79661,28,2.72622372158,0.372881355932
E0V1E_protections-sideways,SIDEWAYS,40,40,0,129.51878978,0.0249054924919,29,150.95973976,21.44094998,26.5,10,7.0407206724,0.725
FSampleStrategy-sideways,SIDEWAYS,330,305,25,2586.98383809,0.0468650636407,63,7162.66498947,4575.68115138,29492.3636364,147,1.56537677179,0.190909090909
FSampleStrategy-sideways,TRANSITION,5,4,1,-59.70816389,-0.0519952091738,0,0,59.70816389,3960,3,0,0
FSampleStrategy-trend,BEAR,22,5,17,-0.64587038,-0.000211874585859,10,110.62409866,111.26996904,7502.72727273,20,0.994195465447,0.454545454545
FSampleStrategy-trend,BULL,347,346,1,224.26712814,0.0118902821905,35,3206.67951923,2982.41239109,19376.1959654,152,1.0751965519,0.100864553314
FastSupertrend_optim3_rsi_80-trend,BEAR,3429,1,3428,4081.32033873,0.00258612445093,2637,45674.4617132,41593.1413744,1032.77340332,370,1.09812483991,0.769028871391
FastSupertrend_optim3_rsi_80-trend,BULL,3248,3248,0,5309.56078125,0.00444206415596,2545,34340.3101746,29030.7493934,1223.25738916,496,1.18289437552,0.7835591133
FastSupertrend_optim3_rsi_80-trend,TRANSITION,5,0,5,96.69193349,0.025226136704,5,96.69193349,0,1260,4,inf,1
FastSupertrend_optim3_rsi_80-uptrend,BEAR,10,1,9,-17.24339336,-0.0251402800925,5,35.18543301,52.42882637,2118,4,0.671108537919,0.5
FastSupertrend_optim3_rsi_80-uptrend,BULL,5300,3248,2052,5191.73943914,0.00320905383684,4055,34627.4081041,29435.668665,1298.08301887,619,1.17637579422,0.765094339623
GodCard-downtrend,BEAR,61,61,0,-10.44619077,-0.00129711722697,53,44.51004493,54.9562357,300.245901639,26,0.809918007721,0.868852459016
GodCard-sideways,SIDEWAYS,68,68,0,90.84637352,0.0103873909866,67,102.71077152,11.864398,11.6911764706,32,8.65705714862,0.985294117647
Hacklemost-sideways,SIDEWAYS,12,12,0,26.84558838,0.0178946194951,12,26.84558838,0,121.25,7,inf,1
Hammer-transition,TRANSITION,81,81,0,49.58234959,0.00523541295089,61,221.45143147,171.86908188,614.259259259,32,1.28848905834,0.753086419753
MFI2-downtrend,BEAR,287,287,0,471.62092534,0.0137248591776,226,1273.47660584,801.8556805,431.602787456,80,1.58816185607,0.787456445993
NFI46Z-downtrend,BEAR,98,98,0,6.55713007,0.000622199696381,79,101.28742018,94.73029011,93.8265306122,37,1.06921893792,0.80612244898
NostalgiaForInfinityX-transition,TRANSITION,56,56,0,152.72989805,0.0208387164187,53,200.26779323,47.53789518,1022.14285714,23,4.21280312205,0.946428571429
OversoldReversion-downtrend,BEAR,106,106,0,562.0891785,0.055004168719,74,815.71654244,253.62736394,4320,59,3.21620084587,0.698113207547
SARCross-sideways,SIDEWAYS,32,32,0,120.75387686,0.0290960059508,30,120.79600126,0.0421244,3740.625,9,2867.60170495,0.9375
SARCross-transition,TRANSITION,57,57,0,69.10062045,0.00973184879653,52,128.42085427,59.32023382,443.859649123,20,2.1648743776,0.912280701754
SimpleBollinger-downtrend,BEAR,38,38,0,62.3197384,0.0129046604153,33,62.32994772,0.01020932,1755,29,6105.20071072,0.868421052632
Squeeze001-downtrend,BEAR,125,125,0,19.10885294,0.00176551572994,87,263.30990287,244.20104993,1239.28,60,1.0782504946,0.696
TheRealPullbackV2-sideways,SIDEWAYS,104,104,0,187.5825283,0.0136417595938,74,280.74941755,93.16688925,104.278846154,46,3.01340336476,0.711538461538
adxbbrsi2-transition,TRANSITION,167,167,0,52.47487867,0.00255484389865,129,136.64473661,84.16985794,4204.67065868,67,1.62344026655,0.77245508982
cryptotank-downtrend,BEAR,735,735,0,-780.84187413,0.00244883164619,556,962.91424626,1743.75612039,2043.18367347,164,0.552206948552,0.756462585034
cryptotank-sideways,SIDEWAYS,318,318,0,-164.41701976,0.00879088647403,261,1189.62195307,1354.03897283,3061.88679245,87,0.87857290443,0.820754716981
cryptotank-sideways,TRANSITION,4,4,0,15.71860344,0.0223185678726,4,15.71860344,0,1800,3,inf,1
cryptotank-transition,BEAR,1,1,0,2.08247725,0.0290873061365,1,2.08247725,0,840,1,inf,1
cryptotank-transition,SIDEWAYS,1,1,0,2.79053216,0.0222784293033,1,2.79053216,0,2100,1,inf,1
cryptotank-transition,TRANSITION,362,362,0,-539.07054675,0.00249707241545,307,859.16682268,1398.23736943,4389.77900552,109,0.614464211488,0.848066298343
eltoro1_4-transition,BEAR,6,6,0,9.62832516,0.0196468617455,5,10.25059616,0.622271,3230,3,16.4728810438,0.833333333333
eltoro1_4-transition,SIDEWAYS,3,3,0,9.32423046,0.035552174071,3,9.32423046,0,1260,3,inf,1
eltoro1_4-transition,TRANSITION,475,475,0,-425.68367851,-0.00730879802492,397,994.64141261,1420.32509112,7599.41052632,160,0.700291376128,0.835789473684
eltoro1_4_simple-downtrend,BEAR,765,765,0,-352.33064803,-0.000490841026643,627,2840.2071245,3192.53777253,6704.52941176,229,0.889639317329,0.819607843137
