candidate_id,coin_regime,episodes,positive_episodes,negative_episodes,median_episode_profit,worst_episode_profit,best_episode_profit,episode_win_rate
ADXDM-downtrend,BEAR,89,70,19,0.50580965,-42.01009021,13.28677869,0.786516853933
ADXDM-downtrend,BULL,12,8,4,0.19801776,-0.0205668,20.04817366,0.666666666667
ADXDM-downtrend,SIDEWAYS,20,14,6,0.38547758,-33.6637325,20.03893833,0.7
ADXDM-downtrend,TRANSITION,39,31,8,0.10039925,-33.7081971,20.00682642,0.794871794872
BB_RPB_TSL_RNG_2-transition,BEAR,8,5,3,2.58778284,-1.13646684,5.560349,0.625
BB_RPB_TSL_RNG_2-transition,BULL,11,7,4,2.66319602,-22.98451526,11.86549163,0.636363636364
BB_RPB_TSL_RNG_2-transition,SIDEWAYS,18,10,8,2.555469135,-23.5144762,7.1372408,0.555555555556
BB_RPB_TSL_RNG_2-transition,TRANSITION,12,8,4,2.37557466,-0.69773867,6.21303712,0.666666666667
BB_RTR-sideways,BEAR,7,4,3,1.47542116,-0.5027022,4.19033833,0.571428571429
BB_RTR-sideways,BULL,8,6,2,2.663939295,-8.36763334,9.03523213,0.75
BB_RTR-sideways,SIDEWAYS,21,15,6,2.82858273,-0.53305477,18.54066259,0.714285714286
BB_RTR-sideways,TRANSITION,15,7,8,-0.29245199,-9.23658242,24.38626082,0.466666666667
BB_RTR-transition,BEAR,13,9,4,2.38647157,-9.28829476,11.2355646,0.692307692308
BB_RTR-transition,BULL,17,14,3,2.67979888,-7.93571575,20.48842891,0.823529411765
BB_RTR-transition,SIDEWAYS,23,18,5,3.54959725,-37.85619335,14.37470721,0.782608695652
BB_RTR-transition,TRANSITION,18,12,6,2.62620566,-9.14156382,6.2855207,0.666666666667
BigTrader-sideways,BEAR,3,3,0,3.8584815,3.189363,5.13045074,1
BigTrader-sideways,SIDEWAYS,9,9,0,4.24889888,3.30898408,7.177376,1
BigTrader-sideways,TRANSITION,8,8,0,3.59040716,3.29085677,7.29818613,1
BigTrader-transition,BEAR,5,5,0,3.41397675,2.77937967,4.80603714,1
BigTrader-transition,BULL,5,5,0,3.6769558,2.80181138,6.0860854,1
BigTrader-transition,SIDEWAYS,11,11,0,3.43641896,2.20673079,14.00463372,1
BigTrader-transition,TRANSITION,7,7,0,3.35853336,1.57388692,4.1030451,1
Cenderawasih_3_kucoin-sideways,BEAR,2,0,2,-1.24487531,-1.4691313,-1.02061932,0
Cenderawasih_3_kucoin-sideways,BULL,1,0,1,-1.4831388,-1.4831388,-1.4831388,0
Cenderawasih_3_kucoin-sideways,SIDEWAYS,10,5,5,-0.057497365,-2.7170757,2.6021891,0.5
Cenderawasih_3_kucoin-sideways,TRANSITION,8,3,5,-0.804611645,-1.60934456,1.97361222,0.375
CryptoFrog_nateema-transition,BEAR,44,27,17,0.517836635,-37.70890578,11.84189402,0.613636363636
CryptoFrog_nateema-transition,BULL,62,36,26,1.09363468,-10.22205447,15.19997243,0.58064516129
CryptoFrog_nateema-transition,SIDEWAYS,86,50,36,0.38110615,-32.9363573,7.05776489,0.581395348837
CryptoFrog_nateema-transition,TRANSITION,97,64,33,1.19508338,-21.32075437,12.8863676,0.659793814433
CustomStoplossWithPSAR-downtrend,BEAR,32,19,13,37.88813978,-328.96611347,3298.71171451,0.59375
CustomStoplossWithPSAR-downtrend,SIDEWAYS,7,2,5,-106.74897972,-119.4355117,87.362492,0.285714285714
CustomStoplossWithPSAR-downtrend,TRANSITION,10,0,10,-108.6150101,-120.8556678,-17.458884,0
E0V1E_protections-sideways,BEAR,4,3,1,5.07802204,-0.848583,5.6202232,0.75
E0V1E_protections-sideways,BULL,6,5,1,5.627035325,-7.09969774,6.37968297,0.833333333333
E0V1E_protections-sideways,SIDEWAYS,11,8,3,5.01028169,-0.89684056,16.7442177,0.727272727273
E0V1E_protections-sideways,TRANSITION,9,8,1,4.62309304,-0.39484305,7.31228968,0.888888888889
FSampleStrategy-sideways,BEAR,31,14,17,-12.90851312,-90.01936309,247.5510883,0.451612903226
FSampleStrategy-sideways,BULL,20,1,19,-17.41994112,-58.44462808,118.87970713,0.05
FSampleStrategy-sideways,SIDEWAYS,95,31,64,-14.79021526,-71.01954582,364.11402582,0.326315789474
FSampleStrategy-sideways,TRANSITION,52,8,44,-16.13174764,-87.03568302,261.51211967,0.153846153846
FSampleStrategy-trend,BEAR,41,8,33,-9.23149713,-34.89637173,119.07227714,0.19512195122
FSampleStrategy-trend,BULL,105,20,85,-9.57391665,-49.56983836,203.0560726,0.190476190476
FSampleStrategy-trend,SIDEWAYS,50,5,45,-9.651866165,-46.72763907,134.83501864,0.1
FSampleStrategy-trend,TRANSITION,45,4,41,-9.14326344,-28.59308567,151.79883221,0.0888888888889
FastSupertrend_optim3_rsi_80-trend,BEAR,208,87,121,-7.117302165,-404.03467937,495.95138181,0.418269230769
FastSupertrend_optim3_rsi_80-trend,BULL,190,92,98,-1.81167135,-171.18645632,914.45681625,0.484210526316
FastSupertrend_optim3_rsi_80-trend,SIDEWAYS,157,80,77,2.38049322,-242.07649662,437.93804328,0.509554140127
FastSupertrend_optim3_rsi_80-trend,TRANSITION,243,118,125,-2.59914283,-170.67815848,222.99105572,0.485596707819
FastSupertrend_optim3_rsi_80-uptrend,BEAR,84,36,48,-5.2176789,-83.88725771,114.00251507,0.428571428571
FastSupertrend_optim3_rsi_80-uptrend,BULL,186,83,103,-4.222305265,-170.68047627,613.18224067,0.44623655914
FastSupertrend_optim3_rsi_80-uptrend,SIDEWAYS,144,85,59,11.343416035,-93.79094671,278.07764254,0.590277777778
FastSupertrend_optim3_rsi_80-uptrend,TRANSITION,182,102,80,4.67448136,-77.96969107,88.66289017,0.56043956044
GodCard-downtrend,BEAR,35,31,4,0.56681509,-11.0230228,3.816423,0.885714285714
GodCard-downtrend,BULL,3,3,0,0.5053776,0.435138,3.82568013,1
GodCard-downtrend,SIDEWAYS,7,3,4,-0.00133056,-11.07135057,0.79474095,0.428571428571
GodCard-downtrend,TRANSITION,9,9,0,0.40570331,0.00025476,3.8428888,1
GodCard-sideways,BEAR,12,12,0,0.85293115,0.06022228,4.1038056,1
GodCard-sideways,BULL,6,6,0,2.752448425,0.25132287,3.77428577,1
GodCard-sideways,SIDEWAYS,24,24,0,0.48631457,0.03063554,5.90749439,1
GodCard-sideways,TRANSITION,15,14,1,1.92168693,-11.864398,5.17445874,0.933333333333
Hacklemost-sideways,BEAR,1,1,0,1.58130331,1.58130331,1.58130331,1
Hacklemost-sideways,SIDEWAYS,5,5,0,2.9114007,1.5631238,7.42599628,1
Hacklemost-sideways,TRANSITION,3,3,0,2.91039363,0.2806345,4.77623154,1
Hammer-transition,BEAR,9,5,4,1.34600571,-29.68136182,10.18905452,0.555555555556
Hammer-transition,BULL,13,10,3,4.85800435,-19.35886388,34.80285827,0.769230769231
Hammer-transition,SIDEWAYS,19,15,4,0.79987786,-31.01977266,4.81942926,0.789473684211
Hammer-transition,TRANSITION,17,11,6,1.73206808,-25.36206442,11.03470678,0.647058823529
MFI2-downtrend,BEAR,58,46,12,5.81023457,-51.27771049,58.1903474,0.793103448276
MFI2-downtrend,BULL,17,14,3,4.86239736,-15.02275114,25.92085536,0.823529411765
MFI2-downtrend,SIDEWAYS,13,11,2,4.8473622,-54.04842713,19.29046169,0.846153846154
MFI2-downtrend,TRANSITION,26,21,5,4.48760511,-27.24734494,12.582552,0.807692307692
NFI46Z-downtrend,BEAR,34,27,7,0.61412166,-5.51570043,5.32930634,0.794117647059
NFI46Z-downtrend,BULL,7,5,2,1.222396,-10.6486419,6.56179932,0.714285714286
NFI46Z-downtrend,SIDEWAYS,8,4,4,0.10529346,-16.22603102,3.34626468,0.5
NFI46Z-downtrend,TRANSITION,8,7,1,0.6584696,-0.80812662,2.19754304,0.875
NostalgiaForInfinityX-transition,BEAR,6,6,0,6.64472992,4.1105876,17.57825169,1
NostalgiaForInfinityX-transition,BULL,7,7,0,9.01707738,3.80822442,22.27347541,1
NostalgiaForInfinityX-transition,SIDEWAYS,5,5,0,7.233638,1.00496329,23.3255826,1
NostalgiaForInfinityX-transition,TRANSITION,9,7,2,2.2793246,-21.5794969,7.51786429,0.777777777778
OversoldReversion-downtrend,BEAR,33,28,5,13.48258814,-35.5348787,59.58722067,0.848484848485
OversoldReversion-downtrend,SIDEWAYS,7,5,2,5.31367218,-17.2626013,14.64912937,0.714285714286
OversoldReversion-downtrend,TRANSITION,6,6,0,9.339754585,1.3785573,22.61736303,1
SARCross-sideways,BEAR,3,3,0,5.08929578,1.2324515,5.1021096,1
SARCross-sideways,BULL,4,4,0,4.05970742,0.00046158,6.4364793,1
SARCross-sideways,SIDEWAYS,14,13,1,5.18209735,-0.003158,10.40447906,0.928571428571
SARCross-sideways,TRANSITION,8,7,1,2.987508985,-0.0389664,10.0646052,0.875
SARCross-transition,BEAR,7,7,0,0.84285368,4.44e-06,2.12785584,1
SARCross-transition,BULL,10,9,1,4.84573717,-26.3104628,10.24436424,0.9
SARCross-transition,SIDEWAYS,18,16,2,1.368774145,-10.15930707,9.3035364,0.888888888889
SARCross-transition,TRANSITION,12,10,2,1.23634058,-0.0170775,4.85513825,0.833333333333
SimpleBollinger-downtrend,BEAR,27,25,2,1.73964986,-2.401e-05,5.03878917,0.925925925926
SimpleBollinger-downtrend,BULL,2,2,0,0.41313177,0.00357057,0.82269297,1
SimpleBollinger-downtrend,SIDEWAYS,3,2,1,0.00682206,-0.00566202,0.8652523,0.666666666667
SimpleBollinger-downtrend,TRANSITION,5,3,2,0.2597686,-0.003526,1.3431969,0.6
Squeeze001-downtrend,BEAR,43,32,11,1.85404812,-31.1486475,16.1745582,0.744186046512
Squeeze001-downtrend,BULL,12,7,5,0.002485155,-22.99544009,15.82984263,0.583333333333
Squeeze001-downtrend,SIDEWAYS,11,5,6,-0.00084189,-29.7708048,8.89484791,0.454545454545
Squeeze001-downtrend,TRANSITION,15,9,6,0.0522979,-28.60226915,8.94560032,0.6
TheRealPullbackV2-sideways,BEAR,10,9,1,2.456505835,-2.98270877,8.5899375,0.9
TheRealPullbackV2-sideways,BULL,15,10,5,1.8773836,-5.2211934,9.11774849,0.666666666667
TheRealPullbackV2-sideways,SIDEWAYS,37,29,8,2.15265946,-4.8894132,14.64349583,0.783783783784
TheRealPullbackV2-sideways,TRANSITION,18,12,6,0.432813735,-15.1521626,24.0878522,0.666666666667
adxbbrsi2-transition,BEAR,33,24,8,0.0141312,-41.52629874,5.3733294,0.727272727273
adxbbrsi2-transition,BULL,23,18,5,0.0115893,-0.0180272,5.16024747,0.782608695652
adxbbrsi2-transition,SIDEWAYS,35,30,5,0.29703089,-0.0107529,5.7903552,0.857142857143
adxbbrsi2-transition,TRANSITION,38,28,10,0.03344405,-40.92332224,6.97718936,0.736842105263
cryptotank-downtrend,BEAR,86,66,20,2.47427992,-90.40535657,25.30333171,0.767441860465
cryptotank-downtrend,BULL,32,19,13,1.69309703,-126.9416481,13.46794687,0.59375
cryptotank-downtrend,SIDEWAYS,27,20,7,1.85960018,-46.21780682,14.84853958,0.740740740741
cryptotank-downtrend,TRANSITION,40,32,8,2.181400695,-69.43184515,11.78043596,0.8
cryptotank-sideways,BEAR,16,16,0,8.542849345,2.4626349,21.99854395,1
cryptotank-sideways,BULL,26,20,6,6.94239586,-81.5136978,30.03747552,0.769230769231
cryptotank-sideways,SIDEWAYS,42,35,7,6.60626046,-88.77574976,30.71852559,0.833333333333
cryptotank-sideways,TRANSITION,28,23,5,4.68173782,-68.93307201,22.94136435,0.821428571429
cryptotank-transition,BEAR,35,30,5,2.8987754,-49.97835966,12.82937126,0.857142857143
cryptotank-transition,BULL,44,31,13,3.126928265,-66.27235481,24.85529061,0.704545454545
cryptotank-transition,SIDEWAYS,47,38,9,2.4774887,-53.26394082,12.7398742,0.808510638298
cryptotank-transition,TRANSITION,50,45,5,2.93115591,-50.79974711,32.09010094,0.9
eltoro1_4-transition,BEAR,68,55,13,2.389857245,-40.10183761,14.53547315,0.808823529412
eltoro1_4-transition,BULL,41,28,13,2.1586658,-28.20884,11.97146405,0.682926829268
eltoro1_4-transition,SIDEWAYS,99,77,22,2.2511022,-38.2187468,13.85457666,0.777777777778
eltoro1_4-transition,TRANSITION,82,71,11,2.32755231,-28.4015908,17.5572252,0.865853658537
eltoro1_4_simple-downtrend,BEAR,130,95,35,3.429757135,-51.40213097,34.99169725,0.730769230769
eltoro1_4_simple-downtrend,BULL,53,39,14,2.0508656,-79.58908098,28.3762666,0.735849056604
eltoro1_4_simple-downtrend,SIDEWAYS,55,41,14,4.4497648,-76.4787686,14.16894968,0.745454545455
eltoro1_4_simple-downtrend,TRANSITION,69,59,10,4.61390412,-64.04605802,23.00364824,0.855072463768
