candidate_id,btc_regime,trades,long_trades,short_trades,profit_abs,mean_profit_ratio,wins,gross_profit,gross_loss,mean_duration_minutes,active_dates,profit_factor,win_rate
ADXDM-sideways,SIDEWAYS,263,263,0,-34.09490658,-0.000910017260261,185,184.91946603,219.01437261,3416.6539924,114,0.844325711716,0.703422053232
ADXDM-transition,TRANSITION,333,333,0,-169.81330732,-0.00411033057505,221,199.25161553,369.06492285,2524.83483483,140,0.539882289521,0.663663663664
ADXMomentum-sideways,SIDEWAYS,20,20,0,-10.0271035,-0.00403725639258,12,14.79674029,24.82384379,768,16,0.596069666534,0.6
ADXMomentum-transition,TRANSITION,9,9,0,-11.28255903,-0.0101276906464,6,7.37902153,18.66158056,1060,7,0.395412462855,0.666666666667
ADX_15M_USDT-sideways,SIDEWAYS,2175,2175,0,182.44812904,0.000894846168156,1500,2777.71450987,2595.26638083,1827.59310345,518,1.07030034774,0.689655172414
ADX_15M_USDT-sideways,TRANSITION,4,4,0,24.35691709,0.033543051482,4,24.35691709,0,386.25,3,inf,1
ADX_15M_USDT-transition,BEAR,1,1,0,2.65406246,0.0354109483795,1,2.65406246,0,225,1,inf,1
ADX_15M_USDT-transition,BULL,1,1,0,-3.474e-05,-8.36960284101e-07,0,0,3.474e-05,1650,1,0,0
ADX_15M_USDT-transition,SIDEWAYS,2,2,0,4.54651158,0.0177332882137,2,4.54651158,0,1245,2,inf,1
ADX_15M_USDT-transition,TRANSITION,2067,2067,0,-704.24251085,-0.00430887706383,1356,1385.4234484,2089.66595925,2019.31059507,476,0.662987996846,0.656023222061
ASDTSRockwellTrading-sideways,SIDEWAYS,14712,14712,0,-965.79408527,-0.00183331974918,3471,1046.78844839,2012.58253366,46.0525421425,187,0.520121997922,0.235929853181
ASDTSRockwellTrading-sideways,TRANSITION,2,2,0,-0.0557122,0.00314152349396,1,0.29661712,0.35232932,35,2,0.8418746416,0.5
ASDTSRockwellTrading-transition,BEAR,3,3,0,-0.46303642,-0.00998413600141,0,0,0.46303642,36.6666666667,3,0,0
ASDTSRockwellTrading-transition,BULL,4,4,0,-0.97728742,-0.00995355567266,0,0,0.97728742,12.5,1,0,0
ASDTSRockwellTrading-transition,SIDEWAYS,1,1,0,1.18175679,0.00992780804102,1,1.18175679,0,120,1,inf,1
ASDTSRockwellTrading-transition,TRANSITION,12551,12551,0,-965.48958843,-0.00213891627976,3193,1391.76333597,2357.2529244,44.2418930762,160,0.590417481961,0.254402039678
AdaptiveRegime-sideways,SIDEWAYS,93,43,50,565.75765591,0.0538250955191,34,1746.17074452,1180.41308861,36139.3548387,57,1.47928785386,0.365591397849
AdaptiveRegime-sideways,TRANSITION,10,5,5,-120.98579893,-0.0364506638761,2,84.13414337,205.1199423,33984,7,0.410170471123,0.2
AdaptiveRegime-transition,BEAR,8,0,8,-74.21224029,-0.0805620874855,3,20.0162554,94.22849569,24300,3,0.212422529442,0.375
AdaptiveRegime-transition,BULL,12,12,0,47.99270647,0.0448607847004,6,89.75376138,41.76105491,30000,8,2.14922160308,0.5
AdaptiveRegime-transition,TRANSITION,109,32,77,-203.10746338,-0.0155260019832,34,532.9703223,736.07778568,29064.2201835,66,0.724067935032,0.311926605505
AlmgrenChrissStrategy-sideways,SIDEWAYS,3321,1642,1679,-714.97650852,-0.00348524315386,2263,2026.28032616,2741.25683468,2172.48419151,502,0.739179306559,0.681421258657
AlmgrenChrissStrategy-sideways,TRANSITION,3,3,0,-9.47560163,-0.039622756602,1,0.64947308,10.12507471,800,2,0.0641450160717,0.333333333333
AlmgrenChrissStrategy-transition,BULL,1,0,1,-6.13096363,-0.0884848041447,0,0,6.13096363,135,1,0,0
AlmgrenChrissStrategy-transition,SIDEWAYS,4,1,3,-0.30248884,0.00678977769208,3,1.30325402,1.60574286,412.5,4,0.811620622744,0.75
AlmgrenChrissStrategy-transition,TRANSITION,4217,2281,1936,-781.43182521,-0.00338309441984,3034,2415.76960939,3197.2014346,1705.51458383,470,0.755588804398,0.719468816694
BBMod-sideways,SIDEWAYS,707,707,0,-33.48985288,-0.00011858119853,445,809.30535969,842.79521257,45.297029703,137,0.96026335653,0.629420084866
BBMod-transition,TRANSITION,1241,1241,0,170.46705092,0.00118517213859,781,1344.38822606,1173.92117514,46.7848509267,202,1.14521166713,0.629331184529
