candidate_id,btc_regime,episodes,positive_episodes,negative_episodes,median_episode_profit,worst_episode_profit,best_episode_profit,episode_win_rate
ADXDM-sideways,SIDEWAYS,33,27,6,1.43005716,-48.71573771,24.83642731,0.818181818182
ADXDM-transition,TRANSITION,58,43,15,0.7098622,-95.50538017,25.6067752,0.741379310345
ADXMomentum-sideways,SIDEWAYS,12,6,6,0.56778591,-8.63957652,3.74751376,0.5
ADXMomentum-transition,TRANSITION,7,4,3,1.2194875,-9.27695756,3.70798694,0.571428571429
ADX_15M_USDT-sideways,SIDEWAYS,41,26,15,27.72256937,-319.2372334,208.31842539,0.634146341463
ADX_15M_USDT-sideways,TRANSITION,3,3,0,4.58964273,1.5903405,18.17693386,1
ADX_15M_USDT-transition,BEAR,1,1,0,2.65406246,2.65406246,2.65406246,1
ADX_15M_USDT-transition,BULL,1,0,1,-3.474e-05,-3.474e-05,-3.474e-05,0
ADX_15M_USDT-transition,SIDEWAYS,2,2,0,2.27325579,0.000936,4.54557558,1
ADX_15M_USDT-transition,TRANSITION,85,44,41,0.39289503,-122.99857528,94.64457549,0.517647058824
ASDTSRockwellTrading-sideways,SIDEWAYS,15,0,15,-26.84203254,-233.21351177,-0.28636497,0
ASDTSRockwellTrading-sideways,TRANSITION,2,1,1,-0.0278561,-0.35232932,0.29661712,0.5
ASDTSRockwellTrading-transition,BEAR,3,0,3,-0.1800108,-0.207074,-0.07595162,0
ASDTSRockwellTrading-transition,BULL,1,0,1,-0.97728742,-0.97728742,-0.97728742,0
ASDTSRockwellTrading-transition,SIDEWAYS,1,1,0,1.18175679,1.18175679,1.18175679,1
ASDTSRockwellTrading-transition,TRANSITION,29,0,29,-23.22661827,-160.55395453,-1.06745462,0
AdaptiveRegime-sideways,SIDEWAYS,25,9,16,-11.48463145,-196.11713275,528.52020425,0.36
AdaptiveRegime-sideways,TRANSITION,7,2,5,-21.60011813,-115.15349684,54.09874233,0.285714285714
AdaptiveRegime-transition,BEAR,3,1,2,-37.23152693,-53.60404387,16.62333051,0.333333333333
AdaptiveRegime-transition,BULL,8,3,5,-1.34507849,-8.02022622,27.76520345,0.375
AdaptiveRegime-transition,TRANSITION,42,13,29,-6.45962438,-76.63677324,111.98507386,0.309523809524
AlmgrenChrissStrategy-sideways,SIDEWAYS,41,8,33,-14.69795779,-83.90801214,15.53837918,0.19512195122
AlmgrenChrissStrategy-sideways,TRANSITION,2,1,1,-4.737800815,-10.12507471,0.64947308,0.5
AlmgrenChrissStrategy-transition,BULL,1,0,1,-6.13096363,-6.13096363,-6.13096363,0
AlmgrenChrissStrategy-transition,SIDEWAYS,4,3,1,0.408668965,-1.60574286,0.48591609,0.75
AlmgrenChrissStrategy-transition,TRANSITION,87,35,52,-2.45805128,-124.64425261,24.13854829,0.402298850575
BBMod-sideways,SIDEWAYS,32,19,13,1.38356213,-101.34707418,78.46073601,0.59375
BBMod-transition,TRANSITION,66,41,25,1.145763335,-79.4682031,49.61568114,0.621212121212
