candidate_id,coin_phase,trades,long_trades,short_trades,profit_abs,mean_profit_ratio,wins,gross_profit,gross_loss,mean_duration_minutes,active_dates,profit_factor,win_rate
ADXDM-sideways,bear_trend,38,38,0,17.03487234,0.00346346667714,20,17.31995404,0.2850817,5724.73684211,27,60.7543523137,0.526315789474
ADXDM-sideways,bull_trend,22,22,0,21.05328285,0.00776411893426,15,21.07846963,0.02518678,6896.81818182,17,836.886240718,0.681818181818
ADXDM-sideways,high_vol_shock,6,6,0,1.22573058,0.00162672382074,5,1.2271184,0.00138782,2658.33333333,4,884.205732732,0.833333333333
ADXDM-sideways,range_choppy,46,46,0,-29.27824855,-0.00502457069804,36,33.68545751,62.96370606,1401.19565217,32,0.534998011043,0.782608695652
ADXDM-sideways,range_quiet,90,90,0,20.41547295,0.00197869041719,66,54.09565683,33.68018388,3836.66666667,63,1.60615681383,0.733333333333
ADXDM-sideways,transition,61,61,0,-64.54601675,-0.0081716248868,43,57.51280962,122.05882637,1698.44262295,44,0.471189272668,0.704918032787
ADXDM-transition,bear_trend,73,73,0,-7.1025144,-0.000538027922113,49,47.89156984,54.99408424,1905.54794521,46,0.87084948321,0.671232876712
ADXDM-transition,bull_trend,27,27,0,-19.84651794,-0.00581988314831,14,9.93572127,29.78223921,2492.59259259,20,0.333612298254,0.518518518519
ADXDM-transition,high_vol_shock,10,10,0,4.41063105,0.00389798300775,8,4.42412505,0.013494,4448.5,5,327.858681636,0.8
ADXDM-transition,range_choppy,60,60,0,-59.18521909,-0.0075142484634,41,57.07104777,116.25626686,1603.16666667,45,0.490907280196,0.683333333333
ADXDM-transition,range_quiet,43,43,0,-9.50435752,-0.00184139666121,33,18.10692772,27.61128524,1794.18604651,33,0.655779966873,0.767441860465
ADXDM-transition,transition,120,120,0,-78.58532942,-0.00567726720013,76,61.82222388,140.4075533,3471.16666667,79,0.440305542166,0.633333333333
ADXMomentum-sideways,bear_trend,5,5,0,-17.16656742,-0.0277067527132,1,1.21821888,18.3847863,1452,5,0.0662623356139,0.2
ADXMomentum-sideways,bull_trend,2,2,0,2.47146561,0.00999272270619,2,2.47146561,0,1440,2,inf,1
ADXMomentum-sideways,high_vol_shock,1,1,0,-3.16891172,-0.0257234025938,0,0,3.16891172,120,1,0,0
ADXMomentum-sideways,range_choppy,1,1,0,1.24231636,0.0100164252526,1,1.24231636,0,0,1,inf,1
ADXMomentum-sideways,range_quiet,6,6,0,0.40945326,0.00055408977047,3,3.67959903,3.27014577,710,5,1.12520948263,0.5
ADXMomentum-sideways,transition,5,5,0,6.18514041,0.0100371258041,5,6.18514041,0,168,4,inf,1
ADXMomentum-transition,bear_trend,2,2,0,2.47879358,0.0100628006306,2,2.47879358,0,1200,1,inf,1
ADXMomentum-transition,bull_trend,2,2,0,-8.04822543,-0.0324455250418,1,1.22873213,9.27695756,60,2,0.132449903112,0.5
ADXMomentum-transition,range_choppy,1,1,0,1.2194875,0.00993911581626,1,1.2194875,0,420,1,inf,1
ADXMomentum-transition,range_quiet,1,1,0,-5.7809132,-0.0468280382719,0,0,5.7809132,60,1,0,0
ADXMomentum-transition,transition,3,3,0,-1.15170148,-0.00316494817985,2,2.45200832,3.6037098,2180,3,0.680412257391,0.666666666667
ADX_15M_USDT-sideways,bear_trend,291,291,0,63.10677499,0.0013476496656,205,353.10855275,290.00177776,1861.64948454,169,1.21760823495,0.704467353952
ADX_15M_USDT-sideways,bull_trend,208,208,0,-5.35716234,0.00113603812079,143,398.98788456,404.3450469,1325.26442308,134,0.986751012827,0.6875
ADX_15M_USDT-sideways,high_vol_shock,80,80,0,34.44137815,0.0027230972349,61,142.95715908,108.51578093,1123.875,39,1.31738589406,0.7625
ADX_15M_USDT-sideways,range_choppy,476,476,0,129.05370901,0.00150905555336,335,724.01926414,594.96555513,1612.02731092,210,1.21690954694,0.703781512605
ADX_15M_USDT-sideways,range_quiet,655,655,0,-147.05734662,-0.000723396044961,425,630.98712527,778.04447189,2175.2519084,314,0.81099107836,0.648854961832
ADX_15M_USDT-sideways,transition,469,469,0,132.61769294,0.00211016381047,335,552.01144116,419.39374822,1870.23454158,279,1.3162128513,0.714285714286
ADX_15M_USDT-transition,bear_trend,364,364,0,-85.81490657,-0.00289595067011,249,201.82602929,287.64093586,1782.23901099,170,0.701659618394,0.684065934066
ADX_15M_USDT-transition,bull_trend,206,206,0,-95.68681287,-0.00675565788159,123,196.36147311,292.04828598,2054.70873786,114,0.672359614956,0.597087378641
ADX_15M_USDT-transition,high_vol_shock,161,161,0,38.03848439,-0.000407747291129,108,277.78461522,239.74613083,1240.80745342,65,1.15866151524,0.670807453416
ADX_15M_USDT-transition,range_choppy,400,400,0,-257.55806996,-0.00664095882175,256,271.10653917,528.66460913,1577.5875,192,0.512813860599,0.64
ADX_15M_USDT-transition,range_quiet,291,291,0,-78.72899262,-0.00488775238236,182,72.25069534,150.97968796,2661.59793814,161,0.478545798552,0.625429553265
ADX_15M_USDT-transition,transition,649,649,0,-217.29167392,-0.00345980562361,441,373.29467031,590.58634423,2312.70416025,332,0.632074672835,0.679506933744
ASDTSRockwellTrading-sideways,bear_trend,1540,1540,0,-115.18621009,-0.00194819664494,358,86.74469289,201.93090298,47.237012987,84,0.429576115443,0.232467532468
ASDTSRockwellTrading-sideways,bull_trend,1994,1994,0,-98.71922943,-0.00162723654513,537,184.03121649,282.75044592,44.7642928786,108,0.65086092399,0.269307923771
ASDTSRockwellTrading-sideways,high_vol_shock,884,884,0,-67.92360272,-0.00144460748098,278,115.93287383,183.85647655,41.9683257919,36,0.630561816507,0.314479638009
ASDTSRockwellTrading-sideways,range_choppy,4259,4259,0,-230.4310123,-0.00174376824623,1043,339.74636408,570.17737638,46.2632073257,138,0.595860828848,0.24489316741
ASDTSRockwellTrading-sideways,range_quiet,2388,2388,0,-143.29624918,-0.00208189039389,405,63.2049372,206.50118638,47.2005862647,122,0.306075419265,0.16959798995
ASDTSRockwellTrading-sideways,transition,3649,3649,0,-310.29349375,-0.00193074496142,851,257.42498102,567.71847477,46.2428062483,164,0.453437737999,0.233214579337
ASDTSRockwellTrading-transition,bear_trend,1324,1324,0,-122.8398859,-0.00219634406137,326,105.18192277,228.02180867,44.2069486405,65,0.461280100283,0.246223564955
ASDTSRockwellTrading-transition,bull_trend,1965,1965,0,-125.01651707,-0.00220266324936,501,227.15659076,352.17310783,43.1679389313,88,0.64501401643,0.254961832061
ASDTSRockwellTrading-transition,high_vol_shock,1937,1937,0,-160.13909341,-0.00172044934135,619,461.48499671,621.62409012,42.2302529685,50,0.74238595969,0.319566339701
ASDTSRockwellTrading-transition,range_choppy,3182,3182,0,-234.67553073,-0.00231144156924,771,270.57747433,505.25300506,44.2316153363,118,0.53552867894,0.242300439975
ASDTSRockwellTrading-transition,range_quiet,284,284,0,-39.27597843,-0.00220788806369,59,17.3922938,56.66827223,47.9049295775,23,0.306914135822,0.207746478873
ASDTSRockwellTrading-transition,transition,3867,3867,0,-283.80114994,-0.00216049303597,918,311.15181439,594.95296433,45.5275407292,155,0.522985568683,0.237393328161
AdaptiveRegime-sideways,bear_trend,14,0,14,-91.30376968,-0.039491026461,4,131.96583631,223.26960599,25817.1428571,12,0.591060461297,0.285714285714
AdaptiveRegime-sideways,bull_trend,7,6,1,-190.70183529,-0.135614436447,1,2.99606971,193.697905,26948.5714286,7,0.0154677445272,0.142857142857
AdaptiveRegime-sideways,high_vol_shock,3,2,1,-5.60027621,0.0540974028642,2,57.40942036,63.00969657,49920,3,0.911120406622,0.666666666667
AdaptiveRegime-sideways,range_choppy,20,9,11,-164.18740384,-0.00756909231184,3,292.86727689,457.05468073,30960,13,0.640770763844,0.15
AdaptiveRegime-sideways,range_quiet,24,14,10,682.01771455,0.200002154572,12,815.88361783,133.86590328,48720,20,6.09478289721,0.5
AdaptiveRegime-sideways,transition,27,11,16,168.26685471,0.0401508379028,9,452.41602008,284.14916537,34880,22,1.59217789533,0.333333333333
AdaptiveRegime-transition,bear_trend,32,2,30,-123.95047931,-0.0399933532118,9,107.30504728,231.25552659,23220,23,0.464010736791,0.28125
AdaptiveRegime-transition,bull_trend,10,10,0,-30.13807985,-0.0209508909223,3,54.73073123,84.86881108,32112,8,0.644886272513,0.3
AdaptiveRegime-transition,high_vol_shock,7,5,2,1.90002967,0.0203397793426,3,65.87298616,63.97295649,25508.5714286,7,1.02970051369,0.428571428571
AdaptiveRegime-transition,range_choppy,21,7,14,79.15946745,0.0535159119562,9,197.83519809,118.67573064,25988.5714286,16,1.66702321547,0.428571428571
AdaptiveRegime-transition,range_quiet,13,5,8,-33.72154196,-0.0313755455966,4,36.68582275,70.40736471,29575.3846154,13,0.521050928424,0.307692307692
AdaptiveRegime-transition,transition,37,9,28,-108.38036691,-0.0262679180656,13,158.98381564,267.36418255,35338.3783784,30,0.594633933849,0.351351351351
AlmgrenChrissStrategy-sideways,bear_trend,432,214,218,-57.94242517,-0.00247855464255,288,196.03987358,253.98229875,2460.24305556,156,0.771864317099,0.666666666667
AlmgrenChrissStrategy-sideways,bull_trend,357,175,182,-160.5963338,-0.00595117479974,234,256.57603428,417.17236808,1521.72268908,116,0.615036023265,0.655462184874
AlmgrenChrissStrategy-sideways,high_vol_shock,331,156,175,8.89692857,0.00043946534363,251,401.17661358,392.27968501,660.725075529,49,1.02268006453,0.7583081571
AlmgrenChrissStrategy-sideways,range_choppy,765,383,382,-300.85390879,-0.00548664830581,496,469.32689782,770.18080661,1805.33333333,198,0.609372362687,0.648366013072
AlmgrenChrissStrategy-sideways,range_quiet,528,259,269,-149.82427873,-0.00595904777257,350,224.50154007,374.3258188,3972.55681818,217,0.59974901221,0.662878787879
AlmgrenChrissStrategy-sideways,transition,753,381,372,-68.07332281,-0.00159379909546,527,440.52486402,508.59818683,1965.57768924,264,0.866155002962,0.699867197875
AlmgrenChrissStrategy-transition,bear_trend,754,428,326,-127.72708276,-0.00355073389804,531,342.46460483,470.19168759,1797.65251989,183,0.728351040371,0.70424403183
AlmgrenChrissStrategy-transition,bull_trend,540,297,243,-176.8792596,-0.00493203028921,380,373.06956902,549.94882862,1218.11111111,132,0.678371422222,0.703703703704
AlmgrenChrissStrategy-transition,high_vol_shock,752,349,403,-105.23511412,-0.00192946775079,570,691.48320584,796.71831996,506.948138298,80,0.867914278505,0.757978723404
AlmgrenChrissStrategy-transition,range_choppy,788,425,363,-172.82152433,-0.00410178768366,547,356.13504931,528.95657364,1594.70177665,203,0.673278425976,0.694162436548
AlmgrenChrissStrategy-transition,range_quiet,308,187,121,-20.22139611,-0.00200390301719,220,78.15222439,98.3736205,3761.98051948,126,0.794442900371,0.714285714286
AlmgrenChrissStrategy-transition,transition,922,516,406,-179.71377088,-0.00366388412389,667,549.94667555,729.66044643,2127.93383948,285,0.753702188793,0.723427331887
BBMod-sideways,bear_trend,78,78,0,1.76091745,0.000236444189167,52,61.35976644,59.59884899,51.9871794872,31,1.0295461654,0.666666666667
BBMod-sideways,bull_trend,97,97,0,-45.43792717,-0.00327533684915,55,97.1088605,142.54678767,44.9484536082,42,0.681242012446,0.567010309278
BBMod-sideways,high_vol_shock,98,98,0,81.37697528,0.00640324708343,75,162.94239368,81.5654184,35,27,1.99768966893,0.765306122449
BBMod-sideways,range_choppy,214,214,0,-64.00281164,-0.00202478644765,134,216.65632753,280.65913917,45.0700934579,61,0.771955362547,0.626168224299
BBMod-sideways,range_quiet,69,69,0,-1.70561414,0.000217682066458,35,75.85942838,77.56504252,58.3333333333,35,0.978010530458,0.507246376812
BBMod-sideways,transition,151,151,0,-5.48139266,4.10208164655e-05,94,195.37858316,200.85997582,43.1125827815,64,0.972710378772,0.622516556291
BBMod-transition,bear_trend,208,208,0,61.33654857,0.0022159847632,139,217.54701502,156.21046645,42.8365384615,66,1.3926532579,0.668269230769
BBMod-transition,bull_trend,196,196,0,27.08247024,0.00120429671539,122,203.79338168,176.71091144,48.5714285714,64,1.15325861895,0.622448979592
BBMod-transition,high_vol_shock,254,254,0,65.62681891,0.00197537393481,170,330.45559828,264.82877937,43.9173228346,54,1.24780848617,0.669291338583
BBMod-transition,range_choppy,264,264,0,-21.56234834,-0.000227247209417,159,267.87962591,289.44197425,51.0984848485,82,0.92550372697,0.602272727273
BBMod-transition,range_quiet,52,52,0,38.2970156,0.00564207718624,36,68.98294895,30.68593335,38.5576923077,18,2.24803163597,0.692307692308
BBMod-transition,transition,267,267,0,-0.31345406,0.000144913510053,155,255.72965622,256.04311028,48.6142322097,98,0.998775776237,0.580524344569
