candidate_id,btc_regime,episodes,positive_episodes,negative_episodes,median_episode_profit,worst_episode_profit,best_episode_profit,episode_win_rate
ADXDM-downtrend,BEAR,25,19,6,0.35320357,-68.9595422,14.5007601,0.76
ADXDM-downtrend,BULL,8,6,2,0.00769788,-0.01037672,4.57203374,0.75
ADXDM-downtrend,SIDEWAYS,13,8,5,0.00911932,-0.0266644,8.23666437,0.615384615385
ADXDM-downtrend,TRANSITION,25,21,4,0.59369258,-49.30011213,17.43079723,0.84
BB_RPB_TSL_RNG_2-transition,BEAR,4,2,2,1.49814857,-0.55729355,33.12779484,0.5
BB_RPB_TSL_RNG_2-transition,BULL,8,7,1,4.28444091,-1.4387908,29.94093192,0.875
BB_RPB_TSL_RNG_2-transition,SIDEWAYS,6,4,2,1.779848905,-23.962717,20.2646671,0.666666666667
BB_RPB_TSL_RNG_2-transition,TRANSITION,9,5,4,2.23253238,-0.73085259,15.36864582,0.555555555556
BB_RTR-sideways,BEAR,8,6,2,2.988393945,-0.31813284,17.7404853,0.75
BB_RTR-sideways,BULL,8,7,1,5.210042665,-0.5286996,24.55848463,0.875
BB_RTR-sideways,SIDEWAYS,9,7,2,6.81734093,-0.36500676,18.24536965,0.777777777778
BB_RTR-sideways,TRANSITION,11,9,2,3.65864418,-38.16306539,28.95664525,0.818181818182
BB_RTR-transition,BEAR,7,6,1,0.83355767,-12.96016894,6.34854083,0.857142857143
BB_RTR-transition,BULL,9,9,0,2.5929,0.06501296,44.29761219,1
BB_RTR-transition,SIDEWAYS,8,4,4,-0.064915465,-9.12027396,30.9876961,0.5
BB_RTR-transition,TRANSITION,12,8,4,2.9136447,-4.98662654,6.73292974,0.666666666667
BigTrader-sideways,BEAR,1,1,0,26.17665473,26.17665473,26.17665473,1
BigTrader-sideways,BULL,2,2,0,9.564556765,3.77626445,15.35284908,1
BigTrader-sideways,SIDEWAYS,4,4,0,8.20077112,3.49293465,26.11827367,1
BigTrader-sideways,TRANSITION,6,6,0,8.38619405,2.9941392,15.7105331,1
BigTrader-transition,BEAR,2,2,0,10.89796284,4.00232544,17.79360024,1
BigTrader-transition,BULL,4,4,0,8.04733418,7.13009176,12.80386954,1
BigTrader-transition,SIDEWAYS,4,4,0,7.838590425,3.74767942,14.29583708,1
BigTrader-transition,TRANSITION,5,5,0,3.43729982,3.02548932,7.86808308,1
Cenderawasih_3_kucoin-sideways,BEAR,1,1,0,6.33114019,6.33114019,6.33114019,1
Cenderawasih_3_kucoin-sideways,BULL,4,1,3,-1.775187585,-2.63480712,9.23883589,0.25
Cenderawasih_3_kucoin-sideways,SIDEWAYS,5,2,3,-0.965316,-4.09286696,4.37561093,0.4
Cenderawasih_3_kucoin-sideways,TRANSITION,6,2,4,-0.8503967,-18.82982487,8.6502616,0.333333333333
CryptoFrog_nateema-transition,BEAR,22,17,5,4.443662245,-41.54670471,22.85236718,0.772727272727
CryptoFrog_nateema-transition,BULL,21,13,8,1.7568652,-23.6826702,30.32201594,0.619047619048
CryptoFrog_nateema-transition,SIDEWAYS,19,10,9,0.00504532,-17.71493814,33.86114515,0.526315789474
CryptoFrog_nateema-transition,TRANSITION,39,27,12,1.7749536,-34.590677,13.60437072,0.692307692308
CustomStoplossWithPSAR-downtrend,BEAR,11,4,7,-81.09809101,-1420.85707107,6370.47000098,0.363636363636
CustomStoplossWithPSAR-downtrend,BULL,1,1,0,146.97227834,146.97227834,146.97227834,1
CustomStoplossWithPSAR-downtrend,SIDEWAYS,2,0,2,-116.88354497,-120.85687178,-112.91021816,0
CustomStoplossWithPSAR-downtrend,TRANSITION,8,2,6,-105.86529746,-216.61056032,667.06818442,0.25
E0V1E_protections-sideways,BEAR,2,2,0,28.526777095,11.0859957,45.96755849,1
E0V1E_protections-sideways,BULL,4,3,1,13.244907585,-0.874926,21.64161495,0.75
E0V1E_protections-sideways,SIDEWAYS,5,4,1,5.71976382,-0.94280648,38.27483868,0.8
E0V1E_protections-sideways,TRANSITION,8,6,2,5.33608745,-5.14706798,23.87338099,0.75
FSampleStrategy-sideways,BEAR,18,2,16,-13.93788942,-155.30725354,202.98258271,0.111111111111
FSampleStrategy-sideways,BULL,22,4,18,-17.83179203,-208.42261417,353.52542717,0.181818181818
FSampleStrategy-sideways,SIDEWAYS,32,13,19,-11.479694685,-100.17811165,472.47180074,0.40625
FSampleStrategy-sideways,TRANSITION,40,10,30,-12.61979746,-132.48034322,257.31930827,0.25
FSampleStrategy-trend,BEAR,21,4,17,-10.60300024,-129.39650488,384.58895487,0.190476190476
FSampleStrategy-trend,BULL,28,8,20,-11.09024615,-94.41798028,226.19039637,0.285714285714
FSampleStrategy-trend,SIDEWAYS,11,3,8,-11.02816132,-60.39658175,115.78229456,0.272727272727
FSampleStrategy-trend,TRANSITION,23,4,19,-11.43775263,-116.84528422,206.39570827,0.173913043478
FastSupertrend_optim3_rsi_80-trend,BEAR,44,14,30,-25.39049441,-374.83883379,1211.54282382,0.318181818182
FastSupertrend_optim3_rsi_80-trend,BULL,35,14,21,-16.44408875,-226.25742264,1665.54975909,0.4
FastSupertrend_optim3_rsi_80-trend,SIDEWAYS,36,26,10,11.36674748,-68.7434144,277.30028526,0.722222222222
FastSupertrend_optim3_rsi_80-trend,TRANSITION,68,38,30,9.810311585,-152.70267995,723.05025376,0.558823529412
FastSupertrend_optim3_rsi_80-uptrend,BEAR,33,15,18,-3.98542824,-174.04297427,463.24629312,0.454545454545
FastSupertrend_optim3_rsi_80-uptrend,BULL,38,18,20,-4.793212665,-391.82746803,2227.05576401,0.473684210526
FastSupertrend_optim3_rsi_80-uptrend,SIDEWAYS,28,19,9,11.47447857,-98.39951273,399.27442599,0.678571428571
FastSupertrend_optim3_rsi_80-uptrend,TRANSITION,54,33,21,12.6211518,-98.72536092,316.60808116,0.611111111111
GodCard-downtrend,BEAR,14,12,2,0.547313305,-10.68644746,13.30116441,0.857142857143
GodCard-downtrend,BULL,1,1,0,0.893922,0.893922,0.893922,1
GodCard-downtrend,SIDEWAYS,7,7,0,1.81400655,0.52705728,7.823997,1
GodCard-downtrend,TRANSITION,9,8,1,0.98202075,-10.25690211,6.98806712,0.888888888889
GodCard-sideways,BEAR,5,2,3,-0.001386,-22.3163696,0.98333289,0.4
GodCard-sideways,BULL,11,9,2,0.3024866,-34.46309225,8.80529367,0.818181818182
GodCard-sideways,SIDEWAYS,12,12,0,0.52036549,0.23153859,15.87023642,1
GodCard-sideways,TRANSITION,14,14,0,0.809777535,0.1532088,18.8972159,1
Hacklemost-sideways,BEAR,3,2,1,4.10883842,-23.54892456,4.93416399,0.666666666667
Hacklemost-sideways,BULL,2,2,0,13.399155325,0.91783126,25.88047939,1
Hacklemost-sideways,SIDEWAYS,3,3,0,1.85904558,1.5355494,13.60794797,1
Hacklemost-sideways,TRANSITION,2,2,0,3.27342615,0.2897055,6.2571468,1
Hammer-transition,BEAR,8,6,2,0.25698357,-11.01166231,9.40455678,0.75
Hammer-transition,BULL,9,8,1,4.96066488,-27.5211029,25.1600488,0.888888888889
Hammer-transition,SIDEWAYS,8,7,1,4.910180105,-32.4770856,17.02280045,0.875
Hammer-transition,TRANSITION,9,6,3,2.61956954,-15.31847955,15.85337369,0.666666666667
MFI2-downtrend,BEAR,17,16,1,12.07564886,-23.76967696,128.97299039,0.941176470588
MFI2-downtrend,BULL,5,4,1,4.63234293,-10.41729214,12.42860547,0.8
MFI2-downtrend,SIDEWAYS,5,4,1,11.49611717,-0.01124098,16.6493025,0.8
MFI2-downtrend,TRANSITION,13,11,2,3.50252271,-35.59263368,13.34833066,0.846153846154
NFI46Z-downtrend,BEAR,15,13,2,0.63541927,-8.618517,15.00422265,0.866666666667
NFI46Z-downtrend,BULL,3,3,0,1.7160741,1.41633306,12.427071,1
NFI46Z-downtrend,SIDEWAYS,5,2,3,-0.1671691,-6.1635805,3.3008179,0.4
NFI46Z-downtrend,TRANSITION,13,8,5,0.6550688,-18.34776265,11.5182521,0.615384615385
NostalgiaForInfinityX-transition,BEAR,2,1,1,-2.50745263,-9.0313187,4.01641344,0.5
NostalgiaForInfinityX-transition,BULL,5,5,0,13.57246842,0.69450456,17.19436605,1
NostalgiaForInfinityX-transition,SIDEWAYS,4,3,1,3.737470555,-8.0699111,19.82210938,0.75
NostalgiaForInfinityX-transition,TRANSITION,9,7,2,2.04876619,-21.5794969,7.61489745,0.777777777778
OversoldReversion-downtrend,BEAR,10,9,1,12.630329395,-65.92591732,301.74169859,0.9
OversoldReversion-downtrend,BULL,1,0,1,-5.88108483,-5.88108483,-5.88108483,0
OversoldReversion-downtrend,SIDEWAYS,3,3,0,8.82778549,2.61095347,14.20320997,1
OversoldReversion-downtrend,TRANSITION,5,2,3,-0.19559958,-47.63574794,15.60130082,0.4
SARCross-sideways,BEAR,2,1,1,-29.62706771,-64.17435602,4.9202206,0.5
