candidate_id,btc_regime,coin_regime,trades,long_trades,short_trades,profit_abs,mean_profit_ratio,wins,gross_profit,gross_loss,mean_duration_minutes,active_dates,profit_factor,win_rate
ADXDM-downtrend,BEAR,BEAR,192,192,0,-117.25807923,-0.00469046917394,143,182.85876707,300.1168463,1694.34895833,103,0.609291911882,0.744791666667
ADXDM-downtrend,BULL,BEAR,15,15,0,5.04004427,0.00319590411279,12,5.05222572,0.01218145,1128,9,414.747482443,0.8
ADXDM-downtrend,SIDEWAYS,BEAR,38,38,0,13.81805109,0.00346346667559,20,14.04848713,0.23043604,5724.73684211,27,60.9648001675,0.526315789474
ADXDM-downtrend,TRANSITION,BEAR,67,67,0,-4.73429021,-0.000701557997974,44,47.05405786,51.78834807,1785.44776119,42,0.90858387289,0.65671641791
BB_RPB_TSL_RNG_2-transition,BEAR,TRANSITION,23,23,0,35.56679843,0.0119272735347,12,63.63151578,28.06471735,19.347826087,7,2.26731361611,0.521739130435
BB_RPB_TSL_RNG_2-transition,BULL,TRANSITION,30,30,0,71.81149804,0.0183743995041,18,102.40110346,30.58960542,9.33333333333,14,3.34757843568,0.6
BB_RPB_TSL_RNG_2-transition,SIDEWAYS,TRANSITION,22,22,0,-15.40342275,-0.00477822379985,9,39.71650909,55.11993184,44.0909090909,8,0.720547137201,0.409090909091
BB_RPB_TSL_RNG_2-transition,TRANSITION,TRANSITION,20,20,0,24.66304706,0.00925860739319,8,29.32825385,4.66520679,35.75,10,6.28659246421,0.4
BB_RTR-sideways,BEAR,SIDEWAYS,25,25,0,40.73162306,0.0121483983657,16,63.34035265,22.60872959,44.2,13,2.8015883156,0.64
BB_RTR-sideways,BEAR,TRANSITION,1,1,0,-0.38535315,-0.0030587390138,0,0,0.38535315,0,1,0,0
BB_RTR-sideways,BULL,SIDEWAYS,35,35,0,75.21666019,0.0156694820884,23,82.97443936,7.75777917,57.2857142857,13,10.6956433719,0.657142857143
BB_RTR-sideways,SIDEWAYS,SIDEWAYS,37,37,0,67.26261183,0.0133228106192,25,72.27649049,5.01387866,55.5405405405,12,14.4152851298,0.675675675676
