candidate_id,coin_phase,episodes,positive_episodes,negative_episodes,median_episode_profit,worst_episode_profit,best_episode_profit,episode_win_rate
ADXDM-sideways,high_vol_shock,8,4,4,0.09695423,-0.01040612,19.26014551,0.5
ADXDM-sideways,range_choppy,95,74,21,0.46239694,-32.4335313,10.8457941,0.778947368421
ADXDM-sideways,range_quiet,85,69,16,0.56737296,-30.9652182,6.57897749,0.811764705882
ADXDM-transition,high_vol_shock,10,7,3,0.000600065,-0.0084144,22.9956132,0.7
ADXDM-transition,transition,140,108,32,0.43922573,-33.66817012,14.76889136,0.771428571429
ADXMomentum-sideways,range_choppy,3,3,0,1.23946179,1.23363625,1.2406373,1
ADXMomentum-sideways,range_quiet,6,3,3,0.578812465,-5.8247412,1.24239261,0.5
ADXMomentum-transition,transition,13,11,2,1.24749663,-3.67268032,2.48815264,0.846153846154
ADX_15M_USDT-sideways,high_vol_shock,26,16,10,0.005649365,-43.49398773,42.97836318,0.615384615385
ADX_15M_USDT-sideways,range_choppy,153,76,77,-0.00011358,-59.1289192,65.75023623,0.496732026144
ADX_15M_USDT-sideways,range_quiet,142,88,54,0.867952495,-34.08536803,25.09251558,0.619718309859
ADX_15M_USDT-sideways,transition,2,2,0,3.66691996,3.04098702,4.2928529,1
ADX_15M_USDT-transition,high_vol_shock,36,24,12,1.05464067,-35.99184428,11.2803165,0.666666666667
ADX_15M_USDT-transition,range_choppy,1,1,0,0.05175345,0.05175345,0.05175345,1
ADX_15M_USDT-transition,transition,223,123,100,0.34824769,-61.99338743,37.51335084,0.551569506726
ASDTSRockwellTrading-sideways,high_vol_shock,17,2,15,-4.75814946,-9.96344369,0.97444448,0.117647058824
ASDTSRockwellTrading-sideways,range_choppy,61,1,60,-4.03974016,-118.14704108,0.9784894,0.016393442623
ASDTSRockwellTrading-sideways,range_quiet,27,4,23,-5.2642891,-32.13960446,2.85517033,0.148148148148
ASDTSRockwellTrading-sideways,transition,4,3,1,0.16697894,-0.088894,0.33335579,0.75
ASDTSRockwellTrading-transition,bear_trend,4,1,3,-0.037799585,-0.100737,0.0170046,0.25
ASDTSRockwellTrading-transition,bull_trend,2,0,2,-0.260798215,-0.37767972,-0.14391671,0
ASDTSRockwellTrading-transition,high_vol_shock,21,2,19,-5.46409594,-24.69825528,0.58612465,0.0952380952381
ASDTSRockwellTrading-transition,range_choppy,4,1,3,-0.0797363,-0.13025495,0.0115424,0.25
ASDTSRockwellTrading-transition,range_quiet,1,0,1,-0.14834399,-0.14834399,-0.14834399,0
ASDTSRockwellTrading-transition,transition,81,0,81,-3.89244112,-96.34488148,-0.0280822,0
AdaptiveRegime-sideways,high_vol_shock,10,2,8,-22.160656755,-79.85993907,53.83997333,0.2
AdaptiveRegime-sideways,range_choppy,51,17,34,-8.75130401,-83.0251835,207.99056918,0.333333333333
AdaptiveRegime-sideways,range_quiet,41,17,24,-4.80314001,-64.28512128,328.05829636,0.414634146341
AdaptiveRegime-sideways,transition,17,5,12,-5.62580255,-52.21998289,91.54192557,0.294117647059
AdaptiveRegime-transition,bear_trend,15,3,12,-4.08735642,-35.78251059,20.69533252,0.2
AdaptiveRegime-transition,bull_trend,11,6,5,2.15152853,-35.29634706,75.51614258,0.545454545455
AdaptiveRegime-transition,high_vol_shock,6,2,4,-29.384646185,-43.24627596,13.73708428,0.333333333333
AdaptiveRegime-transition,transition,74,28,46,-5.086174045,-54.13022949,314.18156054,0.378378378378
AlmgrenChrissStrategy-sideways,high_vol_shock,27,11,16,-0.96884631,-64.25944611,16.14659996,0.407407407407
AlmgrenChrissStrategy-sideways,range_choppy,151,58,93,-0.85397892,-44.93319081,16.41546984,0.384105960265
AlmgrenChrissStrategy-sideways,range_quiet,125,40,85,-0.82354688,-16.71032301,9.60910184,0.32
AlmgrenChrissStrategy-sideways,transition,1,1,0,0.8476398,0.8476398,0.8476398,1
AlmgrenChrissStrategy-transition,bear_trend,2,2,0,1.06733877,0.95501706,1.17966048,1
AlmgrenChrissStrategy-transition,bull_trend,3,1,2,-4.57336171,-8.3780176,1.79014311,0.333333333333
AlmgrenChrissStrategy-transition,high_vol_shock,36,23,13,0.951592005,-147.57580103,49.78327566,0.638888888889
AlmgrenChrissStrategy-transition,range_choppy,1,0,1,-0.44881962,-0.44881962,-0.44881962,0
AlmgrenChrissStrategy-transition,range_quiet,2,1,1,-1.069219825,-3.35844902,1.22000937,0.5
AlmgrenChrissStrategy-transition,transition,224,91,133,-1.25099971,-31.47029087,23.21011318,0.40625
BBMod-sideways,high_vol_shock,24,20,4,2.41050633,-10.69030472,11.59853742,0.833333333333
BBMod-sideways,range_choppy,122,60,62,-0.15622658,-24.65873689,26.92870912,0.491803278689
BBMod-sideways,range_quiet,81,51,30,0.69162016,-14.87489362,72.75550267,0.62962962963
BBMod-transition,bear_trend,1,1,0,1.3492869,1.3492869,1.3492869,1
BBMod-transition,high_vol_shock,27,21,6,4.1347037,-26.797695,25.20606922,0.777777777778
BBMod-transition,transition,167,93,74,0.52189827,-26.5611902,37.44965039,0.556886227545
