candidate_id,btc_regime,episodes,positive_episodes,negative_episodes,median_episode_profit,worst_episode_profit,best_episode_profit,episode_win_rate
ADXDM-trend,BULL,28,18,10,0.30432487,-50.93601568,15.89952681,0.642857142857
ADXMomentum-trend,BULL,9,5,4,1.20432652,-14.47065153,1.23858863,0.555555555556
ADX_15M_USDT-trend,BEAR,1,0,1,-11.70318384,-11.70318384,-11.70318384,0
ADX_15M_USDT-trend,BULL,36,11,25,-8.38649403,-85.90645848,30.78564868,0.305555555556
ASDTSRockwellTrading-trend,BEAR,1,1,0,0.54100184,0.54100184,0.54100184,1
ASDTSRockwellTrading-trend,BULL,16,1,15,-14.26827932,-295.31850143,0.52254377,0.0625
AdaptiveRegime-trend,BEAR,12,3,9,-16.47323596,-303.19777847,84.93249316,0.25
AdaptiveRegime-trend,BULL,16,7,9,-10.35031364,-123.78386524,460.13293763,0.4375
AlmgrenChrissStrategy-trend,BEAR,40,15,25,-9.4406999,-115.93458334,49.54492672,0.375
AlmgrenChrissStrategy-trend,BULL,33,16,17,-0.30422701,-42.42152373,135.55539153,0.484848484848
AlmgrenChrissStrategy-trend,TRANSITION,1,0,1,-0.95079121,-0.95079121,-0.95079121,0
BBMod-trend,BULL,27,19,8,4.69460716,-64.10721267,160.59290052,0.703703703704
