candidate_id,coin_phase,episodes,positive_episodes,negative_episodes,median_episode_profit,worst_episode_profit,best_episode_profit,episode_win_rate
ADXDM-trend,bull_trend,74,52,22,0.418649415,-31.6859494,8.7924454,0.702702702703
ADXDM-trend,high_vol_shock,7,5,2,0.65938736,-0.01292476,9.94711643,0.714285714286
ADXMomentum-trend,bull_trend,8,5,3,1.204586385,-9.55437155,1.23858863,0.625
ADXMomentum-trend,high_vol_shock,1,0,1,-14.47065153,-14.47065153,-14.47065153,0
ADX_15M_USDT-trend,bull_trend,124,60,64,-0.004587325,-50.9954822,24.65112256,0.483870967742
ADX_15M_USDT-trend,high_vol_shock,21,4,17,-8.70093733,-47.32895795,9.40246878,0.190476190476
ASDTSRockwellTrading-trend,bear_trend,1,0,1,-0.51769393,-0.51769393,-0.51769393,0
ASDTSRockwellTrading-trend,bull_trend,65,5,60,-2.62224471,-100.39275373,12.5883435,0.0769230769231
ASDTSRockwellTrading-trend,high_vol_shock,11,0,11,-10.47785824,-46.44471633,-0.01664911,0
ASDTSRockwellTrading-trend,transition,2,1,1,-0.028630135,-0.16120104,0.10394077,0.5
AdaptiveRegime-trend,bear_trend,42,17,25,-5.56194322,-86.47222633,57.34457622,0.404761904762
AdaptiveRegime-trend,bull_trend,55,17,38,-5.26317839,-38.83849858,326.149831,0.309090909091
AdaptiveRegime-trend,high_vol_shock,13,4,9,-21.4767637,-62.40872189,112.93143952,0.307692307692
AlmgrenChrissStrategy-trend,bear_trend,124,55,69,-0.530761605,-36.44667619,38.54701982,0.443548387097
AlmgrenChrissStrategy-trend,bull_trend,124,69,55,1.01780541,-30.2771948,42.42047573,0.556451612903
AlmgrenChrissStrategy-trend,high_vol_shock,40,16,24,-5.00073284,-66.1507697,93.22640546,0.4
BBMod-trend,bull_trend,102,71,31,1.41340179,-16.8193567,28.04048992,0.696078431373
BBMod-trend,high_vol_shock,22,15,7,6.563963515,-23.40690207,98.30487289,0.681818181818
