candidate_id,coin_phase,trades,long_trades,short_trades,profit_abs,mean_profit_ratio,wins,gross_profit,gross_loss,mean_duration_minutes,active_dates,profit_factor,win_rate
ADXDM-trend,bull_trend,157,157,0,-49.90361481,-0.00242040482609,111,106.08618695,155.98980176,2853.02547771,95,0.680084119302,0.707006369427
ADXDM-trend,high_vol_shock,12,12,0,18.5423086,0.0123490297525,8,18.55741173,0.01510313,383.75,10,1228.71297076,0.666666666667
ADXMomentum-trend,bull_trend,8,8,0,-9.53719475,-0.00962823466281,5,6.06027604,15.59747079,577.5,8,0.388542227236,0.625
ADXMomentum-trend,high_vol_shock,1,1,0,-14.47065153,-0.117851934372,0,0,14.47065153,3360,1,0,0
ADX_15M_USDT-trend,bull_trend,1367,1367,0,-258.21574629,-0.00188106247485,930,997.73926404,1255.95501033,1585.55596196,518,0.794406850432,0.680321872714
ADX_15M_USDT-trend,high_vol_shock,236,236,0,-260.81894814,-0.0118411676481,151,306.27004989,567.08899803,822.711864407,102,0.540074046497,0.639830508475
ASDTSRockwellTrading-trend,bear_trend,1,1,0,-0.51769393,-0.0105735931909,0,0,0.51769393,5,1,0,0
ASDTSRockwellTrading-trend,bull_trend,11129,11129,0,-819.76869422,-0.0019789508163,2787,974.87452696,1794.64322118,44.8104052476,300,0.543213556575,0.250426812831
ASDTSRockwellTrading-trend,high_vol_shock,2229,2229,0,-145.439167,-0.00220962093894,662,320.72605222,466.16521922,40.5966801256,83,0.688009398806,0.296994167788
ASDTSRockwellTrading-trend,transition,2,2,0,-0.05726027,0.000346945918711,1,0.10394077,0.16120104,35,2,0.644789698627,0.5
AdaptiveRegime-trend,bear_trend,49,0,49,-284.4793609,-0.0365017058411,18,279.26641303,563.74577393,23186.9387755,32,0.49537650825,0.367346938776
AdaptiveRegime-trend,bull_trend,62,62,0,696.58730033,0.0992423665387,23,1280.48673985,583.89943952,45778.0645161,49,2.19299189755,0.370967741935
AdaptiveRegime-trend,high_vol_shock,17,9,8,-99.0374642,-0.0348601910511,4,219.28801592,318.32548012,17364.7058824,15,0.688879871751,0.235294117647
AlmgrenChrissStrategy-trend,bear_trend,1988,1,1987,-208.81423463,-0.000248153079635,1420,2078.06577464,2286.88000927,1871.12173038,481,0.908690340646,0.714285714286
AlmgrenChrissStrategy-trend,bull_trend,1877,1877,0,242.60015822,0.00177565406907,1426,2257.27715879,2014.67700057,1804.85881726,467,1.1204164033,0.759722962174
AlmgrenChrissStrategy-trend,high_vol_shock,1852,801,1051,-178.24827211,-0.000111358110091,1384,2617.30434899,2795.5526211,513.264038877,272,0.936238627467,0.747300215983
BBMod-trend,bull_trend,784,784,0,242.33102938,0.00217191294819,528,991.00052813,748.66949875,38.4757653061,203,1.32368225203,0.673469387755
BBMod-trend,high_vol_shock,567,567,0,234.12516654,0.00298096846832,385,955.31897791,721.19381137,35.4320987654,107,1.32463557347,0.679012345679
