candidate_id,btc_regime,coin_regime,trades,long_trades,short_trades,profit_abs,mean_profit_ratio,wins,gross_profit,gross_loss,mean_duration_minutes,active_dates,profit_factor,win_rate
ADXDM-trend,BULL,BULL,169,169,0,-31.36130621,-0.0013716875779,119,124.64359868,156.00490489,2677.69230769,104,0.798972306466,0.704142011834
ADXMomentum-trend,BULL,BULL,9,9,0,-24.00784628,-0.021653090186,5,6.06027604,30.06812232,886.666666667,9,0.201551529407,0.555555555556
ADX_15M_USDT-trend,BEAR,BEAR,1,1,0,-11.70318384,-0.127223347909,0,0,11.70318384,720,1,0,0
ADX_15M_USDT-trend,BULL,BULL,1602,1602,0,-507.33151059,-0.00327010275915,1081,1304.00931393,1811.34082452,1473.71722846,544,0.71991383194,0.674781523096
ASDTSRockwellTrading-trend,BEAR,BULL,1,1,0,0.54100184,0.0299985101593,1,0.54100184,0,50,1,,1
ASDTSRockwellTrading-trend,BULL,BEAR,2,2,0,-0.72585988,-0.0110943034209,0,0,0.72585988,7.5,2,0,0
ASDTSRockwellTrading-trend,BULL,BULL,13356,13356,0,-965.54069711,-0.00201912041061,3448,1295.05957734,2260.60027445,44.1093890386,300,0.572883048798,0.258161126086
ASDTSRockwellTrading-trend,BULL,TRANSITION,2,2,0,-0.05726027,0.000346945918711,1,0.10394077,0.16120104,35,2,0.644789698627,0.5
AdaptiveRegime-trend,BEAR,BEAR,57,0,57,-393.98507252,-0.0433722813248,20,309.6768247,703.66189722,21018.9473684,35,0.440093212271,0.350877192982
AdaptiveRegime-trend,BULL,BULL,71,71,0,707.05554775,0.0879442243216,25,1469.3643441,762.30879635,43260.8450704,55,1.92751854778,0.352112676056
AlmgrenChrissStrategy-trend,BEAR,BEAR,3038,1,3037,-447.67137568,-0.000579557521924,2176,3368.09767258,3815.76904826,1423.6323239,530,0.882678597678,0.716260697828
AlmgrenChrissStrategy-trend,BULL,BEAR,1,1,0,2.31784417,0.0199889075354,1,2.31784417,0,30,1,,1
AlmgrenChrissStrategy-trend,BULL,BULL,2677,2677,0,301.8419742,0.0016381355235,2053,3582.23176567,3280.38979147,1393.39185656,499,1.09201405729,0.766903249907
AlmgrenChrissStrategy-trend,TRANSITION,BEAR,1,0,1,-0.95079121,-0.0112428068887,0,0,0.95079121,2940,1,0,0
BBMod-trend,BULL,BULL,1351,1351,0,476.45619592,0.00251146474679,913,1946.31950604,1469.86331012,37.1983715766,242,1.32415000268,0.675795706884
