candidate_id,coin_phase,episodes,positive_episodes,negative_episodes,median_episode_profit,worst_episode_profit,best_episode_profit,episode_win_rate
ADXDM-downtrend,bear_trend,72,58,14,0.68935471,-29.3226091,8.0860171,0.805555555556
ADXDM-downtrend,high_vol_shock,8,5,3,0.06000607,-38.06779805,12.44744617,0.625
BB_RPB_TSL_RNG_2-transition,high_vol_shock,2,1,1,1.11888451,-0.4443217,2.68209072,0.5
BB_RPB_TSL_RNG_2-transition,transition,10,7,3,2.36887132,-0.70400494,6.54889771,0.7
BB_RTR-sideways,high_vol_shock,2,1,1,3.106180785,-0.42645834,6.63881991,0.5
BB_RTR-sideways,range_choppy,12,10,2,2.81803934,-0.42959494,5.84578462,0.833333333333
BB_RTR-sideways,range_quiet,7,4,3,1.51969437,-0.51463641,17.88756246,0.571428571429
BB_RTR-transition,high_vol_shock,2,0,2,-0.39770686,-0.44759278,-0.34782094,0
BB_RTR-transition,transition,16,12,4,2.626872635,-8.12716836,6.380296,0.75
BigTrader-sideways,range_choppy,6,6,0,5.29844763,3.21300526,7.0638652,1
BigTrader-sideways,range_quiet,3,3,0,4.09184528,3.23762778,4.23275952,1
BigTrader-transition,transition,7,7,0,3.20228508,1.45795648,3.9609483,1
Cenderawasih_3_kucoin-sideways,high_vol_shock,2,0,2,-2.09693133,-2.7170757,-1.47678696,0
Cenderawasih_3_kucoin-sideways,range_choppy,6,5,1,0.91654023,-0.5072504,2.6084898,0.833333333333
Cenderawasih_3_kucoin-sideways,range_quiet,2,0,2,-1.156424815,-1.32179187,-0.99105776,0
CryptoFrog_nateema-transition,high_vol_shock,13,11,2,2.02699843,-8.07729007,9.12749467,0.846153846154
CryptoFrog_nateema-transition,transition,67,42,25,1.2090594,-19.11391798,12.57962646,0.626865671642
CustomStoplossWithPSAR-downtrend,bear_trend,29,13,16,-100.94177392,-349.78233027,967.4877406,0.448275862069
CustomStoplossWithPSAR-downtrend,high_vol_shock,8,3,5,-21.187468335,-155.6025371,4677.3905166,0.375
E0V1E_protections-sideways,high_vol_shock,2,1,1,3.253028355,-0.86483979,7.3708965,0.5
E0V1E_protections-sideways,range_choppy,4,3,1,9.1102066,-0.87067564,15.8737495,0.75
E0V1E_protections-sideways,range_quiet,5,4,1,4.49092332,-0.86400776,5.90701062,0.8
FSampleStrategy-sideways,high_vol_shock,3,0,3,-14.51144799,-27.52456173,-10.54915092,0
FSampleStrategy-sideways,range_choppy,52,14,38,-12.78832891,-54.71353668,300.93146436,0.269230769231
FSampleStrategy-sideways,range_quiet,64,21,43,-12.29916854,-49.89395017,219.166093,0.328125
FSampleStrategy-sideways,transition,1,0,1,-13.76107813,-13.76107813,-13.76107813,0
FSampleStrategy-trend,bear_trend,11,6,5,1.63330028,-9.22143876,18.38393734,0.545454545455
FSampleStrategy-trend,bull_trend,79,15,64,-9.01143464,-47.63999076,175.97251347,0.189873417722
FSampleStrategy-trend,high_vol_shock,19,4,15,-9.36082986,-40.03861748,163.52057414,0.210526315789
FastSupertrend_optim3_rsi_80-trend,bear_trend,122,55,67,-3.266574655,-72.30588273,282.07874378,0.450819672131
FastSupertrend_optim3_rsi_80-trend,bull_trend,121,54,67,-2.89713303,-60.19040705,205.1018568,0.446280991736
FastSupertrend_optim3_rsi_80-trend,high_vol_shock,36,17,19,-6.205892425,-296.78830364,245.63169768,0.472222222222
FastSupertrend_optim3_rsi_80-trend,transition,1,1,0,3.8420525,3.8420525,3.8420525,1
FastSupertrend_optim3_rsi_80-uptrend,bear_trend,5,1,4,-12.5854336,-21.8733108,4.61031956,0.2
FastSupertrend_optim3_rsi_80-uptrend,bull_trend,130,60,70,-2.501092295,-92.66110203,208.26872417,0.461538461538
FastSupertrend_optim3_rsi_80-uptrend,high_vol_shock,22,14,8,6.91095966,-66.20582657,278.85166211,0.636363636364
FastSupertrend_optim3_rsi_80-uptrend,transition,3,3,0,4.97088577,4.87632578,5.47633091,1
GodCard-downtrend,bear_trend,32,28,4,0.50965865,-11.07730925,3.8723421,0.875
GodCard-downtrend,high_vol_shock,3,3,0,0.87640465,0.00557216,3.8302173,1
GodCard-sideways,range_choppy,8,8,0,0.287730395,0.04800861,3.91994724,1
GodCard-sideways,range_quiet,17,17,0,1.68284448,0.02910804,5.70233046,1
Hacklemost-sideways,range_choppy,4,4,0,3.20174654,1.8519228,7.36762813,1
Hacklemost-sideways,range_quiet,1,1,0,1.5545068,1.5545068,1.5545068,1
Hammer-transition,transition,17,11,6,1.77359026,-25.61473754,10.89630889,0.647058823529
MFI2-downtrend,bear_trend,44,39,5,6.14711587,-23.82806609,42.13515196,0.886363636364
MFI2-downtrend,high_vol_shock,14,10,4,2.010416,-39.53544005,30.10658514,0.714285714286
NFI46Z-downtrend,bear_trend,29,23,6,0.63008696,-5.56959186,5.0156184,0.793103448276
NFI46Z-downtrend,high_vol_shock,5,4,1,3.97344704,-0.6496074,5.49468606,0.8
NostalgiaForInfinityX-transition,high_vol_shock,1,1,0,7.51124839,7.51124839,7.51124839,1
NostalgiaForInfinityX-transition,transition,8,6,2,1.45980086,-21.5794969,6.56219355,0.75
OversoldReversion-downtrend,bear_trend,27,21,6,9.522152,-29.90637423,36.56139968,0.777777777778
OversoldReversion-downtrend,high_vol_shock,12,11,1,15.698296,-4.19393603,74.64651651,0.916666666667
SARCross-sideways,high_vol_shock,1,1,0,10.39311802,10.39311802,10.39311802,1
SARCross-sideways,range_choppy,8,8,0,5.02773993,0.01474968,8.03690623,1
SARCross-sideways,range_quiet,5,4,1,3.24517818,-0.003099,6.51775745,0.8
SARCross-transition,transition,12,10,2,1.24180714,-0.0163185,4.87832697,0.833333333333
SimpleBollinger-downtrend,bear_trend,24,22,2,1.99461663,-2.398e-05,5.01877191,0.916666666667
SimpleBollinger-downtrend,high_vol_shock,3,3,0,0.48378073,0.00243712,2.31823512,1
Squeeze001-downtrend,bear_trend,28,22,6,0.61777352,-33.1405125,10.00703574,0.785714285714
Squeeze001-downtrend,high_vol_shock,13,11,2,5.15732,-11.58599885,17.15396869,0.846153846154
TheRealPullbackV2-sideways,high_vol_shock,2,2,0,3.261654545,2.51183539,4.0114737,1
TheRealPullbackV2-sideways,range_choppy,19,13,6,1.0942606,-0.8805888,8.86363884,0.684210526316
