candidate_id,coin_regime,episodes,positive_episodes,negative_episodes,median_episode_profit,worst_episode_profit,best_episode_profit,episode_win_rate
ADXDM-sideways,SIDEWAYS,98,81,17,0.361110195,-32.07529206,4.91177969,0.826530612245
ADXDM-transition,TRANSITION,92,67,25,0.04368294,-31.26330087,4.85044886,0.728260869565
ADXMomentum-sideways,SIDEWAYS,6,4,2,1.23811619,-3.22590602,1.2406373,0.666666666667
ADXMomentum-transition,TRANSITION,3,2,1,1.23408515,-3.65543769,1.23694038,0.666666666667
ADX_15M_USDT-sideways,SIDEWAYS,204,143,61,1.5809433,-68.86736878,29.49618886,0.700980392157
ADX_15M_USDT-sideways,TRANSITION,1,1,0,3.94306489,3.94306489,3.94306489,1
ADX_15M_USDT-transition,TRANSITION,279,188,91,0.18384703,-33.27374834,18.3338808,0.673835125448
ASDTSRockwellTrading-sideways,SIDEWAYS,155,9,146,-2.87113805,-47.14300901,9.80336817,0.058064516129
ASDTSRockwellTrading-sideways,TRANSITION,6,2,4,-0.04071561,-0.8492796,0.71407825,0.333333333333
ASDTSRockwellTrading-transition,BEAR,1,0,1,-0.115702,-0.115702,-0.115702,0
ASDTSRockwellTrading-transition,BULL,1,0,1,-0.75247882,-0.75247882,-0.75247882,0
ASDTSRockwellTrading-transition,SIDEWAYS,4,0,4,-0.094570265,-0.33807454,-0.00941374,0
ASDTSRockwellTrading-transition,TRANSITION,304,19,285,-1.48343135,-28.28582288,10.05803187,0.0625
AdaptiveRegime-sideways,SIDEWAYS,40,15,25,-8.064713545,-70.81889425,328.05829636,0.375
AdaptiveRegime-sideways,TRANSITION,8,3,5,-12.596350805,-20.37101071,55.98865473,0.375
AdaptiveRegime-transition,BEAR,6,1,5,-10.01177429,-20.97937063,3.39292489,0.166666666667
AdaptiveRegime-transition,BULL,7,3,4,-3.28168349,-29.7817624,27.08191733,0.428571428571
AdaptiveRegime-transition,TRANSITION,34,12,22,-7.42774938,-33.88618826,25.45498833,0.352941176471
AlmgrenChrissStrategy-sideways,SIDEWAYS,203,78,125,-0.89264904,-32.04903063,13.25089431,0.384236453202
AlmgrenChrissStrategy-transition,BULL,2,2,0,2.08666582,1.74713222,2.42619942,1
AlmgrenChrissStrategy-transition,TRANSITION,300,151,149,0.023434145,-24.17703133,29.12887472,0.503333333333
BBMod-sideways,SIDEWAYS,100,56,44,0.309035055,-21.23166875,13.76443393,0.56
BBMod-transition,TRANSITION,129,70,59,0.309943,-11.2850851,12.3056623,0.542635658915
