candidate_id,coin_regime,trades,long_trades,short_trades,profit_abs,mean_profit_ratio,wins,gross_profit,gross_loss,mean_duration_minutes,active_dates,profit_factor,win_rate
ADXDM-sideways,SIDEWAYS,139,139,0,-7.18319268,-0.000341476667446,103,88.43368997,95.61688265,3045.4676259,89,0.924875268039,0.741007194245
ADXDM-transition,TRANSITION,124,124,0,-78.00639862,-0.00509881093579,80,73.7684096,151.77480822,3392.74193548,81,0.486038562428,0.645161290323
ADXMomentum-sideways,SIDEWAYS,7,7,0,1.64627135,0.00190585199061,4,4.955569,3.30929765,608.571428571,6,1.49746850363,0.571428571429
ADXMomentum-transition,TRANSITION,3,3,0,-1.18441216,-0.00316494815038,2,2.47102553,3.65543769,2180,3,0.675986226426,0.666666666667
ADX_15M_USDT-sideways,SIDEWAYS,1208,1208,0,17.83186271,0.000328941365949,825,1243.14959782,1225.31773511,1916.08857616,454,1.01455284797,0.682947019868
ADX_15M_USDT-sideways,TRANSITION,1,1,0,3.94306489,0.0276553559931,1,3.94306489,0,540,1,inf,1
ADX_15M_USDT-transition,TRANSITION,731,731,0,-241.40128149,-0.00287512802229,499,551.33976636,792.74104785,2226.5253078,358,0.695485326331,0.682626538988
ASDTSRockwellTrading-sideways,SIDEWAYS,13492,13492,0,-965.886759,-0.00200535844596,2716,913.6462208,1879.5329798,47.4273643641,370,0.486102787564,0.201304476727
ASDTSRockwellTrading-sideways,TRANSITION,6,6,0,0.06321442,-0.00238844988727,2,1.04743404,0.98421962,42.5,6,1.06422796164,0.333333333333
ASDTSRockwellTrading-transition,BEAR,1,1,0,-0.115702,-0.00115237699468,0,0,0.115702,70,1,0,0
ASDTSRockwellTrading-transition,BULL,1,1,0,-0.75247882,-0.0104109256266,0,0,0.75247882,10,1,0,0
ASDTSRockwellTrading-transition,SIDEWAYS,4,4,0,-0.53662881,-0.00517457120428,0,0,0.53662881,31.25,4,0,0
ASDTSRockwellTrading-transition,TRANSITION,11829,11829,0,-957.52810591,-0.00219251242676,2449,923.14591977,1880.67402568,46.978189196,504,0.490859078801,0.207033561586
AdaptiveRegime-sideways,SIDEWAYS,44,23,21,541.51291103,0.105651587799,15,1131.87816447,590.36525344,40647.2727273,31,1.91725064759,0.340909090909
AdaptiveRegime-sideways,TRANSITION,8,4,4,13.59439733,0.0405162585522,3,93.23436905,79.63997172,52740,8,1.17069816873,0.375
AdaptiveRegime-transition,BEAR,6,0,6,-52.69952081,-0.0878224236853,1,3.39292489,56.0924457,16080,5,0.0604880897536,0.166666666667
AdaptiveRegime-transition,BULL,7,7,0,-20.13820074,-0.0205059825217,3,44.79939151,64.93759225,46285.7142857,7,0.689883778529,0.428571428571
AdaptiveRegime-transition,TRANSITION,34,9,25,-130.93177244,-0.0318691549801,12,162.64654092,293.57831336,34009.4117647,29,0.554014154038,0.352941176471
AlmgrenChrissStrategy-sideways,SIDEWAYS,1593,789,804,-565.55598476,-0.00500790845697,1032,1029.47980268,1595.03578744,2496.02636535,419,0.645427400931,0.647834274953
AlmgrenChrissStrategy-transition,BULL,2,1,1,4.17333164,0.0200198430575,2,4.17333164,0,67.5,2,inf,1
AlmgrenChrissStrategy-transition,TRANSITION,1421,762,659,-259.06637619,-0.00180991144943,989,1433.04540918,1692.11178537,2183.39197748,361,0.846897599538,0.695988740324
BBMod-sideways,SIDEWAYS,308,308,0,-33.0323151,-0.000741076853951,189,338.49289012,371.52520522,47.224025974,90,0.911089975496,0.613636363636
BBMod-transition,TRANSITION,313,313,0,29.06101421,0.000798445154732,188,290.10654997,261.04553576,48.5942492013,107,1.11132545947,0.600638977636
