candidate_id,btc_regime,coin_regime,trades,long_trades,short_trades,profit_abs,mean_profit_ratio,wins,gross_profit,gross_loss,mean_duration_minutes,active_dates,profit_factor,win_rate
ADXDM-sideways,SIDEWAYS,SIDEWAYS,139,139,0,-7.18319268,-0.000341476667446,103,88.43368997,95.61688265,3045.4676259,89,0.924875268039,0.741007194245
ADXDM-transition,TRANSITION,TRANSITION,124,124,0,-78.00639862,-0.00509881093579,80,73.7684096,151.77480822,3392.74193548,81,0.486038562428,0.645161290323
ADXMomentum-sideways,SIDEWAYS,SIDEWAYS,7,7,0,1.64627135,0.00190585199061,4,4.955569,3.30929765,608.571428571,6,1.49746850363,0.571428571429
ADXMomentum-transition,TRANSITION,TRANSITION,3,3,0,-1.18441216,-0.00316494815038,2,2.47102553,3.65543769,2180,3,0.675986226426,0.666666666667
ADX_15M_USDT-sideways,SIDEWAYS,SIDEWAYS,1208,1208,0,17.83186271,0.000328941365949,825,1243.14959782,1225.31773511,1916.08857616,454,1.01455284797,0.682947019868
ADX_15M_USDT-sideways,TRANSITION,TRANSITION,1,1,0,3.94306489,0.0276553559931,1,3.94306489,0,540,1,inf,1
ADX_15M_USDT-transition,BEAR,TRANSITION,1,1,0,3.64295988,0.0354109483795,1,3.64295988,0,225,1,inf,1
ADX_15M_USDT-transition,BULL,TRANSITION,1,1,0,-8.145e-05,-8.37001389142e-07,0,0,8.145e-05,1650,1,0,0
ADX_15M_USDT-transition,SIDEWAYS,TRANSITION,2,2,0,4.40318298,0.0177332882137,2,4.40318298,0,1245,2,inf,1
ADX_15M_USDT-transition,TRANSITION,TRANSITION,727,727,0,-249.4473429,-0.00298843916383,496,543.2936235,792.7409664,2232.77166437,354,0.685335622262,0.682255845942
ASDTSRockwellTrading-sideways,SIDEWAYS,SIDEWAYS,13489,13489,0,-965.40301626,-0.00200501428294,2716,913.6462208,1879.04923706,47.4349469938,367,0.486227929945,0.201349247535
ASDTSRockwellTrading-sideways,SIDEWAYS,TRANSITION,4,4,0,-0.61440945,-0.00524200395273,1,0.33335579,0.94776524,45,4,0.351728229662,0.25
ASDTSRockwellTrading-sideways,TRANSITION,SIDEWAYS,3,3,0,-0.48374274,-0.00355283008833,0,0,0.48374274,13.3333333333,3,0,0
ASDTSRockwellTrading-sideways,TRANSITION,TRANSITION,2,2,0,0.67762387,0.00331865824365,1,0.71407825,0.03645438,37.5,2,19.5882703258,0.5
ASDTSRockwellTrading-transition,BEAR,BEAR,1,1,0,-0.115702,-0.00115237699468,0,0,0.115702,70,1,0,0
ASDTSRockwellTrading-transition,BULL,BULL,1,1,0,-0.75247882,-0.0104109256266,0,0,0.75247882,10,1,0,0
ASDTSRockwellTrading-transition,SIDEWAYS,SIDEWAYS,3,3,0,-0.19855427,-0.00386979652496,0,0,0.19855427,31.6666666667,3,0,0
ASDTSRockwellTrading-transition,TRANSITION,SIDEWAYS,1,1,0,-0.33807454,-0.00908889524223,0,0,0.33807454,30,1,0,0
ASDTSRockwellTrading-transition,TRANSITION,TRANSITION,11829,11829,0,-957.52810591,-0.00219251242676,2449,923.14591977,1880.67402568,46.978189196,504,0.490859078801,0.207033561586
AdaptiveRegime-sideways,SIDEWAYS,SIDEWAYS,42,22,20,536.08370431,0.109882760104,14,1103.719976,567.63627169,40868.5714286,29,1.94441410996,0.333333333333
AdaptiveRegime-sideways,SIDEWAYS,TRANSITION,6,3,3,-30.82437013,-0.00940502951054,2,37.24571432,68.07008445,48720,6,0.547167153103,0.333333333333
AdaptiveRegime-sideways,TRANSITION,SIDEWAYS,2,1,1,5.42920672,0.016796969391,1,28.15818847,22.72898175,36000,2,1.23886713359,0.5
AdaptiveRegime-sideways,TRANSITION,TRANSITION,2,1,1,44.41876746,0.19028012274,1,55.98865473,11.56988727,64800,2,4.83917028951,0.5
AdaptiveRegime-transition,BEAR,BEAR,3,0,3,-32.40229826,-0.108695280597,1,3.39292489,35.79522315,21120,2,0.0947870858573,0.333333333333
AdaptiveRegime-transition,BEAR,TRANSITION,2,0,2,-37.00154244,-0.168011115135,0,0,37.00154244,15840,2,0,0
AdaptiveRegime-transition,BULL,BULL,2,2,0,4.65691788,0.0582964070912,1,7.93860137,3.28168349,48240,2,2.41906368917,0.5
AdaptiveRegime-transition,BULL,TRANSITION,2,2,0,27.20296005,0.14327510248,2,27.20296005,0,61920,2,inf,1
AdaptiveRegime-transition,SIDEWAYS,TRANSITION,1,1,0,-33.22008292,-0.259475421446,0,0,33.22008292,14400,1,0,0
AdaptiveRegime-transition,TRANSITION,BEAR,3,0,3,-20.29722255,-0.0669495667735,0,0,20.29722255,11040,3,0,0
AdaptiveRegime-transition,TRANSITION,BULL,5,5,0,-24.79511862,-0.0520269383669,2,36.86079014,61.65590876,45504,5,0.597846838711,0.4
AdaptiveRegime-transition,TRANSITION,TRANSITION,29,6,23,-87.91310713,-0.0267104766403,10,135.44358087,223.356688,34013.7931034,24,0.606400381752,0.344827586207
AlmgrenChrissStrategy-sideways,SIDEWAYS,SIDEWAYS,1592,788,804,-562.17681465,-0.00498668807765,1032,1029.47980268,1591.65661733,2496.98178392,418,0.646797677006,0.64824120603
AlmgrenChrissStrategy-sideways,TRANSITION,SIDEWAYS,1,1,0,-3.37917011,-0.0387907523427,0,0,3.37917011,975,1,0,0
AlmgrenChrissStrategy-transition,SIDEWAYS,TRANSITION,2,0,2,-1.18134015,-0.00344726001883,1,0.50521389,1.68655404,502.5,2,0.299553929502,0.5
AlmgrenChrissStrategy-transition,TRANSITION,BULL,2,1,1,4.17333164,0.0200198430575,2,4.17333164,0,67.5,2,inf,1
AlmgrenChrissStrategy-transition,TRANSITION,TRANSITION,1419,762,657,-257.88503604,-0.00180760369951,988,1432.54019529,1690.42523133,2185.76109937,359,0.847443689753,0.696264975335
BBMod-sideways,SIDEWAYS,SIDEWAYS,308,308,0,-33.0323151,-0.000741076853951,189,338.49289012,371.52520522,47.224025974,90,0.911089975496,0.613636363636
BBMod-transition,TRANSITION,TRANSITION,313,313,0,29.06101421,0.000798445154732,188,290.10654997,261.04553576,48.5942492013,107,1.11132545947,0.600638977636
