candidate_id,strategy_id,model,total_trades,trade_count_long,trade_count_short,profit_total,profit_total_abs,profit_factor,expectancy,max_drawdown_account,max_drawdown_abs,cagr,sharpe,sortino,market_change,backtest_start,backtest_end,position_time_days,mean_open_positions,slot_utilization,time_weighted_gross_capital_exposure
ASDTSRockwellTrading-trend,ASDTSRockwellTrading,model0,13402,13402,0,-0.96571167852,-965.71167852,0.521668361997,-0.0720572808924,0.96571167852,965.71167852,-0.410173878891,-19.3010291457,-32.0545828048,5.41901353745,2020-04-01T00:00:00+00:00,2026-08-20T23:55:00+00:00,428.604166667,0.183714018244,0.0229642522805,0.00743089730897
ASDTSRockwellTrading-trend,ASDTSRockwellTrading,model1,13855,13855,0,-0.96568307464,-965.68307464,0.510389237868,-0.0696992475381,0.965695060986,966.03248047,-0.41009689244,-22.6560976743,-35.5547409046,5.41901353745,2020-04-01T00:00:00+00:00,2026-08-20T23:55:00+00:00,416.336805556,0.178455818771,0.0223069773464,0.00611322805058
ASDTSRockwellTrading-trend,ASDTSRockwellTrading,model2,14234,14234,0,-0.96568327036,-965.68327036,0.589173303719,-0.0678434221132,0.96568327036,965.68327036,-0.410097419031,-18.0617956273,-29.1356936863,5.41901353745,2020-04-01T00:00:00+00:00,2026-08-20T23:55:00+00:00,426.649305556,0.182876099675,0.0228595124594,0.00653461128856
ASDTSRockwellTrading-trend,ASDTSRockwellTrading,model3,13361,13361,0,-0.96578281542,-965.78281542,0.572943522471,-0.0722837224325,0.965794766928,966.13222125,-0.410365576787,-17.5983671745,-26.9774634721,5.41901353745,2020-04-01T00:00:00+00:00,2026-08-20T23:55:00+00:00,409.208333333,0.175400318201,0.0219250397751,0.00619227102899
ADXDM-trend,ADXDM,model0,1132,1132,0,-0.2151390322,-215.1390322,0.804486162268,-0.190052148587,0.370205912944,433.28839814,-0.0372064599459,-0.310825637821,-0.187533416323,5.41901353745,2020-04-01T00:00:00+00:00,2026-08-20T23:55:00+00:00,1847.44791667,0.791877696632,0.098984712079,0.0855939657148
ADXDM-trend,ADXDM,model1,324,324,0,0.07373258159,73.73258159,1.3679264616,0.227569696265,0.0672337446368,71.84280646,0.0111970665137,0.124959776338,0.0682949681475,5.41901353745,2020-04-01T00:00:00+00:00,2026-08-20T23:55:00+00:00,459.607638889,0.197003138846,0.0246253923557,0.0263996645516
ADXDM-trend,ADXDM,model2,241,241,0,-0.0028532449,-2.8532449,0.984820947529,-0.0118391904564,0.10824724476,113.79598334,-0.000447122547078,-0.0044228771904,-0.00273791401987,5.41901353745,2020-04-01T00:00:00+00:00,2026-08-20T23:55:00+00:00,500.25,0.214423808199,0.0268029760248,0.0263400577584
ADXDM-trend,ADXDM,model3,169,169,0,-0.03136130621,-31.36130621,0.798972306466,-0.185569859231,0.102060182499,106.78939181,-0.00497481195988,-0.046210633826,-0.0272230423979,5.41901353745,2020-04-01T00:00:00+00:00,2026-08-20T23:55:00+00:00,314.256944444,0.134700991066,0.0168376238832,0.016499984037
ADXMomentum-trend,ADXMomentum,model0,62,62,0,-0.03467207866,-34.67207866,0.603807666345,-0.559227075161,0.0461167189512,46.28954199,-0.00550789247779,-0.0840121035208,-0.077920043331,5.48755111349,2020-04-01T00:00:00+00:00,2026-08-20T23:00:00+00:00,30.0833333333,0.0128949295422,0.00161186619278,0.00154575922874
ADXMomentum-trend,ADXMomentum,model1,21,21,0,-0.01328417172,-13.28417172,0.594766317234,-0.632579605714,0.0272564959188,27.32403889,-0.00209095686635,-0.0269348292608,-0.0229375075083,5.48755111349,2020-04-01T00:00:00+00:00,2026-08-20T23:00:00+00:00,7.08333333333,0.00303620224679,0.000379525280849,0.000370939245236
