pair,episode_id,regime,start,end,days
BTC_GLOBAL,1,TRANSITION,2020-03-01T00:00:00Z,2020-03-01T00:00:00Z,1
BTC_GLOBAL,2,BEAR,2020-03-02T00:00:00Z,2020-03-02T00:00:00Z,1
BTC_GLOBAL,3,TRANSITION,2020-03-03T00:00:00Z,2020-03-10T00:00:00Z,8
BTC_GLOBAL,4,BEAR,2020-03-11T00:00:00Z,2020-04-05T00:00:00Z,26
BTC_GLOBAL,5,TRANSITION,2020-04-06T00:00:00Z,2020-04-10T00:00:00Z,5
BTC_GLOBAL,6,SIDEWAYS,2020-04-11T00:00:00Z,2020-04-29T00:00:00Z,19
BTC_GLOBAL,7,TRANSITION,2020-04-30T00:00:00Z,2020-05-01T00:00:00Z,2
BTC_GLOBAL,8,BULL,2020-05-02T00:00:00Z,2020-05-24T00:00:00Z,23
BTC_GLOBAL,9,BEAR,2020-05-25T00:00:00Z,2020-05-25T00:00:00Z,1
BTC_GLOBAL,10,TRANSITION,2020-05-26T00:00:00Z,2020-06-06T00:00:00Z,12
BTC_GLOBAL,11,BULL,2020-06-07T00:00:00Z,2020-06-11T00:00:00Z,5
BTC_GLOBAL,12,TRANSITION,2020-06-12T00:00:00Z,2020-06-14T00:00:00Z,3
BTC_GLOBAL,13,SIDEWAYS,2020-06-15T00:00:00Z,2020-06-29T00:00:00Z,15
BTC_GLOBAL,14,TRANSITION,2020-06-30T00:00:00Z,2020-07-09T00:00:00Z,10
BTC_GLOBAL,15,SIDEWAYS,2020-07-10T00:00:00Z,2020-07-26T00:00:00Z,17
BTC_GLOBAL,16,TRANSITION,2020-07-27T00:00:00Z,2020-07-28T00:00:00Z,2
BTC_GLOBAL,17,BULL,2020-07-29T00:00:00Z,2020-08-25T00:00:00Z,28
BTC_GLOBAL,18,BEAR,2020-08-26T00:00:00Z,2020-08-30T00:00:00Z,5
BTC_GLOBAL,19,TRANSITION,2020-08-31T00:00:00Z,2020-09-06T00:00:00Z,7
BTC_GLOBAL,20,BEAR,2020-09-07T00:00:00Z,2020-09-16T00:00:00Z,10
BTC_GLOBAL,21,TRANSITION,2020-09-17T00:00:00Z,2020-09-20T00:00:00Z,4
BTC_GLOBAL,22,SIDEWAYS,2020-09-21T00:00:00Z,2020-10-14T00:00:00Z,24
BTC_GLOBAL,23,TRANSITION,2020-10-15T00:00:00Z,2020-10-17T00:00:00Z,3
BTC_GLOBAL,24,BULL,2020-10-18T00:00:00Z,2020-12-11T00:00:00Z,55
BTC_GLOBAL,25,BEAR,2020-12-12T00:00:00Z,2020-12-12T00:00:00Z,1
BTC_GLOBAL,26,BULL,2020-12-13T00:00:00Z,2021-01-20T00:00:00Z,39
BTC_GLOBAL,27,BEAR,2021-01-21T00:00:00Z,2021-01-29T00:00:00Z,9
BTC_GLOBAL,28,TRANSITION,2021-01-30T00:00:00Z,2021-02-02T00:00:00Z,4
BTC_GLOBAL,29,SIDEWAYS,2021-02-03T00:00:00Z,2021-02-05T00:00:00Z,3
BTC_GLOBAL,30,TRANSITION,2021-02-06T00:00:00Z,2021-02-09T00:00:00Z,4
BTC_GLOBAL,31,BULL,2021-02-10T00:00:00Z,2021-02-26T00:00:00Z,17
BTC_GLOBAL,32,BEAR,2021-02-27T00:00:00Z,2021-03-01T00:00:00Z,3
BTC_GLOBAL,33,BULL,2021-03-02T00:00:00Z,2021-03-02T00:00:00Z,1
BTC_GLOBAL,34,TRANSITION,2021-03-03T00:00:00Z,2021-03-06T00:00:00Z,4
BTC_GLOBAL,35,SIDEWAYS,2021-03-07T00:00:00Z,2021-03-09T00:00:00Z,3
BTC_GLOBAL,36,TRANSITION,2021-03-10T00:00:00Z,2021-03-13T00:00:00Z,4
BTC_GLOBAL,37,BULL,2021-03-14T00:00:00Z,2021-03-19T00:00:00Z,6
BTC_GLOBAL,38,TRANSITION,2021-03-20T00:00:00Z,2021-03-24T00:00:00Z,5
BTC_GLOBAL,39,SIDEWAYS,2021-03-25T00:00:00Z,2021-04-13T00:00:00Z,20
BTC_GLOBAL,40,TRANSITION,2021-04-14T00:00:00Z,2021-04-22T00:00:00Z,9
BTC_GLOBAL,41,BEAR,2021-04-23T00:00:00Z,2021-05-01T00:00:00Z,9
BTC_GLOBAL,42,TRANSITION,2021-05-02T00:00:00Z,2021-05-07T00:00:00Z,6
BTC_GLOBAL,43,SIDEWAYS,2021-05-08T00:00:00Z,2021-05-13T00:00:00Z,6
BTC_GLOBAL,44,TRANSITION,2021-05-14T00:00:00Z,2021-05-15T00:00:00Z,2
BTC_GLOBAL,45,BEAR,2021-05-16T00:00:00Z,2021-07-23T00:00:00Z,69
BTC_GLOBAL,46,TRANSITION,2021-07-24T00:00:00Z,2021-07-27T00:00:00Z,4
BTC_GLOBAL,47,BULL,2021-07-28T00:00:00Z,2021-09-07T00:00:00Z,42
BTC_GLOBAL,48,BEAR,2021-09-08T00:00:00Z,2021-09-18T00:00:00Z,11
BTC_GLOBAL,49,TRANSITION,2021-09-19T00:00:00Z,2021-09-21T00:00:00Z,3
BTC_GLOBAL,50,BEAR,2021-09-22T00:00:00Z,2021-10-01T00:00:00Z,10
BTC_GLOBAL,51,BULL,2021-10-02T00:00:00Z,2021-11-16T00:00:00Z,46
BTC_GLOBAL,52,BEAR,2021-11-17T00:00:00Z,2021-11-17T00:00:00Z,1
BTC_GLOBAL,53,TRANSITION,2021-11-18T00:00:00Z,2021-12-05T00:00:00Z,18
BTC_GLOBAL,54,BEAR,2021-12-06T00:00:00Z,2022-02-05T00:00:00Z,62
BTC_GLOBAL,55,BULL,2022-02-06T00:00:00Z,2022-02-17T00:00:00Z,12
BTC_GLOBAL,56,TRANSITION,2022-02-18T00:00:00Z,2022-02-27T00:00:00Z,10
BTC_GLOBAL,57,BEAR,2022-02-28T00:00:00Z,2022-02-28T00:00:00Z,1
BTC_GLOBAL,58,TRANSITION,2022-03-01T00:00:00Z,2022-03-03T00:00:00Z,3
BTC_GLOBAL,59,SIDEWAYS,2022-03-04T00:00:00Z,2022-03-06T00:00:00Z,3
BTC_GLOBAL,60,TRANSITION,2022-03-07T00:00:00Z,2022-03-09T00:00:00Z,3
BTC_GLOBAL,61,SIDEWAYS,2022-03-10T00:00:00Z,2022-03-28T00:00:00Z,19
BTC_GLOBAL,62,TRANSITION,2022-03-29T00:00:00Z,2022-04-08T00:00:00Z,11
BTC_GLOBAL,63,SIDEWAYS,2022-04-09T00:00:00Z,2022-04-22T00:00:00Z,14
BTC_GLOBAL,64,TRANSITION,2022-04-23T00:00:00Z,2022-04-27T00:00:00Z,5
BTC_GLOBAL,65,BEAR,2022-04-28T00:00:00Z,2022-05-30T00:00:00Z,33
BTC_GLOBAL,66,BULL,2022-05-31T00:00:00Z,2022-06-01T00:00:00Z,2
BTC_GLOBAL,67,BEAR,2022-06-02T00:00:00Z,2022-06-06T00:00:00Z,5
BTC_GLOBAL,68,BULL,2022-06-07T00:00:00Z,2022-06-07T00:00:00Z,1
BTC_GLOBAL,69,BEAR,2022-06-08T00:00:00Z,2022-06-08T00:00:00Z,1
BTC_GLOBAL,70,TRANSITION,2022-06-09T00:00:00Z,2022-06-13T00:00:00Z,5
BTC_GLOBAL,71,BEAR,2022-06-14T00:00:00Z,2022-07-08T00:00:00Z,25
BTC_GLOBAL,72,BULL,2022-07-09T00:00:00Z,2022-07-10T00:00:00Z,2
BTC_GLOBAL,73,BEAR,2022-07-11T00:00:00Z,2022-07-18T00:00:00Z,8
BTC_GLOBAL,74,TRANSITION,2022-07-19T00:00:00Z,2022-07-26T00:00:00Z,8
BTC_GLOBAL,75,SIDEWAYS,2022-07-27T00:00:00Z,2022-07-30T00:00:00Z,4
BTC_GLOBAL,76,TRANSITION,2022-07-31T00:00:00Z,2022-08-02T00:00:00Z,3
BTC_GLOBAL,77,SIDEWAYS,2022-08-03T00:00:00Z,2022-08-13T00:00:00Z,11
BTC_GLOBAL,78,TRANSITION,2022-08-14T00:00:00Z,2022-08-25T00:00:00Z,12
BTC_GLOBAL,79,SIDEWAYS,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,1
BTC_GLOBAL,80,TRANSITION,2022-08-27T00:00:00Z,2022-09-06T00:00:00Z,11
BTC_GLOBAL,81,BEAR,2022-09-07T00:00:00Z,2022-09-09T00:00:00Z,3
BTC_GLOBAL,82,BULL,2022-09-10T00:00:00Z,2022-09-11T00:00:00Z,2
BTC_GLOBAL,83,TRANSITION,2022-09-12T00:00:00Z,2022-09-24T00:00:00Z,13
BTC_GLOBAL,84,BEAR,2022-09-25T00:00:00Z,2022-09-28T00:00:00Z,4
BTC_GLOBAL,85,TRANSITION,2022-09-29T00:00:00Z,2022-10-02T00:00:00Z,4
BTC_GLOBAL,86,SIDEWAYS,2022-10-03T00:00:00Z,2022-11-08T00:00:00Z,37
BTC_GLOBAL,87,TRANSITION,2022-11-09T00:00:00Z,2022-11-10T00:00:00Z,2
BTC_GLOBAL,88,BEAR,2022-11-11T00:00:00Z,2022-12-13T00:00:00Z,33
BTC_GLOBAL,89,TRANSITION,2022-12-14T00:00:00Z,2022-12-21T00:00:00Z,8
BTC_GLOBAL,90,SIDEWAYS,2022-12-22T00:00:00Z,2023-01-12T00:00:00Z,22
BTC_GLOBAL,91,TRANSITION,2023-01-13T00:00:00Z,2023-01-13T00:00:00Z,1
BTC_GLOBAL,92,BULL,2023-01-14T00:00:00Z,2023-03-03T00:00:00Z,49
BTC_GLOBAL,93,BEAR,2023-03-04T00:00:00Z,2023-03-05T00:00:00Z,2
BTC_GLOBAL,94,TRANSITION,2023-03-06T00:00:00Z,2023-03-16T00:00:00Z,11
BTC_GLOBAL,95,BULL,2023-03-17T00:00:00Z,2023-04-21T00:00:00Z,36
BTC_GLOBAL,96,BEAR,2023-04-22T00:00:00Z,2023-04-26T00:00:00Z,5
BTC_GLOBAL,97,BULL,2023-04-27T00:00:00Z,2023-04-29T00:00:00Z,3
BTC_GLOBAL,98,TRANSITION,2023-04-30T00:00:00Z,2023-04-30T00:00:00Z,1
