pair,episode_id,regime,start,end,days
ADA/USDT,1,BEAR,2020-03-01T00:00:00Z,2020-03-06T00:00:00Z,6
ADA/USDT,2,TRANSITION,2020-03-07T00:00:00Z,2020-03-09T00:00:00Z,3
ADA/USDT,3,BEAR,2020-03-10T00:00:00Z,2020-04-06T00:00:00Z,28
ADA/USDT,4,BULL,2020-04-07T00:00:00Z,2020-04-10T00:00:00Z,4
ADA/USDT,5,BEAR,2020-04-11T00:00:00Z,2020-04-12T00:00:00Z,2
ADA/USDT,6,TRANSITION,2020-04-13T00:00:00Z,2020-04-17T00:00:00Z,5
ADA/USDT,7,SIDEWAYS,2020-04-18T00:00:00Z,2020-04-25T00:00:00Z,8
ADA/USDT,8,TRANSITION,2020-04-26T00:00:00Z,2020-04-27T00:00:00Z,2
ADA/USDT,9,BULL,2020-04-28T00:00:00Z,2020-05-10T00:00:00Z,13
ADA/USDT,10,BEAR,2020-05-11T00:00:00Z,2020-05-12T00:00:00Z,2
ADA/USDT,11,BULL,2020-05-13T00:00:00Z,2020-05-21T00:00:00Z,9
ADA/USDT,12,TRANSITION,2020-05-22T00:00:00Z,2020-05-26T00:00:00Z,5
ADA/USDT,13,SIDEWAYS,2020-05-27T00:00:00Z,2020-05-28T00:00:00Z,2
ADA/USDT,14,TRANSITION,2020-05-29T00:00:00Z,2020-05-31T00:00:00Z,3
ADA/USDT,15,BULL,2020-06-01T00:00:00Z,2020-06-15T00:00:00Z,15
ADA/USDT,16,BEAR,2020-06-16T00:00:00Z,2020-06-18T00:00:00Z,3
ADA/USDT,17,BULL,2020-06-19T00:00:00Z,2020-06-19T00:00:00Z,1
ADA/USDT,18,TRANSITION,2020-06-20T00:00:00Z,2020-06-24T00:00:00Z,5
ADA/USDT,19,SIDEWAYS,2020-06-25T00:00:00Z,2020-07-03T00:00:00Z,9
ADA/USDT,20,TRANSITION,2020-07-04T00:00:00Z,2020-07-06T00:00:00Z,3
ADA/USDT,21,BULL,2020-07-07T00:00:00Z,2020-08-07T00:00:00Z,32
ADA/USDT,22,TRANSITION,2020-08-08T00:00:00Z,2020-08-12T00:00:00Z,5
ADA/USDT,23,SIDEWAYS,2020-08-13T00:00:00Z,2020-08-23T00:00:00Z,11
ADA/USDT,24,TRANSITION,2020-08-24T00:00:00Z,2020-08-27T00:00:00Z,4
ADA/USDT,25,BEAR,2020-08-28T00:00:00Z,2020-09-28T00:00:00Z,32
ADA/USDT,26,BULL,2020-09-29T00:00:00Z,2020-10-02T00:00:00Z,4
ADA/USDT,27,TRANSITION,2020-10-03T00:00:00Z,2020-10-06T00:00:00Z,4
ADA/USDT,28,SIDEWAYS,2020-10-07T00:00:00Z,2020-10-13T00:00:00Z,7
ADA/USDT,29,TRANSITION,2020-10-14T00:00:00Z,2020-10-21T00:00:00Z,8
ADA/USDT,30,SIDEWAYS,2020-10-22T00:00:00Z,2020-10-31T00:00:00Z,10
ADA/USDT,31,TRANSITION,2020-11-01T00:00:00Z,2020-11-15T00:00:00Z,15
ADA/USDT,32,SIDEWAYS,2020-11-16T00:00:00Z,2020-11-21T00:00:00Z,6
ADA/USDT,33,TRANSITION,2020-11-22T00:00:00Z,2020-11-23T00:00:00Z,2
ADA/USDT,34,BULL,2020-11-24T00:00:00Z,2020-12-08T00:00:00Z,15
ADA/USDT,35,TRANSITION,2020-12-09T00:00:00Z,2020-12-13T00:00:00Z,5
ADA/USDT,36,SIDEWAYS,2020-12-14T00:00:00Z,2021-01-04T00:00:00Z,22
ADA/USDT,37,TRANSITION,2021-01-05T00:00:00Z,2021-01-06T00:00:00Z,2
ADA/USDT,38,BULL,2021-01-07T00:00:00Z,2021-01-22T00:00:00Z,16
ADA/USDT,39,BEAR,2021-01-23T00:00:00Z,2021-01-24T00:00:00Z,2
ADA/USDT,40,TRANSITION,2021-01-25T00:00:00Z,2021-01-29T00:00:00Z,5
ADA/USDT,41,SIDEWAYS,2021-01-30T00:00:00Z,2021-02-05T00:00:00Z,7
ADA/USDT,42,TRANSITION,2021-02-06T00:00:00Z,2021-02-06T00:00:00Z,1
