pair,btc_regime,coin_regime,days
ADA/USDT,BEAR,BEAR,411
ADA/USDT,BEAR,BULL,48
ADA/USDT,BEAR,SIDEWAYS,62
ADA/USDT,BEAR,TRANSITION,106
ADA/USDT,BULL,BEAR,36
ADA/USDT,BULL,BULL,298
ADA/USDT,BULL,SIDEWAYS,176
ADA/USDT,BULL,TRANSITION,155
ADA/USDT,SIDEWAYS,BEAR,92
ADA/USDT,SIDEWAYS,BULL,70
ADA/USDT,SIDEWAYS,SIDEWAYS,236
ADA/USDT,SIDEWAYS,TRANSITION,161
ADA/USDT,TRANSITION,BEAR,142
ADA/USDT,TRANSITION,BULL,85
ADA/USDT,TRANSITION,SIDEWAYS,175
ADA/USDT,TRANSITION,TRANSITION,111
BTC/USDT,BEAR,BEAR,627
BTC/USDT,BULL,BULL,665
BTC/USDT,SIDEWAYS,SIDEWAYS,559
BTC/USDT,TRANSITION,TRANSITION,513
DASH/USDT,BEAR,BEAR,343
DASH/USDT,BEAR,BULL,88
DASH/USDT,BEAR,SIDEWAYS,100
DASH/USDT,BEAR,TRANSITION,96
DASH/USDT,BULL,BEAR,42
DASH/USDT,BULL,BULL,261
DASH/USDT,BULL,SIDEWAYS,219
DASH/USDT,BULL,TRANSITION,143
DASH/USDT,SIDEWAYS,BEAR,121
DASH/USDT,SIDEWAYS,BULL,13
DASH/USDT,SIDEWAYS,SIDEWAYS,297
DASH/USDT,SIDEWAYS,TRANSITION,128
DASH/USDT,TRANSITION,BEAR,107
DASH/USDT,TRANSITION,BULL,50
DASH/USDT,TRANSITION,SIDEWAYS,238
DASH/USDT,TRANSITION,TRANSITION,118
ETH/USDT,BEAR,BEAR,501
ETH/USDT,BEAR,BULL,27
ETH/USDT,BEAR,SIDEWAYS,19
ETH/USDT,BEAR,TRANSITION,80
ETH/USDT,BULL,BEAR,38
ETH/USDT,BULL,BULL,394
ETH/USDT,BULL,SIDEWAYS,92
ETH/USDT,BULL,TRANSITION,141
ETH/USDT,SIDEWAYS,BEAR,87
ETH/USDT,SIDEWAYS,BULL,90
ETH/USDT,SIDEWAYS,SIDEWAYS,228
ETH/USDT,SIDEWAYS,TRANSITION,154
ETH/USDT,TRANSITION,BEAR,107
ETH/USDT,TRANSITION,BULL,102
ETH/USDT,TRANSITION,SIDEWAYS,130
ETH/USDT,TRANSITION,TRANSITION,174
LTC/USDT,BEAR,BEAR,388
LTC/USDT,BEAR,BULL,27
LTC/USDT,BEAR,SIDEWAYS,126
LTC/USDT,BEAR,TRANSITION,86
LTC/USDT,BULL,BEAR,50
LTC/USDT,BULL,BULL,247
LTC/USDT,BULL,SIDEWAYS,227
LTC/USDT,BULL,TRANSITION,141
LTC/USDT,SIDEWAYS,BEAR,92
LTC/USDT,SIDEWAYS,BULL,33
LTC/USDT,SIDEWAYS,SIDEWAYS,301
LTC/USDT,SIDEWAYS,TRANSITION,133
LTC/USDT,TRANSITION,BEAR,109
LTC/USDT,TRANSITION,BULL,51
LTC/USDT,TRANSITION,SIDEWAYS,248
LTC/USDT,TRANSITION,TRANSITION,105
XLM/USDT,BEAR,BEAR,374
XLM/USDT,BEAR,BULL,40
XLM/USDT,BEAR,SIDEWAYS,90
XLM/USDT,BEAR,TRANSITION,123
XLM/USDT,BULL,BEAR,54
XLM/USDT,BULL,BULL,324
XLM/USDT,BULL,SIDEWAYS,148
XLM/USDT,BULL,TRANSITION,139
XLM/USDT,SIDEWAYS,BEAR,116
XLM/USDT,SIDEWAYS,BULL,69
XLM/USDT,SIDEWAYS,SIDEWAYS,251
XLM/USDT,SIDEWAYS,TRANSITION,123
XLM/USDT,TRANSITION,BEAR,128
XLM/USDT,TRANSITION,BULL,63
XLM/USDT,TRANSITION,SIDEWAYS,227
XLM/USDT,TRANSITION,TRANSITION,95
XMR/USDT,BEAR,BEAR,224
XMR/USDT,BEAR,BULL,36
XMR/USDT,BEAR,SIDEWAYS,37
XMR/USDT,BEAR,TRANSITION,71
XMR/USDT,BULL,BEAR,40
XMR/USDT,BULL,BULL,196
XMR/USDT,BULL,SIDEWAYS,174
XMR/USDT,BULL,TRANSITION,77
XMR/USDT,SIDEWAYS,BEAR,21
XMR/USDT,SIDEWAYS,BULL,59
XMR/USDT,SIDEWAYS,SIDEWAYS,150
XMR/USDT,SIDEWAYS,TRANSITION,72
XMR/USDT,TRANSITION,BEAR,57
XMR/USDT,TRANSITION,BULL,54
XMR/USDT,TRANSITION,SIDEWAYS,122
XMR/USDT,TRANSITION,TRANSITION,62
XRP/USDT,BEAR,BEAR,397
XRP/USDT,BEAR,BULL,37
XRP/USDT,BEAR,SIDEWAYS,85
XRP/USDT,BEAR,TRANSITION,108
XRP/USDT,BULL,BEAR,36
XRP/USDT,BULL,BULL,311
XRP/USDT,BULL,SIDEWAYS,240
XRP/USDT,BULL,TRANSITION,78
XRP/USDT,SIDEWAYS,BEAR,92
XRP/USDT,SIDEWAYS,BULL,65
XRP/USDT,SIDEWAYS,SIDEWAYS,285
XRP/USDT,SIDEWAYS,TRANSITION,117
XRP/USDT,TRANSITION,BEAR,87
XRP/USDT,TRANSITION,BULL,68
XRP/USDT,TRANSITION,SIDEWAYS,231
XRP/USDT,TRANSITION,TRANSITION,127
