pair,from_state,to_state,count
ADA/USDT,BEAR,BULL,24
ADA/USDT,BEAR,TRANSITION,23
ADA/USDT,BULL,BEAR,21
ADA/USDT,BULL,TRANSITION,23
ADA/USDT,SIDEWAYS,TRANSITION,47
ADA/USDT,TRANSITION,BEAR,25
ADA/USDT,TRANSITION,BULL,20
ADA/USDT,TRANSITION,SIDEWAYS,48
BTC/USDT,BEAR,BULL,17
BTC/USDT,BEAR,TRANSITION,29
BTC/USDT,BULL,BEAR,22
BTC/USDT,BULL,TRANSITION,17
BTC/USDT,SIDEWAYS,TRANSITION,40
BTC/USDT,TRANSITION,BEAR,24
BTC/USDT,TRANSITION,BULL,22
BTC/USDT,TRANSITION,SIDEWAYS,41
DASH/USDT,BEAR,BULL,13
DASH/USDT,BEAR,TRANSITION,25
DASH/USDT,BULL,BEAR,15
DASH/USDT,BULL,TRANSITION,19
DASH/USDT,SIDEWAYS,TRANSITION,52
DASH/USDT,TRANSITION,BEAR,22
DASH/USDT,TRANSITION,BULL,21
DASH/USDT,TRANSITION,SIDEWAYS,53
ETH/USDT,BEAR,BULL,24
ETH/USDT,BEAR,TRANSITION,13
ETH/USDT,BULL,BEAR,21
ETH/USDT,BULL,TRANSITION,22
ETH/USDT,SIDEWAYS,TRANSITION,36
ETH/USDT,TRANSITION,BEAR,15
ETH/USDT,TRANSITION,BULL,19
ETH/USDT,TRANSITION,SIDEWAYS,37
LTC/USDT,BEAR,BULL,15
LTC/USDT,BEAR,TRANSITION,28
LTC/USDT,BULL,BEAR,22
LTC/USDT,BULL,TRANSITION,20
LTC/USDT,SIDEWAYS,TRANSITION,50
LTC/USDT,TRANSITION,BEAR,20
LTC/USDT,TRANSITION,BULL,27
LTC/USDT,TRANSITION,SIDEWAYS,51
XLM/USDT,BEAR,BULL,22
XLM/USDT,BEAR,TRANSITION,29
XLM/USDT,BULL,BEAR,24
XLM/USDT,BULL,TRANSITION,17
XLM/USDT,SIDEWAYS,TRANSITION,37
XLM/USDT,TRANSITION,BEAR,26
XLM/USDT,TRANSITION,BULL,19
XLM/USDT,TRANSITION,SIDEWAYS,37
XMR/USDT,BEAR,BULL,9
XMR/USDT,BEAR,TRANSITION,16
XMR/USDT,BULL,BEAR,11
XMR/USDT,BULL,TRANSITION,11
XMR/USDT,SIDEWAYS,TRANSITION,23
XMR/USDT,TRANSITION,BEAR,14
XMR/USDT,TRANSITION,BULL,13
XMR/USDT,TRANSITION,SIDEWAYS,23
XRP/USDT,BEAR,BULL,23
XRP/USDT,BEAR,TRANSITION,18
XRP/USDT,BULL,BEAR,21
XRP/USDT,BULL,TRANSITION,16
XRP/USDT,SIDEWAYS,TRANSITION,40
XRP/USDT,TRANSITION,BEAR,19
XRP/USDT,TRANSITION,BULL,15
XRP/USDT,TRANSITION,SIDEWAYS,40
