btc_regime,rank,strategy_id,excess_return,trades,episodes
BEAR,1,ADX_15M_USDT,0.000165265243084,836,43
BEAR,2,ADXDM,-0.000550848909504,86,30
BEAR,3,BBMod,-0.00151741388533,540,33
BEAR,4,AlmgrenChrissStrategy,-0.0140047324152,91,34
BEAR,5,AdaptiveRegime,-0.0351778552705,26,17
BULL,1,ADX_15M_USDT,-0.000471273958419,656,38
BULL,2,ADXDM,-0.000824621358263,63,30
BULL,3,BBMod,-0.00660542671498,508,31
BULL,4,AlmgrenChrissStrategy,-0.0104665590105,583,26
BULL,5,AdaptiveRegime,-0.0274041956327,26,21
SIDEWAYS,1,ADX_15M_USDT,5.08289438011e-05,873,40
SIDEWAYS,2,ADXDM,-0.00293034038038,97,33
SIDEWAYS,3,BBMod,-0.00430575967274,303,31
SIDEWAYS,4,AlmgrenChrissStrategy,-0.0056276539408,189,28
SIDEWAYS,5,AdaptiveRegime,-0.0769741105954,46,22
TRANSITION,1,AdaptiveRegime,0.0083483093543,44,34
TRANSITION,2,ADXDM,-0.000155117217248,100,56
TRANSITION,3,ADX_15M_USDT,-0.000784110633072,633,84
TRANSITION,4,BBMod,-0.00301629139358,280,66
TRANSITION,5,AlmgrenChrissStrategy,-0.0104888123051,107,63
