strategy_id,btc_regime,trades,mean_profit_ratio,mean_benchmark_return,benchmark_matched_trades,episodes,excess_return,tier
ADXDM,BEAR,86,0.00301471248839,0.0035655613979,86,30,-0.000550848909504,VALIDATION
ADXDM,BULL,63,-0.00125644504238,-0.000431823684115,63,30,-0.000824621358263,VALIDATION
ADXDM,SIDEWAYS,97,-0.00497025695869,-0.00203991657831,97,33,-0.00293034038038,VALIDATION
ADXDM,TRANSITION,100,-0.00222657604474,-0.00207145882749,100,56,-0.000155117217248,VALIDATION
ADXMomentum,BEAR,7,0.00274575757515,-0.00298769525337,7,6,0.00573345282852,EXPLORATORY
ADXMomentum,BULL,3,0.010043083246,0.00597414034625,3,11,0.00406894289971,EXPLORATORY
ADXMomentum,SIDEWAYS,4,0.000501029720909,-0.00262626799401,4,12,0.00312729771492,EXPLORATORY
ADXMomentum,TRANSITION,3,-0.0221075774807,-0.0151034967861,3,7,-0.00700408069467,EXPLORATORY
ADX_15M_USDT,BEAR,836,-0.00358139918918,-0.00374666443227,836,43,0.000165265243084,VALIDATION
ADX_15M_USDT,BULL,656,-0.00452769727389,-0.00405642331547,656,38,-0.000471273958419,VALIDATION
ADX_15M_USDT,SIDEWAYS,873,0.000196750180707,0.000145921236906,873,40,5.08289438011e-05,VALIDATION
ADX_15M_USDT,TRANSITION,633,-0.00552417213295,-0.00474006149988,633,84,-0.000784110633072,VALIDATION
AdaptiveRegime,BEAR,26,-0.0509657864446,-0.0157879311741,26,17,-0.0351778552705,VALIDATION
AdaptiveRegime,BULL,26,0.130238747346,0.157642942978,26,21,-0.0274041956327,VALIDATION
AdaptiveRegime,SIDEWAYS,46,-0.00696881657794,0.0700052940174,46,22,-0.0769741105954,VALIDATION
AdaptiveRegime,TRANSITION,44,0.0299327715996,0.0215844622453,44,34,0.0083483093543,VALIDATION
AlmgrenChrissStrategy,BEAR,91,-0.0054666840793,0.00853804833588,91,34,-0.0140047324152,VALIDATION
AlmgrenChrissStrategy,BULL,583,-0.00403547268582,0.0064310863247,583,26,-0.0104665590105,VALIDATION
AlmgrenChrissStrategy,SIDEWAYS,189,-0.00714762933121,-0.00151997539041,189,28,-0.0056276539408,VALIDATION
AlmgrenChrissStrategy,TRANSITION,107,-0.00854123059073,0.00194758171433,107,63,-0.0104888123051,VALIDATION
BBMod,BEAR,540,0.00251558298071,0.00403299686604,540,33,-0.00151741388533,VALIDATION
BBMod,BULL,508,0.00318516355384,0.00979059026882,508,31,-0.00660542671498,VALIDATION
BBMod,SIDEWAYS,303,-0.00380258836146,0.000503171311281,303,31,-0.00430575967274,VALIDATION
BBMod,TRANSITION,280,0.00248001815237,0.00549630954595,280,66,-0.00301629139358,VALIDATION
