kind,regime,window,episodes,days,ratio_sum,daily_return
btc,BEAR,discovery,240,2944,0.4023939179,0.0001366827167
btc,BEAR,validation,112,1813,-1.022069049,-0.0005637446493
btc,BULL,discovery,192,3848,19.27506298,0.005009112001
btc,BULL,validation,106,1294,7.925501661,0.006124808084
btc,SIDEWAYS,discovery,168,2160,12.92760825,0.005985003821
btc,SIDEWAYS,validation,142,2055,4.020260925,0.00195633135
btc,TRANSITION,discovery,408,2296,-8.916994943,-0.003883708599
btc,TRANSITION,validation,254,1590,-2.969191603,-0.001867416102
coin,BEAR,discovery,223,3032,1.944718341,0.0006413978696
coin,BEAR,validation,106,1887,0.6247594532,0.0003310860907
coin,BULL,discovery,214,2850,6.827423112,0.002395587057
coin,BULL,validation,89,1021,3.731480425,0.003654731073
coin,SIDEWAYS,discovery,199,2980,8.479691757,0.002845534147
coin,SIDEWAYS,validation,131,2493,3.198252966,0.001282893287
coin,TRANSITION,discovery,414,2391,1.646423804,0.0006885921388
coin,TRANSITION,validation,238,1346,-0.6976674121,-0.0005183264577
