coin_regime,rank,strategy_id,excess_return,trades,episodes
BEAR,1,ADX_15M_USDT,0.00018530754152,857,262
BEAR,2,ADXDM,5.38214831237e-05,98,120
BEAR,3,BBMod,-0.00197591452529,428,189
BEAR,4,AlmgrenChrissStrategy,-0.0132329188857,127,152
BEAR,5,AdaptiveRegime,-0.038715119448,24,58
BULL,1,ADX_15M_USDT,-0.000330851313733,578,257
BULL,2,ADXDM,-0.00143053655292,44,137
BULL,3,BBMod,-0.00249473459465,559,217
BULL,4,AlmgrenChrissStrategy,-0.0121464490553,469,144
BULL,5,AdaptiveRegime,-0.0806692100045,15,44
SIDEWAYS,1,ADX_15M_USDT,-0.00053816452269,988,302
SIDEWAYS,2,ADXDM,-0.000637417425091,122,185
SIDEWAYS,3,AlmgrenChrissStrategy,-0.00361841440147,222,153
SIDEWAYS,4,BBMod,-0.00708113343293,402,227
SIDEWAYS,5,AdaptiveRegime,-0.0398536300328,57,98
TRANSITION,1,ADX_15M_USDT,-0.000102317028919,575,552
TRANSITION,2,ADXDM,-0.00321518123861,82,201
TRANSITION,3,BBMod,-0.00511282373994,242,334
TRANSITION,4,AdaptiveRegime,-0.00890448058833,29,91
TRANSITION,5,AlmgrenChrissStrategy,-0.009676973266,149,284
