strategy_id,coin_regime,trades,mean_profit_ratio,mean_benchmark_return,benchmark_matched_trades,episodes,excess_return,tier
ADXDM,BEAR,98,0.00487294920478,0.00481912772166,98,120,5.38214831237e-05,VALIDATION
ADXDM,BULL,44,0.000453484844783,0.0018840213977,44,137,-0.00143053655292,VALIDATION
ADXDM,SIDEWAYS,122,-0.00199592017817,-0.00135850275308,122,185,-0.000637417425091,VALIDATION
ADXDM,TRANSITION,82,-0.00949589495898,-0.00628071372038,82,201,-0.00321518123861,VALIDATION
ADXMomentum,BEAR,8,0.000237105652781,-0.00450196736019,8,18,0.00473907301297,EXPLORATORY
ADXMomentum,BULL,1,0.00999882069719,0.00794284770928,1,13,0.00205597298791,EXPLORATORY
ADXMomentum,SIDEWAYS,2,-0.0237503781387,-0.0130710473942,2,9,-0.0106793307444,EXPLORATORY
ADXMomentum,TRANSITION,6,0.00343933826054,-0.000765337018065,6,13,0.00420467527861,EXPLORATORY
ADX_15M_USDT,BEAR,857,-0.00160968616506,-0.00179499370658,857,262,0.00018530754152,VALIDATION
ADX_15M_USDT,BULL,578,-0.00608127510187,-0.00575042378814,578,257,-0.000330851313733,VALIDATION
ADX_15M_USDT,SIDEWAYS,988,-0.00331942940501,-0.00278126488232,988,302,-0.00053816452269,VALIDATION
ADX_15M_USDT,TRANSITION,575,-0.00193944848999,-0.00183713146107,575,552,-0.000102317028919,VALIDATION
AdaptiveRegime,BEAR,24,-0.0285887913147,0.0101263281334,24,58,-0.038715119448,VALIDATION
AdaptiveRegime,BULL,15,-0.00300316755854,0.077666042446,15,44,-0.0806692100045,VALIDATION
AdaptiveRegime,SIDEWAYS,57,0.00723705363788,0.0470906836707,57,98,-0.0398536300328,VALIDATION
AdaptiveRegime,TRANSITION,29,0.120957543184,0.129862023772,29,91,-0.00890448058833,VALIDATION
AlmgrenChrissStrategy,BEAR,127,-0.0107901993798,0.00244271950593,127,152,-0.0132329188857,VALIDATION
AlmgrenChrissStrategy,BULL,469,-0.00599376018524,0.0061526888701,469,144,-0.0121464490553,VALIDATION
AlmgrenChrissStrategy,SIDEWAYS,222,-0.000892839543486,0.00272557485798,222,153,-0.00361841440147,VALIDATION
AlmgrenChrissStrategy,TRANSITION,149,-0.00533813068403,0.00433884258196,149,284,-0.009676973266,VALIDATION
BBMod,BEAR,428,0.00179472887958,0.00377064340487,428,189,-0.00197591452529,VALIDATION
BBMod,BULL,559,0.00142449156956,0.0039192261642,559,217,-0.00249473459465,VALIDATION
BBMod,SIDEWAYS,402,0.00223797988845,0.00931911332137,402,227,-0.00708113343293,VALIDATION
BBMod,TRANSITION,242,0.000225603475519,0.00533842721546,242,334,-0.00511282373994,VALIDATION
