strategy_id,trades,dollar_gain_usd,benchmark_matched_trades,benchmark_dollar_gain_usd,excess_dollar_gain_usd,source
RSI_BB_MACD_Nov_2023_1h_2_Dec,18305,108477.139511,18305,65006.8057014,43470.3338096,baseline
GRIDDMIPRICEStrategySpot,100,81183.2194592,100,21765.6597424,59417.5597168,baseline
FastSupertrend_optim_quick,17275,53304.8184944,17275,27304.6387878,26000.1797066,baseline
CustomStoplossWithPSAR,40,50935.9368011,40,55093.7857484,-4157.84894729,baseline
Ichimoku_v30,61,50286.5055532,61,50346.228547,-59.7229937355,baseline
FastSupertrend_optim3_rsi_75fix,9509,44168.4196636,9509,21912.6547526,22255.764911,baseline
FastSupertrend_optim3_rsi_75sell,9516,43950.0084376,9516,22455.9258798,21494.0825578,baseline
FastSupertrend_optim3_rsi_75,9519,43761.01762,9519,22264.889774,21496.127846,baseline
FastSupertrend_optim3_rsi_752,12046,41635.1990191,12046,15519.9379033,26115.2611158,baseline
FastSupertrend_optim3,10479,40723.262717,10479,20478.4907324,20244.7719846,baseline
FastSupertrend_optim3_rsi_80,10434,40574.3234515,10434,20624.3107013,19950.0127502,baseline
FastSupertrend_optim3_rsi_70,9793,38770.9570729,9793,20093.482124,18677.4749489,baseline
DMIPRICEDCAStrategyFuture,465,36984.1421454,465,14198.9571833,22785.1849621,baseline
wavetrend,2810,36410.5895483,2810,-5012.92518201,41423.5147303,baseline
MACDCCI,15,35338.7504076,15,35967.1939828,-628.4435752,baseline
ZaratustraDCA2_06,5447,33688.5906257,5447,14008.3136088,19680.2770169,baseline
VolatilitySystem,295,33604.0966705,295,29455.6758387,4148.4208318,baseline
Ichimoku_v32,162,31920.0248734,162,32314.8720094,-394.847136038,baseline
simple_vwap_v1,409,28924.4403381,409,23390.1102455,5534.33009262,baseline
Trump_LIM,245,28089.8221284,245,8676.05142082,19413.7707076,baseline
BuyOrDie,1491,26214.4131343,1491,42689.7977637,-16475.3846295,baseline
FastSupertrend_optim3_rsi_75fix_signal,7102,25152.8224593,7102,13993.7690839,11159.0533754,baseline
Ichimoku_v37,319,23161.7673591,319,23421.435844,-259.668484942,baseline
SUPPORT_RESISTANCE,529,22960.3704039,529,23936.9439438,-976.573539929,baseline
