btc_regime,rank,strategy_id,excess_return,trades,episodes
BEAR,1,AdaptiveRegime-trend,0.119770451325,30,7
BEAR,2,AlmgrenChrissStrategy-trend,0.00673544824149,1747,16
BULL,1,ADXDM-trend,-0.0641570895043,63,10
BULL,2,AlmgrenChrissStrategy-trend,-0.0835947995719,1311,15
BULL,3,ADX_15M_USDT-trend,-0.110835084722,724,15
BULL,4,BBMod-trend,-0.117871178396,508,12
BULL,5,AdaptiveRegime-trend,-0.185973020857,37,8
SIDEWAYS,1,BBMod-sideways,-0.0110610705628,304,15
SIDEWAYS,2,ADXDM-sideways,-0.0167104652559,104,16
SIDEWAYS,3,ADX_15M_USDT-sideways,-0.0291899870871,1059,20
SIDEWAYS,4,AdaptiveRegime-sideways,-0.0532300381069,54,14
SIDEWAYS,5,AlmgrenChrissStrategy-sideways,-0.0713515979697,1430,20
TRANSITION,1,BBMod-transition,0.0467784005466,280,29
TRANSITION,2,ADXDM-transition,0.0467488613811,105,26
TRANSITION,3,AdaptiveRegime-transition,0.034958343525,51,21
TRANSITION,4,AlmgrenChrissStrategy-transition,-0.00136282914186,1161,37
TRANSITION,5,ADX_15M_USDT-transition,-0.00196122022979,799,37
