strategy_id,btc_regime,trades,episodes,mean_profit_ratio,mean_benchmark_return,benchmark_matched_episodes,excess_return,tier,dollar_gain_usd,benchmark_dollar_gain_usd,max_drawdown,episode_excess_lcb,excess_dollar_gain_usd,lcb_grade,profit_factor,worst_trade,liquidation_rate,forced_exit_rate,total_regime_days,sortino,annualized_return,drawdown_since_peak,sortino_pts,drawdown_pts,annualized_return_pts,liquidation_pts,profit_factor_pts,worst_trade_pts,freqforge_score
ADXDM-sideways,SIDEWAYS,104,16,-0.00706975139646,0.00964071385944,65,-0.0167104652559,VALIDATION,-459.53384077,626.646400864,0.0262755285965,-0.0505801433051,-1086.18024163,F,0.622484410393,-0.254258728285,0,0,1352,-0.249952248458,-0.124060541332,0.215177653363,0,46.2055866593,0,100,12.4496882079,74.5741271715,35.2537782027
ADXDM-transition,TRANSITION,105,26,-0.00200839552149,-0.0487572569026,83,0.0467488613811,VALIDATION,-166.696828284,-4046.85232292,0.0100441053906,0.0321041447391,3880.15549463,A,0.777773892578,-0.25266489019,0,0,650,-0.162462010258,-0.0936066804978,0.250297647558,0,37.4255881105,0,100,15.5554778516,74.733510981,33.3852959109
ADXDM-trend,BULL,63,10,-0.00193063506527,0.062226454439,41,-0.0641570895043,VALIDATION,-79.1560376761,2551.284632,0.00796350594388,-0.1237907378,-2630.44066967,F,0.842345335407,-0.253219465218,0,0,790,-0.0898620224915,-0.0365720933567,0.0836168124107,0,91.6383187589,0,100,16.8469067081,74.6780534782,47.0620757084
ADXMomentum-sideways,SIDEWAYS,4,3,0.000668039597952,-0.0183625129548,3,0.0190305525527,EXPLORATORY,2.00411879386,-55.0875388644,0.00449904396428,-0.32136829773,57.0916576582,F,1.11136359245,-0.0173234578042,0,0,69,0.195747767134,0.0106014979675,0.00899808792855,6.52492557115,99.1001912071,2.65037449187,100,25.5681796226,98.2676542196,54.1874187526
ADXMomentum-transition,TRANSITION,3,3,-0.0221075775125,-0.0119784951369,3,-0.0101290823756,EXPLORATORY,-66.3227325375,-35.9354854106,0.0468280382719,-0.0692586084204,-30.3872471269,F,0.130997539356,-0.0468280382719,0,0,41,-9.32038532281,-0.590434082346,0.0468280382719,0,95.3171961728,0,100,2.61995078711,95.3171961728,48.6230137392
ADXMomentum-trend,BULL,3,3,0.0100430832517,0.0148606620357,3,-0.00481757878406,EXPLORATORY,30.129249755,44.5819861072,0,-0.197219607154,-14.4527363522,F,inf,0.00999882069771,0,0,61,-100,0.180281576403,0,100,100,45.0703941007,100,100,100,91.7605591151
ADX_15M_USDT-sideways,SIDEWAYS,1059,20,-0.000555380710951,0.0286346063761,140,-0.0291899870871,VALIDATION,-77.7532995332,4008.84489266,0.00979249233328,-0.0464362060923,-4086.59819219,D,0.990346318067,-0.127247244129,0,0.000944287063267,2037,-0.0204082822171,-0.0139322308933,0.127247244129,0,79.1011023484,0,100,19.8069263613,87.2752755871,45.4834957819
ADX_15M_USDT-sideways,TRANSITION,1,1,0.0111772546952,-0.0823550419051,1,0.0935322966003,EXPLORATORY,11.1772546952,-82.3550419051,0,,93.5322966003,,inf,0.0111772546952,0,0,9,-100,0.45329977375,0,100,100,62.6649886875,100,100,100,94.3997483031
ADX_15M_USDT-transition,BULL,1,1,-8.36960284101e-07,-0.0200544807601,1,0.0200536437998,EXPLORATORY,-0.000836960284101,-20.0544807601,8.36960284119e-07,,20.0536437998,,0,-8.36960284101e-07,0,0,2,-100,-0.000152745251848,8.36960284119e-07,100,99.999916304,0,100,0,99.999916304,74.9999707064
ADX_15M_USDT-transition,SIDEWAYS,1,1,2.26681089629e-05,-0.00418235048097,1,0.00420501858993,EXPLORATORY,0.0226681089629,-4.18235048097,0,,4.20501858993,,inf,2.26681089629e-05,0,0,30,-100,0.000275795325715,0,100,100,0.0689488314288,100,100,100,85.0103423247
ADX_15M_USDT-transition,TRANSITION,799,37,-0.0157039022661,-0.0137426820363,251,-0.00196122022979,VALIDATION,-3941.6794688,-3449.41319112,0.0363308039177,-0.0138176732444,-492.266277678,C,0.544616773368,-0.12724722071,0,0,1605,-1.22417938402,-0.896394396331,0.127220790573,0,79.1116837708,0,100,10.8923354674,87.275277929,44.5946822823
ADX_15M_USDT-trend,BULL,724,15,-0.0291362209091,0.0816988638125,98,-0.110835084722,VALIDATION,-2855.3496491,8006.48865363,0.00855885497383,-0.183874355852,-10861.8383027,F,0.702645953545,-0.127247242153,0,0.00138121546961,1312,-0.968235714739,-0.794361754512,0.127211869445,0,79.115252222,0,100,14.0529190709,87.2752757847,44.9116325411
AdaptiveRegime-sideways,SIDEWAYS,54,14,-0.0215981577148,0.031631880392,43,-0.0532300381069,VALIDATION,-928.720781738,1360.17085686,0.294606271776,-0.116762862732,-2288.8916386,F,0.758591299459,-0.343307478887,0,0.0185185185185,926,-1.01218288361,-0.366072446366,0.294606271776,0,26.348432056,0,100,15.1718259892,65.6692521113,29.671215824
