coin_regime,rank,strategy_id,excess_return,trades,episodes
BEAR,1,AdaptiveRegime-trend,0.0953258359745,21,45
BEAR,2,ADX_15M_USDT-trend,0.0489225511531,38,79
BEAR,3,AlmgrenChrissStrategy-trend,-0.0070697195499,889,220
BEAR,4,BBMod-trend,-0.0506856990266,25,40
BULL,1,AlmgrenChrissStrategy-trend,-0.0640422339552,882,214
BULL,2,ADXDM-trend,-0.0731450018051,26,95
BULL,3,ADX_15M_USDT-trend,-0.142966813174,386,169
BULL,4,BBMod-trend,-0.177983767112,337,138
BULL,5,AdaptiveRegime-trend,-0.195736080533,16,46
SIDEWAYS,1,AlmgrenChrissStrategy-trend,-0.0363461348234,447,173
SIDEWAYS,2,BBMod-trend,-0.0424877513158,87,93
SIDEWAYS,3,ADXDM-trend,-0.0599412611802,21,53
SIDEWAYS,4,ADX_15M_USDT-trend,-0.0853082196983,180,131
SIDEWAYS,5,AdaptiveRegime-trend,-0.214031273225,14,29
TRANSITION,1,AdaptiveRegime-trend,0.358511012936,11,41
TRANSITION,2,ADXDM-trend,0.0714446082814,15,49
TRANSITION,3,BBMod-trend,-0.00219420168016,59,97
TRANSITION,4,AlmgrenChrissStrategy-trend,-0.0108226257352,387,295
TRANSITION,5,ADX_15M_USDT-trend,-0.0385288742356,120,174
