strategy_id,trades,dollar_gain_usd,benchmark_matched_trades,benchmark_dollar_gain_usd,excess_dollar_gain_usd
AdaptiveRegime-trend,67,3221.85648305,67,5371.5738358,-2149.71735275
AdaptiveRegime-transition,58,1944.26079799,58,982.568521157,961.692276828
BBMod-trend,508,1618.06308533,508,4973.61985656,-3355.55677123
BBMod-transition,280,694.405082794,280,1538.96667287,-844.561590072
ADXMomentum-trend,3,30.129249755,3,17.9224210388,12.2068287162
ADXMomentum-sideways,4,2.00411879386,4,-10.5050719761,12.5091907699
ADXMomentum-transition,3,-66.3227325375,3,-45.3104903582,-21.0122421793
ADX_15M_USDT-sideways,1060,-66.576044838,1060,-16.2516202549,-50.3244245831
ADXDM-trend,63,-79.1560376761,63,-27.2048920992,-51.9511455769
ADXDM-transition,105,-166.696828284,105,-154.495852538,-12.2009757454
ADXDM-sideways,104,-459.53384077,104,-166.264815783,-293.269024987
AlmgrenChrissStrategy-trend,3058,-1035.81598379,3058,653.645711501,-1689.46169529
BBMod-sideways,304,-1145.82172538,304,164.273154754,-1310.09488013
AdaptiveRegime-sideways,59,-1248.92703433,59,3807.92701135,-5056.85404568
ADX_15M_USDT-trend,724,-2855.3496491,724,-2583.29611369,-272.053535402
AlmgrenChrissStrategy-transition,1162,-3677.75292034,1162,-724.293079129,-2953.45984121
ADX_15M_USDT-transition,801,-3941.65763765,801,-3500.92136081,-440.736276837
AlmgrenChrissStrategy-sideways,1430,-6949.16350511,1430,2653.17942101,-9602.34292612
