strategy_id,regimes_covered,worst_regime,worst_regime_return,median_regime_excess_return,regime_consistency
ADX_15M_USDT-sideways,4,SIDEWAYS,-0.0358515919058,-0.00286219481954,0.5
AlmgrenChrissStrategy-trend,4,BULL,-0.0640422339552,-0.0235843802793,0
ADX_15M_USDT-transition,4,BULL,-0.0723212416375,-0.0133251243039,0.25
BBMod-sideways,4,BULL,-0.077584509426,0.00745458866086,0.5
AlmgrenChrissStrategy-transition,4,BULL,-0.0783355729847,-0.0121383061068,0
BBMod-transition,4,BULL,-0.0799226345307,0.0251688107483,0.75
AlmgrenChrissStrategy-sideways,4,BULL,-0.086232533052,-0.0427192026482,0
ADX_15M_USDT-trend,4,BULL,-0.142966813174,-0.061918546967,0.25
BBMod-trend,4,BULL,-0.177983767112,-0.0465867251712,0
AdaptiveRegime-trend,4,SIDEWAYS,-0.214031273225,-0.0502051222793,0.5
