strategy_id,btc_regime,trades,episodes,mean_profit_ratio,mean_benchmark_return,benchmark_matched_episodes,excess_return,tier,dollar_gain_usd,benchmark_dollar_gain_usd,max_drawdown,episode_excess_lcb,excess_dollar_gain_usd,lcb_grade,profit_factor,worst_trade,liquidation_rate,forced_exit_rate,total_regime_days,sortino,annualized_return,drawdown_since_peak,sortino_pts,drawdown_pts,annualized_return_pts,liquidation_pts,profit_factor_pts,worst_trade_pts,freqforge_score
ADXDM-downtrend,BEAR,91,11,0.00598800655372,-0.0618799403433,49,0.067867946897,VALIDATION,293.412321132,-3032.11707682,0.0107649601013,0.0311123429454,3325.52939795,A,2.17788867076,-0.247585717488,0,0,1328,0.298553131308,0.0806441997088,0.123797041164,9.95177104361,80.4811835342,20.1610499272,100,70.6670825154,75.2414282512,55.2232472102
BB_RPB_TSL_RNG_2-transition,TRANSITION,29,4,0.0199534726364,-0.0160299435705,14,0.0359834162069,EXPLORATORY,279.348616909,-224.419209987,0.00333785891898,-0.144406258704,503.767826896,F,4.58253476325,-0.0331787024856,0,0,112,12.949189642,0.910377189035,0.0176472244692,100,98.2352775531,85.5188594517,100,79.6845053622,96.6821297514,95.0233118174
BB_RTR-sideways,SIDEWAYS,46,6,0.00997681124147,-0.0856224168917,22,0.0955992281332,VALIDATION,219.489847312,-1883.69317162,0.0634135095674,0.0288533962872,2103.18301893,A,1.63004907977,-0.090080769433,0,0,451,0.903820784205,0.17763590747,0.090080769433,30.1273594735,90.9919230567,44.4089768675,100,51.5024539886,90.9919230567,66.1906048672
BB_RTR-transition,TRANSITION,41,6,0.0188890414614,-0.0176501337799,20,0.0365391752414,VALIDATION,377.780829229,-353.002675599,0.00467771583997,-0.0926019142507,730.783504827,F,3.25826713414,-0.0647466306149,0,0,148,4.52215863865,0.931689207219,0.0647466306149,100,93.5253369385,86.584460361,100,74.718501753,93.5253369385,93.1933871579
BigTrader-sideways,SIDEWAYS,17,3,0.0388475113649,-0.196090509395,13,0.234938020759,EXPLORATORY,505.017647744,-2549.17662213,0,0.184691343112,3054.19426987,A,inf,0.0221286771555,0,0,245,-100,0.752373230312,0,100,100,77.6186615156,100,100,100,96.6427992273
BigTrader-transition,TRANSITION,10,3,0.0234546095006,-0.0121586284248,10,0.0356132379254,EXPLORATORY,234.546095006,-121.586284248,0,-0.230602144435,356.132379254,F,inf,0.0115736618893,0,0,78,-100,1.09755544458,0,100,100,90.4877772229,100,100,100,98.5731665834
Cenderawasih_3_kucoin-sideways,SIDEWAYS,19,4,0.00231013555964,-0.204962621069,12,0.207272756629,EXPLORATORY,27.7216267157,-2459.55145283,0.0060394151303,0.14996302992,2487.27307955,A,1.32460956311,-0.0120788302606,0,0,257,3.22358514105,0.0393711819114,0.0120788302606,100,98.7921169739,9.84279547785,100,36.2304781555,98.7921169739,79.6767080781
CryptoFrog_nateema-transition,SIDEWAYS,1,1,0.000280541376432,0.0691075514874,1,-0.068827010111,EXPLORATORY,0.280541376432,69.1075514874,0,,-68.827010111,,inf,0.000280541376432,0,0,4,-100,0.0255994005994,0,100,100,6.39985014985,100,100,100,85.9599775225
CryptoFrog_nateema-transition,TRANSITION,209,21,0.00561337060438,-0.0493542547156,72,0.0549676253199,VALIDATION,404.162683515,-3553.50633952,0.0157714155769,0.0205211901898,3957.66902304,A,1.22333983491,-0.086828156712,0,0,565,0.592731211437,0.261096246873,0.0868256801427,19.7577070479,91.3174319857,53.0548123436,100,31.1669917455,91.3171843288,62.9754242174
CustomStoplossWithPSAR-downtrend,BEAR,19,7,0.159948253504,-0.124458927272,15,0.284407180776,VALIDATION,2399.22380257,-1866.88390908,0.201427801158,0.0261633494682,4266.10771164,A,2.07017924144,-0.201598401598,0,0.263157894737,432,9.99178963722,2.02712196282,0.201504711568,100,49.623822108,95.1356098141,100,70.2631721554,79.8401598402,81.6866301987
