coin_regime,rank,strategy_id,excess_return,trades,episodes
BEAR,1,CustomStoplossWithPSAR-downtrend,0.400037094055,14,11
BEAR,2,OversoldReversion-downtrend,0.26642149631,11,8
BEAR,3,MFI2-downtrend,0.159105248575,16,16
BEAR,4,Squeeze001-downtrend,0.13885526419,21,16
BEAR,5,NFI46Z-downtrend,0.123564064127,40,19
BEAR,6,adxbbrsi2-transition,0.10510670261,21,15
BEAR,7,GodCard-downtrend,0.0990666673583,22,16
BEAR,8,cryptotank-transition,0.0988771206374,23,9
BEAR,9,ADXDM-downtrend,0.0921341962106,63,33
BEAR,10,FSampleStrategy-sideways,0.0768810543276,24,13
BEAR,11,cryptotank-downtrend,0.0763882357192,117,32
BEAR,12,FSampleStrategy-trend,0.0639982762555,22,16
BEAR,13,eltoro1_4_simple-downtrend,0.0469037619385,111,42
BEAR,14,FastSupertrend_optim3_rsi_80-trend,0.044901245957,670,65
BEAR,15,FastSupertrend_optim3_rsi_80-uptrend,0.043468593827,72,21
BEAR,16,CryptoFrog_nateema-transition,0.0386477388906,50,15
BEAR,17,eltoro1_4-transition,0.0364585613748,66,33
BULL,1,cryptotank-sideways,0.0286590283838,11,5
BULL,2,FastSupertrend_optim3_rsi_80-uptrend,-0.00764059720726,750,54
BULL,3,FastSupertrend_optim3_rsi_80-trend,-0.00936409237077,605,57
BULL,4,eltoro1_4-transition,-0.0618063806213,17,13
BULL,5,CryptoFrog_nateema-transition,-0.0624993360469,58,11
BULL,6,eltoro1_4_simple-downtrend,-0.118872434758,41,17
BULL,7,cryptotank-transition,-0.171081777292,20,8
BULL,8,FSampleStrategy-trend,-0.215607799248,46,28
BULL,9,cryptotank-downtrend,-0.222449921466,45,10
SIDEWAYS,1,BigTrader-sideways,0.197775322566,10,7
SIDEWAYS,2,Cenderawasih_3_kucoin-sideways,0.164601296081,10,6
SIDEWAYS,3,FSampleStrategy-sideways,0.147076967125,93,49
SIDEWAYS,4,cryptotank-downtrend,0.144509324044,43,10
SIDEWAYS,5,BB_RTR-sideways,0.139588101628,20,11
SIDEWAYS,6,BB_RTR-transition,0.123457871303,17,10
SIDEWAYS,7,TheRealPullbackV2-sideways,0.120638143869,24,18
SIDEWAYS,8,BB_RPB_TSL_RNG_2-transition,0.118967548029,12,8
SIDEWAYS,9,cryptotank-sideways,0.101808139882,81,21
SIDEWAYS,10,GodCard-sideways,0.0737375959929,14,11
SIDEWAYS,11,eltoro1_4_simple-downtrend,0.0619889094263,31,20
SIDEWAYS,12,CryptoFrog_nateema-transition,0.0324375051195,56,30
SIDEWAYS,13,eltoro1_4-transition,0.016168508961,58,44
SIDEWAYS,14,FSampleStrategy-trend,0.00312366880573,24,16
SIDEWAYS,15,adxbbrsi2-transition,-0.0072288214768,21,12
SIDEWAYS,16,FastSupertrend_optim3_rsi_80-uptrend,-0.0073449626647,415,50
SIDEWAYS,17,FastSupertrend_optim3_rsi_80-trend,-0.00789476117519,385,55
SIDEWAYS,18,cryptotank-transition,-0.00799485876923,23,15
SIDEWAYS,19,ADXDM-downtrend,-0.0212596323175,10,7
TRANSITION,1,cryptotank-sideways,0.113228750895,45,12
TRANSITION,2,adxbbrsi2-transition,0.106773487501,14,10
TRANSITION,3,BB_RTR-sideways,0.106603631849,19,9
TRANSITION,4,cryptotank-transition,0.0892712067477,17,7
TRANSITION,5,cryptotank-downtrend,0.0795145370629,35,13
TRANSITION,6,eltoro1_4_simple-downtrend,0.0769400923233,26,20
TRANSITION,7,eltoro1_4-transition,0.0681248825135,39,30
TRANSITION,8,ADXDM-downtrend,0.0655422847817,13,12
TRANSITION,9,CryptoFrog_nateema-transition,0.0641954228731,46,19
TRANSITION,10,FSampleStrategy-trend,0.00781601202444,14,13
TRANSITION,11,FastSupertrend_optim3_rsi_80-uptrend,-0.00425718066631,223,57
TRANSITION,12,FastSupertrend_optim3_rsi_80-trend,-0.00550235133429,264,76
TRANSITION,13,FSampleStrategy-sideways,-0.0455873378721,36,21
