strategy_id,btc_regime,trades,mean_profit_ratio,episodes,mean_benchmark_return,benchmark_matched_episodes,excess_return,tier,dollar_gain_usd,benchmark_dollar_gain_usd,excess_dollar_gain_usd
ADXDM-trend,BEAR,5,0.00193982517243,9,-0.229331717328,5,0.231271542501,EXPLORATORY,9.69912586215,-1146.65858664,1156.3577125
ADXDM-trend,BULL,26,-0.00343338927081,28,0.152986309536,20,-0.156419698806,VALIDATION,-89.2681210411,3059.72619071,-3148.99431175
ADXDM-trend,SIDEWAYS,6,0.0152589809622,11,-0.0293520812756,6,0.0446110622378,EXPLORATORY,91.553885773,-176.112487654,267.666373427
ADXDM-trend,TRANSITION,7,0.00113834891622,16,-0.0378659592977,6,0.0390043082139,EXPLORATORY,7.96844241351,-227.195755786,235.1641982
ADXMomentum-trend,BULL,1,0.00999882074737,9,0.14114682471,1,-0.131148003963,EXPLORATORY,9.99882074737,141.14682471,-131.148003963
ADX_15M_USDT-trend,BEAR,89,-0.0202651292029,25,-0.0641215404825,21,0.0438564112796,VALIDATION,-1803.59649906,-1346.55235013,-457.044148924
ADX_15M_USDT-trend,BULL,392,-0.00367726748434,35,0.198037946253,49,-0.201715213737,VALIDATION,-1441.48885386,9703.85936639,-11145.3482203
ADX_15M_USDT-trend,SIDEWAYS,56,0.000939897770788,27,0.0595113950887,17,-0.0585714973179,VALIDATION,52.6342751642,1011.69371651,-959.059441344
ADX_15M_USDT-trend,TRANSITION,69,-0.0132535635788,52,0.0468288483935,28,-0.0600824119722,VALIDATION,-914.495886935,1311.20775502,-2225.70364195
AdaptiveRegime-trend,BEAR,20,-0.0444917941301,14,-0.105524276556,20,0.0610324824263,VALIDATION,-889.835882602,-2110.48553113,1220.64964853
AdaptiveRegime-trend,BULL,21,0.147469702555,16,0.480710801016,19,-0.333241098461,VALIDATION,3096.86375366,9133.5052193,-6036.64146564
AdaptiveRegime-trend,SIDEWAYS,7,-0.0692635847732,16,0.103783075083,7,-0.173046659856,EXPLORATORY,-484.845093413,726.481525583,-1211.326619
AdaptiveRegime-trend,TRANSITION,9,0.0657097737653,14,0.00514816060219,9,0.0605616131631,EXPLORATORY,591.387963887,46.3334454197,545.054518468
AlmgrenChrissStrategy-trend,BEAR,830,-0.00232527508812,41,-0.0267285999026,59,0.0244033248144,VALIDATION,-1929.97832314,-1576.98739425,-352.990928892
AlmgrenChrissStrategy-trend,BULL,600,-0.00142916374433,33,0.218803359067,43,-0.220232522811,VALIDATION,-857.498246595,9408.54443988,-10266.0426865
AlmgrenChrissStrategy-trend,SIDEWAYS,251,-0.00260717099957,36,0.0108880234819,49,-0.0134951944815,VALIDATION,-654.399920893,533.513150614,-1187.91307151
AlmgrenChrissStrategy-trend,TRANSITION,304,0.000818299489183,71,-0.0130187827807,80,0.0138370822698,VALIDATION,248.763044712,-1041.50262245,1290.26566716
BBMod-trend,BEAR,147,0.00102417576826,23,-0.103109207777,14,0.104133383546,VALIDATION,150.553837935,-1443.52890888,1594.08274682
BBMod-trend,BULL,338,0.00213154007991,27,0.348726028438,27,-0.346594488358,VALIDATION,720.460547009,9415.60276782,-8695.14222081
BBMod-trend,SIDEWAYS,15,-0.00731148915725,19,0.067087428579,10,-0.0743989177362,VALIDATION,-109.672337359,670.87428579,-780.546623149
BBMod-trend,TRANSITION,60,0.000752576108992,40,0.0410404092761,19,-0.0402878331671,VALIDATION,45.1545665395,779.767776245,-734.613209705
