strategy_id,trades,dollar_gain_usd,benchmark_matched_trades,benchmark_dollar_gain_usd,excess_dollar_gain_usd
FastSupertrend_optim3_rsi_80-trend,1831,9536.67983609,1831,2188.42171639,7348.2581197
FastSupertrend_optim3_rsi_80-uptrend,1270,8507.05148222,1270,-4400.44383606,12907.4953183
FSampleStrategy-sideways,201,4688.62344266,201,8878.2170402,-4189.59359754
cryptotank-downtrend,162,2443.61048434,162,-398.992626723,2842.60311106
cryptotank-transition,134,2209.71046509,134,-495.966068676,2705.67653377
CustomStoplossWithPSAR-downtrend,19,2159.00308641,19,2463.64469649,-304.64161008
eltoro1_4_simple-downtrend,193,1305.55500998,193,1413.62786649,-108.072856514
OversoldReversion-downtrend,16,1047.81266108,16,1044.34551796,3.46714311833
eltoro1_4-transition,219,1005.71009207,219,-204.254908574,1209.96500064
BB_RTR-sideways,51,845.008239296,51,811.19881228,33.8094270159
MFI2-downtrend,33,782.838553994,33,784.123733549,-1.28517955541
E0V1E_protections-sideways,21,717.100537934,21,642.368131432,74.732406502
TheRealPullbackV2-sideways,60,578.981366401,60,838.33321895,-259.351852549
SARCross-sideways,21,559.326153719,21,529.683516809,29.6426369098
BigTrader-sideways,20,504.236985808,20,329.176950299,175.060035508
ADXDM-downtrend,101,479.447680044,101,488.331449066,-8.88376902175
Hacklemost-sideways,15,358.505575683,15,183.023584079,175.481991604
Hammer-transition,19,346.656984564,19,224.603282377,122.053702187
BigTrader-transition,11,293.092409641,11,179.728947811,113.36346183
Squeeze001-downtrend,28,285.495018908,28,236.744527571,48.7504913372
cryptotank-sideways,181,265.171464189,181,-1705.91393103,1971.08539522
NostalgiaForInfinityX-transition,11,256.081740683,11,249.858740227,6.223000456
SimpleBollinger-downtrend,10,245.901791269,10,266.484182107,-20.5823908379
Cenderawasih_3_kucoin-sideways,21,223.672645083,21,428.873435247,-205.200790164
SARCross-transition,11,195.484737123,11,169.289222616,26.1955145074
CryptoFrog_nateema-transition,259,151.415794732,259,259.119130515,-107.703335782
GodCard-sideways,39,116.84339697,39,494.182752754,-377.339355784
BB_RTR-transition,31,80.3071996066,31,-25.9845080551,106.291707662
GodCard-downtrend,31,48.7731378796,31,194.242987873,-145.469849994
adxbbrsi2-transition,41,2.02854035916,41,-271.740122529,273.768662888
BB_RPB_TSL_RNG_2-transition,23,-76.4461290843,23,56.8251432872,-133.271272371
NFI46Z-downtrend,57,-86.600654316,57,-43.1311206426,-43.4695336734
FSampleStrategy-trend,95,-92.9676397121,95,1849.19793233,-1942.16557204
