coin_regime,rank,strategy_id,excess_return,trades,episodes
BEAR,1,AdaptiveRegime-trend,0.0428921899989,23,23
BEAR,2,AlmgrenChrissStrategy-trend,-0.0249683449708,863,78
BULL,1,ADXDM-trend,-0.0314270728357,26,20
BULL,2,AlmgrenChrissStrategy-trend,-0.0903141383949,646,53
BULL,3,ADX_15M_USDT-trend,-0.117057885645,393,53
BULL,4,BBMod-trend,-0.142409592209,338,28
BULL,5,AdaptiveRegime-trend,-0.179303262059,21,19
SIDEWAYS,1,BBMod-sideways,0.00992505880466,159,41
SIDEWAYS,2,ADXDM-sideways,0.00216012760856,64,48
SIDEWAYS,3,ADX_15M_USDT-sideways,-0.0225948045624,670,113
SIDEWAYS,4,AdaptiveRegime-sideways,-0.0252109193227,29,25
SIDEWAYS,5,AlmgrenChrissStrategy-sideways,-0.0577443420333,746,109
SIDEWAYS,6,ASDTSRockwellTrading-sideways,-0.147512478682,3587,58
TRANSITION,1,AdaptiveRegime-transition,0.073939927125,13,13
TRANSITION,2,BBMod-transition,0.0480736505014,59,31
TRANSITION,3,ADXDM-transition,0.0351751249587,37,29
TRANSITION,4,ADX_15M_USDT-transition,0.0060940188582,282,117
TRANSITION,5,AlmgrenChrissStrategy-transition,0.00308503869688,392,123
TRANSITION,6,ASDTSRockwellTrading-transition,-0.0694558671096,4766,129
