strategy_id,coin_regime,trades,episodes,mean_profit_ratio,mean_benchmark_return,benchmark_matched_episodes,excess_return,tier,dollar_gain_usd,benchmark_dollar_gain_usd,max_drawdown,episode_excess_lcb,excess_dollar_gain_usd,lcb_grade,profit_factor,worst_trade,liquidation_rate,forced_exit_rate,total_regime_days,sortino,annualized_return,drawdown_since_peak,sortino_pts,drawdown_pts,annualized_return_pts,liquidation_pts,profit_factor_pts,worst_trade_pts,freqforge_score
ADXDM-sideways,SIDEWAYS,64,48,-0.00231824695264,-0.0044783745612,48,0.00216012760856,VALIDATION,-111.275853727,-214.961978937,0.0252684716235,-0.0294734555292,103.686125211,D,0.780826899486,-0.254258728285,0,0,764,-0.114232543017,-0.0531618934689,0.252684716235,0,36.8288209413,0,100,15.6165379897,74.5741271715,33.2262717514
ADXDM-transition,TRANSITION,37,29,-0.0125216762803,-0.0476968012389,29,0.0351751249587,VALIDATION,-363.128612127,-1383.20723593,0.0174668717501,0.0153832284486,1020.0786238,B,0.272395096602,-0.252664890205,0,0,179,-0.910223724992,-0.740457784506,0.252664890205,0,36.8337774488,0,100,5.44790193205,74.7335109795,32.2265856533
ADXDM-trend,BULL,26,20,-0.00446340604973,0.026963666786,20,-0.0314270728357,VALIDATION,-89.2681209946,539.27333572,0.00974387723272,-0.112979604501,-628.541456714,F,0.647877428937,-0.253219465207,0,0,270,-0.278492645748,-0.120677274678,0.0422234680084,0,95.7776531992,0,100,12.9575485787,74.6780534793,47.7079735056
ADXMomentum-sideways,SIDEWAYS,1,1,-0.000672718068166,0.0826096653533,1,-0.0832823834215,EXPLORATORY,-0.672718068166,82.6096653533,0.000672718068166,,-83.2823834215,,0,-0.000672718068166,0,0,30,-100,-0.00818473649602,0.000672718068166,100,99.9327281932,0,100,0,99.9327281932,74.9764548676
ADXMomentum-transition,TRANSITION,2,2,-0.00974734710084,-0.00696702154256,2,-0.00278032555828,EXPLORATORY,-19.4946942017,-13.9340430851,0.0294924965115,-0.111110903101,-5.56065111656,F,0.338994778076,-0.0294924965115,0,0,29,-100,-0.245364254607,0.0294924965115,100,97.0507503489,0,100,6.77989556151,97.0507503489,74.6457521782
ADXMomentum-trend,BULL,1,1,0.00999882076382,0.326052450699,1,-0.316053629935,EXPLORATORY,9.99882076382,326.052450699,0,,-316.053629935,,inf,0.00999882076382,0,0,29,-100,0.125847226855,0,100,100,31.4618067137,100,100,100,89.7192710071
ADX_15M_USDT-sideways,SIDEWAYS,670,113,-0.00432588118197,0.0182689233805,113,-0.0225948045624,VALIDATION,-488.824573563,2064.38834199,0.00931926733483,-0.0374609472063,-2553.21291555,D,0.902160202627,-0.12724724413,0,0,1271,-0.206971819736,-0.140378418057,0.12724724413,0,79.101102348,0,100,18.0432040525,87.275275587,45.307123551
ADX_15M_USDT-transition,TRANSITION,282,117,-0.00396338560789,-0.0100574044661,117,0.0060940188582,VALIDATION,-463.716116123,-1176.71632253,0.00883227544009,-0.00171857815791,713.00020641,C,0.757204379433,-0.127247220697,0,0,523,-0.494979557953,-0.323625970143,0.127247121937,0,79.1011512252,0,100,15.1440875887,87.2752779303,45.0172243582
ADX_15M_USDT-trend,BULL,393,53,-0.0270905376376,0.0899673480077,53,-0.117057885645,VALIDATION,-1435.79849479,4768.26944441,0.0175283640196,-0.213382786985,-6204.0679392,F,0.737596481689,-0.127247242203,0,0,644,-0.928010141456,-0.813767780434,0.127242516997,0,79.1029932012,0,100,14.7519296338,87.2752757797,44.9784688416
ASDTSRockwellTrading-sideways,SIDEWAYS,3587,58,-0.130801811309,0.0167106673724,58,-0.147512478682,VALIDATION,-7586.50505595,969.218707598,0.0045296846397,-0.180024401812,-8555.72376355,F,0.325966486842,-0.0395369195057,0,0,487,-44.9135130369,-5.68598428218,0.0045296846397,0,99.547031536,0,100,6.51932973685,96.0463080494,50.1433216626
ASDTSRockwellTrading-sideways,TRANSITION,1,1,-0.00443956091336,-0.0242579288039,1,0.0198183678905,EXPLORATORY,-4.43956091336,-24.2579288039,0.00443956091336,,19.8183678905,,0,-0.00443956091336,0,0,1,-100,-1.62043973338,0.00443956091336,100,99.5560439087,0,100,0,99.5560439087,74.844615368
ASDTSRockwellTrading-transition,SIDEWAYS,2,2,-0.0034497128129,0.0921650949017,2,-0.0956148077146,EXPLORATORY,-6.89942562579,184.330189803,0.00344971281289,-0.168829869579,-191.229615429,F,0,-0.00549040986124,0,0,60,-4.16941584456,-0.0419715058902,0.00344971281289,0,99.6550287187,0,100,0,99.4509590139,49.8588530811
ASDTSRockwellTrading-transition,TRANSITION,4766,129,-0.0821802972216,-0.0127244301121,129,-0.0694558671096,VALIDATION,-10601.2583416,-1641.45148446,0.00237039737585,-0.081165104459,-8959.80685713,F,0.318515009404,-0.0308293398819,0,0,542,-46.2502757164,-7.13922379092,0.00540768654623,0,99.4592313454,0,100,6.37030018809,96.9170660118,50.1935444563
AdaptiveRegime-sideways,SIDEWAYS,29,25,-0.00364190458383,0.0215690147388,25,-0.0252109193227,VALIDATION,-91.0476145958,539.225368471,0.0616906473083,-0.104934818347,-630.272983067,F,0.958592933229,-0.343307478912,0,0,398,-0.191767278358,-0.0834984405213,0.0793165465392,0,92.0683453461,0,100,19.1718586646,65.6692521088,46.5011974139
AdaptiveRegime-sideways,TRANSITION,3,3,-0.0536889549379,0.069589513292,3,-0.12327846823,EXPLORATORY,-161.066864814,208.768539876,0.0785651638601,-0.342990340822,-369.83540469,F,0.105941253751,-0.101587276334,0,0,8,-38.584852381,-7.34867570713,0.0785651638601,0,92.143483614,0,100,2.11882507501,89.8412723666,47.2318806477
AdaptiveRegime-transition,BEAR,1,1,-0.079998670856,0.0215664018161,1,-0.101565072672,EXPLORATORY,-79.998670856,21.5664018161,0.079998670856,,-101.565072672,,0,-0.079998670856,0,0,2,-100,-14.5997574312,0.079998670856,100,92.0001329144,0,100,0,92.0001329144,72.20004652
AdaptiveRegime-transition,BULL,3,3,0.039337839942,0.0753696313899,3,-0.0360317914479,EXPLORATORY,118.013519826,226.10889417,0.0462682117983,-0.137347575935,-108.095374344,F,1.8502131034,-0.138804635395,0,0,41,-100,1.0506081643,0.138804635395,100,74.478145842,90.2530408215,100,62.5106551702,86.1195364605,87.0205117468
AdaptiveRegime-transition,TRANSITION,13,13,0.0337997502644,-0.0401401768606,13,0.073939927125,VALIDATION,439.396753437,-521.822299188,0.0881969032667,-0.000271113781376,961.219052625,C,1.72554400385,-0.127104970897,0,0,71,12.8787266149,2.25887063386,0.127104970897,100,79.1580116412,96.2943531693,100,56.2772001927,87.2895029103,88.590326196
AdaptiveRegime-trend,BEAR,23,23,-0.0345377259257,-0.0774299159247,23,0.0428921899989,VALIDATION,-794.367696292,-1780.88806627,0.190673061586,-0.0209861921276,986.520369976,D,0.413182107769,-0.255084128923,0,0,673,-1.62956111445,-0.43082349056,0.190673061586,0,53.7307753656,0,100,8.26364215539,74.4915871077,36.7082167677
AdaptiveRegime-trend,BULL,21,19,0.155306716729,0.334609978788,19,-0.179303262059,VALIDATION,2950.82761784,6357.58959697,0.0585652656654,-0.305220629762,-3406.76197913,F,3.1999346868,-0.219289143444,0,0,472,8.92013345132,2.28189000109,0.219289143444,100,45.177714139,96.4094500054,100,74.4997550755,78.0710856556,81.0129301087
AlmgrenChrissStrategy-sideways,SIDEWAYS,746,109,-0.0414991049112,0.0162452371221,109,-0.0577443420333,VALIDATION,-4523.40243532,1770.73084631,0.0129121564414,-0.0825326861983,-6294.13328163,F,0.604708940774,-0.104519250796,0,0.00536193029491,1162,-2.24046506557,-1.42086221075,0.0437648000342,0,95.6235199966,0,100,12.0941788155,89.5480749204,49.0701053727
AlmgrenChrissStrategy-transition,TRANSITION,392,123,-0.0108391667795,-0.0139242054764,123,0.00308503869688,VALIDATION,-1333.21751388,-1712.6772736,0.0511614769405,-0.00645504567192,379.459759716,C,0.73993824225,-0.104702570016,0,0,519,-1.36810127928,-0.9376192535,0.102322953881,0,89.0708184476,0,100,14.798764845,89.5297429984,47.7005553962
