btc_regime,rank,strategy_id,excess_return,trades,episodes
BEAR,1,CustomStoplossWithPSAR-downtrend,0.296710253024,17,6
BEAR,2,Squeeze001-downtrend,0.137036455469,21,5
BEAR,3,MFI2-downtrend,0.12735161872,16,5
BEAR,4,NFI46Z-downtrend,0.105441430162,40,8
BEAR,5,cryptotank-downtrend,0.0951619224961,118,8
BEAR,6,GodCard-downtrend,0.0860586944851,22,7
BEAR,7,ADXDM-downtrend,0.0661751730147,63,9
BEAR,8,FastSupertrend_optim3_rsi_80-trend,0.0646447817002,658,14
BEAR,9,eltoro1_4_simple-downtrend,0.0324457069257,124,12
BULL,1,FastSupertrend_optim3_rsi_80-uptrend,-0.0852050806208,772,15
BULL,2,FastSupertrend_optim3_rsi_80-trend,-0.128276523412,512,13
BULL,3,FSampleStrategy-trend,-0.310778506504,47,10
SIDEWAYS,1,BB_RTR-sideways,0.093838185572,20,5
SIDEWAYS,2,TheRealPullbackV2-sideways,0.0839669231684,24,7
SIDEWAYS,3,cryptotank-sideways,0.0768949901276,100,7
SIDEWAYS,4,FSampleStrategy-sideways,0.0480480900028,115,18
SIDEWAYS,5,GodCard-sideways,0.010364014022,14,5
TRANSITION,1,cryptotank-transition,0.148264950795,22,6
TRANSITION,2,adxbbrsi2-transition,0.107324601002,14,6
TRANSITION,3,eltoro1_4-transition,0.0743090359254,48,19
TRANSITION,4,CryptoFrog_nateema-transition,0.0400975561352,47,13
