strategy_id,coin_regime,trades,episodes,mean_profit_ratio,mean_benchmark_return,benchmark_matched_episodes,excess_return,tier,dollar_gain_usd,benchmark_dollar_gain_usd,max_drawdown,episode_excess_lcb,excess_dollar_gain_usd,lcb_grade,profit_factor,worst_trade,liquidation_rate,forced_exit_rate,total_regime_days,sortino,annualized_return,drawdown_since_peak,sortino_pts,drawdown_pts,annualized_return_pts,liquidation_pts,profit_factor_pts,worst_trade_pts,freqforge_score
ADXDM-downtrend,BEAR,63,33,0.00428582708121,-0.0878483691203,33,0.0921341962015,VALIDATION,141.43229368,-2898.99618097,0.0145643577841,0.054921870703,3040.42847465,A,1.5692728633,-0.247585717488,0,0,1182,0.14424053588,0.0436741008403,0.123797041164,4.80801786268,80.4811835342,10.9185252101,100,48.463643165,75.2414282512,50.3305862724
BB_RPB_TSL_RNG_2-transition,TRANSITION,2,2,0.0123205205723,-0.072769252785,2,0.0850897733573,EXPLORATORY,24.6410411447,-145.53850557,0.00252566242974,-0.45983559476,170.179546715,F,10.7562686345,-0.00252566242974,0,0,13,-100,0.691844616754,0.00252566242974,100,99.747433757,74.5922308377,100,100,99.747433757,96.1004364406
BB_RTR-sideways,SIDEWAYS,20,11,0.0182850845306,-0.121303017098,11,0.139588101628,VALIDATION,201.135929837,-1334.33318807,0.00193552991595,0.0813929200033,1535.46911791,A,12.1526287753,-0.0040389058794,0,0,279,70.1487556927,0.263134818603,0.00359809681844,100,99.6401903182,53.1567409302,100,100,99.5961094121,92.8431696603
BB_RTR-transition,TRANSITION,5,4,0.00147984792589,-0.104468768588,4,0.105948616514,EXPLORATORY,5.91939170356,-417.875074351,0.0159341615018,0.0725579943376,423.794466055,A,1.09287265764,-0.0637366460071,0,0,10,-100,0.21605779718,0.0637366460071,100,93.6263353993,50.802889859,100,24.6436328819,93.6263353993,82.8540141568
BigTrader-sideways,SIDEWAYS,10,7,0.0389475370585,-0.158827785506,7,0.197775322564,VALIDATION,272.632759409,-1111.79449854,0,0.127301289708,1384.42725795,A,inf,0.0221286771555,0,0,174,-100,0.571902052784,0,100,100,68.5951026392,100,100,100,95.2892653959
BigTrader-transition,TRANSITION,2,2,0.0181369012565,-0.11988086227,2,0.138017763527,EXPLORATORY,36.273802513,-239.76172454,0,-0.0571601609239,276.035527053,F,inf,0.0115736618893,0,0,6,-100,2.20665631954,0,100,100,96.0332815977,100,100,100,99.4049922397
Cenderawasih_3_kucoin-sideways,SIDEWAYS,10,6,0.00775177612936,-0.156849519952,6,0.164601296081,VALIDATION,46.5106567762,-941.097119711,0.00455242800609,0.0865402972341,987.607776487,A,2.40907479586,-0.00782981121903,0,0,142,16.4390974875,0.119552040305,0.00699955403117,100,99.3000445969,29.8880100762,100,71.5340304845,99.2170188781,86.3833175969
CryptoFrog_nateema-transition,TRANSITION,47,20,-0.000905915142207,-0.062118268103,20,0.0612123529608,VALIDATION,-18.1183028441,-1242.36536206,0.0173359916048,0.030646014904,1224.24705922,A,0.962931361113,-0.086828156747,0,0,136,-0.101761606042,-0.0486263274861,0.0868256801061,0,91.3174319894,0,100,19.2586272223,91.3171843253,48.8869391521
CustomStoplossWithPSAR-downtrend,BEAR,17,13,0.20197537227,-0.0839779948079,13,0.285953367078,VALIDATION,2625.67983951,-1091.7139325,0.201440226906,-0.0359131162018,3717.39377201,D,2.4146653761,-0.201560819147,0,0.294117647059,422,11.8521305584,2.27102640147,0.201508430717,100,49.6228923208,96.3551320073,100,71.5549951604,79.8439180853,81.9988842059
E0V1E_protections-sideways,SIDEWAYS,8,4,0.0757954561255,-0.205592229501,4,0.281387685626,EXPLORATORY,303.181824502,-822.368918004,0,0.196287812468,1125.55074251,A,inf,0.0137860332167,0,0,96,-100,1.15272256191,0,100,100,90.7636128095,100,100,100,98.6145419214
