coin_regime,rank,strategy_id,excess_return,trades,episodes
BEAR,1,CustomStoplossWithPSAR-downtrend,0.221579835029,17,14
BEAR,2,OversoldReversion-downtrend,0.1993250103,11,8
BEAR,3,MFI2-downtrend,0.0936328365965,16,16
BEAR,4,Squeeze001-downtrend,0.0882969878824,21,16
BEAR,5,NFI46Z-downtrend,0.0864149061604,40,20
BEAR,6,GodCard-downtrend,0.055368219794,22,16
BEAR,7,ADXDM-downtrend,0.044333778876,63,36
BEAR,8,cryptotank-downtrend,0.0346912091675,118,37
BEAR,9,FastSupertrend_optim3_rsi_80-trend,0.0262834222862,658,71
BEAR,10,eltoro1_4_simple-downtrend,-0.00343718642305,124,58
BULL,1,FastSupertrend_optim3_rsi_80-uptrend,0.00870811136405,770,57
BULL,2,FastSupertrend_optim3_rsi_80-trend,-0.0298856704383,512,52
BULL,3,FSampleStrategy-trend,-0.170342029209,47,29
SIDEWAYS,1,BigTrader-sideways,0.196177407214,10,7
SIDEWAYS,2,Cenderawasih_3_kucoin-sideways,0.170135556093,10,6
SIDEWAYS,3,BB_RTR-sideways,0.130071459292,20,11
SIDEWAYS,4,TheRealPullbackV2-sideways,0.125211484448,24,18
SIDEWAYS,5,cryptotank-sideways,0.104796129432,100,22
SIDEWAYS,6,FSampleStrategy-sideways,0.0844918579807,114,59
SIDEWAYS,7,GodCard-sideways,0.0194837533676,14,11
TRANSITION,1,cryptotank-transition,0.102987317084,22,9
TRANSITION,2,adxbbrsi2-transition,0.0946713987915,14,10
TRANSITION,3,CryptoFrog_nateema-transition,0.0631032231135,47,20
TRANSITION,4,eltoro1_4-transition,0.041668226736,49,36
