strategy_id,coin_regime,trades,episodes,mean_profit_ratio,mean_benchmark_return,benchmark_matched_episodes,excess_return,tier,dollar_gain_usd,benchmark_dollar_gain_usd,max_drawdown,episode_excess_lcb,excess_dollar_gain_usd,lcb_grade,profit_factor,worst_trade,liquidation_rate,forced_exit_rate,total_regime_days,sortino,annualized_return,drawdown_since_peak,sortino_pts,drawdown_pts,annualized_return_pts,liquidation_pts,profit_factor_pts,worst_trade_pts,freqforge_score
ADXDM-downtrend,BEAR,63,36,0.00392867482444,-0.0404051040515,36,0.044333778876,VALIDATION,141.43229368,-1454.58374585,0.0145643577841,0.0148820577261,1596.01603953,B,1.5692728633,-0.247585717488,0,0,879,0.167263672447,0.0587289956692,0.123797041164,5.57545574822,80.4811835342,14.6822489173,100,48.463643165,75.2414282512,51.0870042998
BB_RPB_TSL_RNG_2-transition,TRANSITION,2,2,0.0123205205723,-0.0887982461662,2,0.101118766739,EXPLORATORY,24.6410411447,-177.596492332,0.00252566242974,-0.342603520139,202.237533477,F,10.7562686345,-0.00252566242974,0,0,10,-100,0.89939800178,0.00252566242974,100,99.747433757,84.969900089,100,100,99.747433757,97.6570868283
BB_RTR-sideways,SIDEWAYS,20,11,0.0182850845306,-0.111786374761,11,0.130071459292,VALIDATION,201.135929837,-1229.65012237,0.00193552991595,0.0798918749442,1430.78605221,A,12.1526287753,-0.0040389058794,0,0,146,96.9718420909,0.502839824591,0.00359809681844,100,99.6401903182,65.1419912296,100,100,99.5961094121,94.6409572052
BB_RTR-transition,TRANSITION,5,4,0.00147984792589,-0.104468768588,4,0.105948616514,EXPLORATORY,5.91939170356,-417.875074351,0.0159341615018,0.0725579943376,423.794466055,A,1.09287265764,-0.0637366460071,0,0,10,-100,0.21605779718,0.0637366460071,100,93.6263353993,50.802889859,100,24.6436328819,93.6263353993,82.8540141568
BigTrader-sideways,SIDEWAYS,10,7,0.0389475370585,-0.157229870156,7,0.196177407214,VALIDATION,272.632759409,-1100.60909109,0,0.144636495014,1373.2418505,A,inf,0.0221286771555,0,0,104,-100,0.956836126773,0,100,100,87.8418063387,100,100,100,98.1762709508
BigTrader-transition,TRANSITION,2,2,0.0181369012565,-0.11988086227,2,0.138017763527,EXPLORATORY,36.273802513,-239.76172454,0,-0.0571601609239,276.035527053,F,inf,0.0115736618893,0,0,6,-100,2.20665631954,0,100,100,96.0332815977,100,100,100,99.4049922397
Cenderawasih_3_kucoin-sideways,SIDEWAYS,10,6,0.00775177612936,-0.162383779963,6,0.170135556093,VALIDATION,46.5106567762,-974.30267978,0.00455242800609,0.115351737707,1020.81333656,A,2.40907479586,-0.00782981121903,0,0,90,20.6490886323,0.188626552481,0.00699955403117,100,99.3000445969,47.1566381203,100,71.5340304845,99.2170188781,88.9736118035
CryptoFrog_nateema-transition,TRANSITION,47,20,-0.000905915142207,-0.0640091382557,20,0.0631032231135,VALIDATION,-18.1183028441,-1280.18276511,0.0173359916048,0.0457440621803,1262.06446227,A,0.962931361113,-0.086828156747,0,0,87,-0.127231246033,-0.0760135694036,0.0868256801061,0,91.3174319894,0,100,19.2586272223,91.3171843253,48.8869391521
CustomStoplossWithPSAR-downtrend,BEAR,17,14,0.187548559965,-0.0340312750639,14,0.221579835029,VALIDATION,2625.67983951,-476.437850894,0.201440226906,-0.0674154318879,3102.1176904,F,2.4146653761,-0.201560819147,0,0.294117647059,303,13.9872178191,3.16294766145,0.201508430717,100,49.6228923208,100,100,71.5549951604,79.8439180853,82.5456144048
E0V1E_protections-sideways,SIDEWAYS,8,4,0.0757954561255,-0.184132683732,4,0.259928139858,EXPLORATORY,303.181824502,-736.530734929,0,0.161848069702,1039.71255943,A,inf,0.0137860332167,0,0,34,-100,3.25474605715,0,100,100,100,100,100,100,100
FSampleStrategy-sideways,SIDEWAYS,114,59,0.0753300249872,-0.00916183299356,59,0.0844918579807,VALIDATION,4444.47147424,-540.54814662,0.0582287619109,0.00672950040066,4985.01962086,B,1.88872656824,-0.163752633348,0,0.0526315789474,816,23.5786593587,1.98802951973,0.0582287619109,100,94.1771238089,94.9401475986,100,64.4363284118,83.6247366652,92.5914095997
FSampleStrategy-sideways,TRANSITION,1,1,-0.0518012660773,-0.0719541089911,1,0.0201528429138,EXPLORATORY,-51.8012660773,-71.9541089911,0.0518012660773,,20.1528429138,,0,-0.0518012660773,0,0,2,-100,-9.45373105911,0.0518012660773,100,94.8198733923,0,100,0,94.8198733923,73.1869556873
FSampleStrategy-trend,BEAR,8,5,0.0164494999901,-0.0689899345894,5,0.0854394345795,EXPLORATORY,82.2474999503,-344.949672947,0.0261444626041,-0.0649341576776,427.197172897,F,1.52574788832,-0.0522889252081,0,0,148,357.91089917,0.202840118121,0.0522889252081,100,94.7711074792,50.142005906,100,46.2873944159,94.7711074792,85.3199279452
FSampleStrategy-trend,BULL,47,29,-0.00194789099536,0.168394138214,29,-0.170342029209,VALIDATION,-56.4888388653,4883.4300082,0.117106471374,-0.368338822012,-4939.91884707,F,0.975798218059,-0.117106471374,0,0,496,-0.691353953482,-0.0415694076327,0.117106471374,0,83.1574114504,0,100,19.5159643612,88.2893528626,46.569884585
FastSupertrend_optim3_rsi_80-trend,BEAR,658,71,0.0353111790879,0.00902775680165,71,0.0262834222862,VALIDATION,2507.09371524,640.970732917,0.0407804949296,-0.0199158116324,1866.12298232,C,1.21645573188,-0.102547322113,0,0,1169,2.17016767449,0.782796583458,0.10232265421,72.3389224832,89.0709383162,79.1398291729,100,30.8227865941,89.7452677887,79.2802450141
FastSupertrend_optim3_rsi_80-trend,BULL,512,52,0.0654683554261,0.0953540258644,52,-0.0298856704383,VALIDATION,3404.35448216,4958.40934495,0.019367207872,-0.0636583404104,-1554.05486279,F,1.41279574888,-0.104756386774,0,0,641,3.9283563133,1.93851698282,0.104756386774,100,88.0974452904,94.6925849141,100,40.639787444,89.5243613226,89.2446639364
FastSupertrend_optim3_rsi_80-trend,TRANSITION,2,2,0.0232892869396,-0.0821601371815,2,0.105449424121,EXPLORATORY,46.5785738792,-164.320274363,0,-0.354442213422,210.898848242,F,inf,0.0205786267625,0,0,14,-100,1.21436996185,0,100,100,91.0718498093,100,100,100,98.6607774714
FastSupertrend_optim3_rsi_80-uptrend,BEAR,1,1,-0.101639488364,0.127314304144,1,-0.228953792508,EXPLORATORY,-101.639488364,127.314304144,0.101639488364,,-228.953792508,,0,-0.101639488364,0,0,6,-100,-6.18306887548,0.101639488364,100,89.3442046544,0,100,0,89.8360511636,71.31965628
FastSupertrend_optim3_rsi_80-uptrend,BULL,770,57,0.0907828481297,0.0820747367657,57,0.00870811136405,VALIDATION,5174.62234339,4678.25999564,0.0276569730054,-0.0239828318641,496.362347751,D,1.43030290716,-0.104756386782,0,0,649,4.72826755565,2.91022674166,0.104756386782,100,88.0974452872,99.5511337083,100,41.5151453582,89.5243613218,90.060982046
FastSupertrend_optim3_rsi_80-uptrend,TRANSITION,2,2,0.0181288942618,-0.0151851907056,2,0.0333140849673,EXPLORATORY,36.2577885235,-30.3703814112,0,-0.0393311000821,66.6281699347,D,inf,0.0170179066176,0,0,3,-100,4.41136427036,0,100,100,100,100,100,100,100
GodCard-downtrend,BEAR,22,16,0.00513649931389,-0.0502317204801,16,0.055368219794,VALIDATION,82.1839890222,-803.707527681,2.47541866962e-06,0.00713819236618,885.891516703,B,3689.89289231,-2.22494654566e-05,0,0,445,1009.97369588,0.0674093393104,1.11393840133e-05,100,99.9988860616,16.8523348276,100,100,99.9977750535,87.5273492449
GodCard-sideways,SIDEWAYS,14,11,0.00929228091561,-0.010191472452,11,0.0194837533676,VALIDATION,102.215090072,-112.106196972,0,-0.0507920459941,214.321287044,F,inf,0.000226784176255,0,0,211,-100,0.176817572873,0,100,100,44.2043932182,100,100,100,91.6306589827
Hacklemost-sideways,SIDEWAYS,6,3,0.0368177230264,-0.126680623164,3,0.16349834619,EXPLORATORY,110.453169079,-380.041869491,0,0.114642407708,490.49503857,A,inf,0.00490634649104,0,0,65,-100,0.620237026367,0,100,100,71.0118513184,100,100,100,95.6517776978
Hammer-transition,TRANSITION,3,3,0.00965779495707,-0.0309771852909,3,0.0406349802479,EXPLORATORY,28.9733848712,-92.9315558726,1.04985326661e-05,-0.058936700647,121.904940744,F,920.918550934,-3.14955979981e-05,0,0,18,-100,0.587515859888,3.14955979982e-05,100,99.9968504402,69.3757929944,100,100,99.9968504402,95.4052666032
MFI2-downtrend,BEAR,16,16,0.0312312677134,-0.062401568883,16,0.0936328365965,VALIDATION,499.700283415,-998.425102129,5.77677528988e-08,0.0334562647484,1498.12538554,A,786379.147014,-6.35445282034e-07,0,0,456,-100,0.399979393523,6.35445281887e-07,100,99.9999364555,59.9989696761,100,100,99.9999364555,93.9998232108
NFI46Z-downtrend,BEAR,40,20,-0.00016498810975,-0.0865798942702,20,0.0864149061604,VALIDATION,-3.29976219501,-1731.5978854,0.0091310016805,0.0553617386202,1728.29812321,A,0.98595266373,-0.0592121086179,0,0,603,-0.018352971388,-0.00199736849283,0.0501312378776,0,94.9868762122,0,100,19.7190532746,94.0787891382,50.1265032943
NostalgiaForInfinityX-transition,TRANSITION,3,2,0.0136595851768,-0.0660726324422,2,0.079732217619,EXPLORATORY,27.3191703536,-132.145264884,0,-0.194285672131,159.464435238,F,inf,0.00100028726638,0,0,4,-100,2.49287429477,0,100,100,97.4643714738,100,100,100,99.6196557211
