strategy_id,trades,dollar_gain_usd,benchmark_matched_trades,benchmark_dollar_gain_usd,excess_dollar_gain_usd
FastSupertrend_optim_quick,11065,23492.4321936,11065,2258.27013637,21234.1620573
FastSupertrend_optim3_rsi_80,6478,22673.9185624,6478,3664.02710776,19009.8914547
FastSupertrend_optim3,6508,22381.9771841,6508,3487.08573085,18894.8914533
FastSupertrend_optim3_rsi_75,6069,22112.5804578,6069,4584.89271285,17527.687745
FastSupertrend_optim3_rsi_75fix,6069,22112.5804578,6069,4584.89271285,17527.687745
FastSupertrend_optim3_rsi_75sell,6064,21738.5002968,6064,4590.61751168,17147.8827851
FastSupertrend_optim3_rsi_70,5993,20006.3163901,5993,2510.23898124,17496.0774089
FastSupertrend_optim3_rsi_752,7790,19460.8701118,7790,5661.93214373,13798.9379681
wavetrend,1175,10398.2562363,1175,-5897.99179801,16296.2480343
simple_vwap_v1,268,9681.7963374,268,6449.04508743,3232.75124997
FastSupertrend_optim3_rsi_75fix_signal,4654,9515.37170038,4654,1749.71773711,7765.65396326
Ichimoku_v31,553,9157.45603116,553,9792.51779284,-635.061761676
SupertrendStrategy,1332,8399.10475742,1332,10535.9148173,-2136.81005985
CrossEMAStrategy,1364,7888.81424225,1364,10222.408909,-2333.59466679
Ichimoku_v37,193,7470.79354983,193,7832.47581648,-361.68226665
ZaratustraDCA5,4161,6898.37540187,4161,-243.6594257,7142.03482757
EI3v2_tag_cofi_green,757,6728.4911981,757,1958.07048555,4770.42071255
Ichimoku_SenkouSpanCross,114,6389.07737201,114,6909.1895027,-520.11213069
keltnerchannel,620,6328.27879543,620,7827.79083449,-1499.51203906
BuyOrDie,843,6185.14709656,843,14567.8284147,-8382.68131814
AlligatorStrategy,635,5985.13605731,635,7078.39931974,-1093.26326244
Ichimoku_v32,120,5903.20186508,120,6133.83856579,-230.636700705
SUPPORT_RESISTANCE,365,5485.98190079,365,6092.00912482,-606.027224032
ActionZone,191,5104.96256957,191,13488.4497422,-8383.48717265
cryptotank,595,4984.69416389,595,-6090.13784334,11074.8320072
IchimokuCloudStrategy,253,4924.96359133,253,5284.67698818,-359.713396851
MultiActionZone,118,4841.73718152,118,5048.83133189,-207.094150373
EmaCrossStrategy,715,4800.321629,715,5807.1755791,-1006.85395009
E0V1E_DCA3,407,4601.28594529,407,1586.3943911,3014.89155419
MFI2,257,4243.5622991,257,4800.89828983,-557.335990735
MACDZeroCrossStrategy,121,4231.0588064,121,5417.73630821,-1186.67750181
NowoIchimoku1hV2,1160,4218.41920565,1160,-9167.97949835,13386.398704
ZaratustraDCA2_06,1896,4207.51831347,1896,-71.9781683724,4279.49648185
HEAD_SHOULDER,160,4161.86669093,160,2105.20645561,2056.66023531
ClucFiatSlow,1377,3614.62070459,1377,2096.30603783,1518.31466676
ClucFiatROI,1377,3614.62070459,1377,2096.30603783,1518.31466676
FSampleStrategy,388,3539.52446353,388,11486.3520095,-7946.82754596
SMAOffset_Hippocritical_dca_leverage,138,3527.41950019,138,-252.716777753,3780.13627795
chatgpt,1976,3256.13850693,1976,6892.69891586,-3636.56040893
UniversalMACD,466,3146.8829388,466,3085.71758433,61.1653544662
CombinedBinHAndClucV3,473,3111.32381377,473,1712.56903461,1398.75477916
Ichimoku_v30,36,3062.46306835,36,3100.34853222,-37.8854638749
AdaptiveRegime,142,3057.57337123,142,7858.19017051,-4800.61679928
