strategy_id,regimes_covered,worst_regime,worst_regime_return,median_regime_excess_return,regime_consistency
wavetrend,4,BEAR,0.0113556396989,0.0121589205116,1
cryptotank,4,SIDEWAYS,0.0104200705335,0.017075175289,1
NowoIchimoku1hV2,4,SIDEWAYS,0.00965171040437,0.0112617517052,1
simple_vwap_v1,4,SIDEWAYS,0.00850290873397,0.0145911569919,1
SimpleHopt1Along,4,BEAR,0.00771977431635,0.00897852896483,1
hlhb,4,SIDEWAYS,0.00727617310804,0.00799350807829,1
NASOSv5_mod3,4,TRANSITION,0.0054044823736,0.0134600892415,1
Obelisk_TradePro_Ichi_v2_1,4,TRANSITION,0.00472267811679,0.00592241535679,1
FSupertrendStrategy,4,TRANSITION,0.00448243889092,0.00531380901399,1
EI3v2_tag_cofi_green,4,BEAR,0.00439433095533,0.00603065233836,1
E0V1E_DCA3,4,TRANSITION,0.00396223185288,0.00701569149002,1
GKD_HurstExponent,4,SIDEWAYS,0.0030582218753,0.00355215182235,1
NotAnotherSMAOffsetStrategyHOv3,4,SIDEWAYS,0.00256662079927,0.00641595476989,1
AlligatorStrat,4,BEAR,0.00209799450269,0.00232940607789,1
CombinedBinHClucAndMADV3,4,TRANSITION,0.00208761601398,0.00289941302142,1
FastSupertrendOpt,4,BEAR,0.00204980980118,0.00393679533545,1
NEWTEST15m,4,BULL,0.00196983356394,0.00420687610797,1
eltoro1_4,4,SIDEWAYS,0.001831668352,0.00846991562347,1
wavetrend_rsi,4,SIDEWAYS,0.00175837186697,0.00423614136496,1
LeoStrategy,4,BEAR,0.00141071501338,0.00234107070753,1
Obelisk_TradePro_Ichi_v2,4,BEAR,0.0013968588365,0.00172959349534,1
RSIv2,4,SIDEWAYS,0.00134270523314,0.00197835646683,1
CombinedBinHAndClucV3,4,TRANSITION,0.00128497765507,0.00307360152085,1
ZaratustraDCA5,4,BEAR,0.00117763666966,0.00179131299267,1
ElliotV8_original_ichiv2,4,BEAR,0.00114739241871,0.00543504825398,1
Chispei,4,TRANSITION,0.00103794775879,0.0034989504183,1
chispei,4,TRANSITION,0.00103794775879,0.0034989504183,1
ClucHAnix_5M_E0V1E,4,SIDEWAYS,0.000970782274785,0.0016294070687,1
Trend_Strength_Directional,4,SIDEWAYS,0.000942703493436,0.00143177314462,1
FastSupertrend_optim_quick,4,TRANSITION,0.00088952015579,0.00169767870352,1
SimpleHopt,4,SIDEWAYS,0.000809808667024,0.0010165014286,1
BBKCBounce,4,BULL,0.000789630903644,0.00248099774532,1
adaptive,4,TRANSITION,0.000732289012484,0.0034181006005,1
FrostAuraM11hStrategy,4,SIDEWAYS,0.000669153213904,0.00378003023531,1
ultratank,4,SIDEWAYS,0.00043388295988,0.00421229179472,1
SwingHigh,4,SIDEWAYS,0.000421239750949,0.00171988385581,1
NotAnotherSMAOffsetStrategyLite,4,BEAR,0.000353717450679,0.00177889376795,1
Hammer,4,BULL,0.000348071141904,0.00591613563293,1
ElliotV8_original_ichiv3,4,BEAR,0.000301167130817,0.00196428860456,1
BBRSIStrategy,4,SIDEWAYS,0.000145123181335,0.000534614047179,1
Squeeze001,4,SIDEWAYS,8.85664444958e-05,0.00185629018421,1
adxbbrsi2,4,BEAR,8.41454304061e-05,0.00297897266917,1
Simple,4,BULL,7.46967118806e-05,0.000226601875399,1
Schism2,4,SIDEWAYS,3.46722756655e-06,0.000657109752566,1
Schism4,4,SIDEWAYS,-7.25915298314e-05,0.000123794647525,0.5
NASOSv4,4,BEAR,-8.27194297175e-05,0.0105268092385,0.75
FastSupertrend_optim3_rsi_70,4,BEAR,-0.000103991072018,0.00221378575093,0.75
BuyOnly,4,TRANSITION,-0.000129513947715,0.000493485779332,0.75
BBRSINaiveStrategy,4,SIDEWAYS,-0.000129847782195,0.000540337024342,0.75
MACDStrategyBTC,4,SIDEWAYS,-0.000170356445903,0.000195759972164,0.75
Schism3,4,BULL,-0.000208028308118,0.000136449442094,0.75
SampleStrategyV2,4,SIDEWAYS,-0.000261590498209,-0.000127827245268,0.25
MFIRSICross,4,TRANSITION,-0.00030425062604,-0.000148810432008,0.25
ClucFiatSlow,4,SIDEWAYS,-0.00031795519325,0.000841419330631,0.75
ClucFiatROI,4,SIDEWAYS,-0.00031795519325,0.000841419330631,0.75
cryptohassle,4,BEAR,-0.000351625455579,-8.17399709254e-05,0.5
FastSupertrend_optim3_rsi_80,4,TRANSITION,-0.000366426290893,0.0018117905238,0.5
BB_Strategy04,4,SIDEWAYS,-0.000394460806293,0.00268885812276,0.75
Quickie,4,SIDEWAYS,-0.000422620537466,1.71589202463e-05,0.5
EMABBRSI,4,SIDEWAYS,-0.000428177466867,3.75919931048e-05,0.5
ADX_15M_USDT2,4,SIDEWAYS,-0.000429830347592,0.000490788955077,0.75
CBPete9,4,TRANSITION,-0.000433547036332,0.00021338277661,0.5
momentum_long,4,SIDEWAYS,-0.000490361029614,0.000249715053119,0.75
ADX_15M_USDT,4,SIDEWAYS,-0.00053816452269,-0.000216584171326,0.25
MACDStrategy_crossed,4,TRANSITION,-0.000580922508436,-0.000168494372853,0.5
FastSupertrend_optim3,4,TRANSITION,-0.000594354248143,0.0018136443509,0.5
fahmibah,4,SIDEWAYS,-0.000595317500749,-0.000281410472501,0
CombinedBinHClucAndMADV9,4,TRANSITION,-0.000640222253415,8.55765979908e-05,0.5
FastSupertrend_optim3_rsi_752,4,BEAR,-0.00068456444024,0.00115958859647,0.75
CombinedBinHAndClucV4,4,TRANSITION,-0.000698728201717,0.00117626143061,0.75
KAMACCIRSI,4,BEAR,-0.000731283724437,-0.000599225704389,0.25
Saturn5,4,TRANSITION,-0.000736509076244,0.0025924473511,0.75
NFI46Z,4,BEAR,-0.000756171466805,-3.4620679478e-05,0.5
FastSupertrend_optim3_rsi_75sell,4,BEAR,-0.00076878781819,0.0016912138105,0.5
PowerTower,4,BEAR,-0.000780034365053,-6.66044808534e-05,0.5
