strategy_id,btc_regime,trades,long_trades,short_trades,profit_abs,mean_profit_ratio,wins,gross_profit,gross_loss,mean_duration_minutes,active_dates,profit_factor,win_rate
BBRSIv2,BEAR,134,134,0,386.84376312,0.0141160213564,131,707.95002668,321.10626356,29579.6641791,96,2.20472194728,0.977611940299
BBRSIv2,BULL,220,220,0,-71.37279268,0.0042105662926,214,876.08944001,947.46223269,45772.0909091,145,0.924669511652,0.972727272727
BBRSIv2,SIDEWAYS,104,104,0,263.93818885,0.0100854969955,103,451.18706165,187.2488728,24606.4903846,83,2.40955822539,0.990384615385
BBRSIv2,TRANSITION,101,101,0,269.73524521,0.014611432989,100,420.51956071,150.7843155,25283.3168317,71,2.78888131909,0.990099009901
BigTrader,BEAR,50,50,0,247.006984,0.0327478314498,50,247.006984,0,679.7,9,,1
BigTrader,BULL,49,49,0,240.8142405,0.0298665202045,49,240.8142405,0,967.244897959,18,,1
BigTrader,SIDEWAYS,23,23,0,134.56818404,0.0299388720572,23,134.56818404,0,131.739130435,6,,1
BigTrader,TRANSITION,32,32,0,149.60888782,0.0270502963437,32,149.60888782,0,964.375,11,,1
BigZ03,BEAR,196,196,0,523.88510642,0.0135800032458,192,675.96677814,152.08167172,5910.84183673,72,4.44476162377,0.979591836735
BigZ03,BULL,266,266,0,435.98347347,0.0101274227936,254,823.44781394,387.46434047,3548.17669173,115,2.12522218933,0.954887218045
BigZ03,SIDEWAYS,130,130,0,287.95527281,0.00938187093941,122,403.17876033,115.22348752,7041.65384615,67,3.49910221438,0.938461538462
BigZ03,TRANSITION,175,175,0,274.60977519,0.00495219428183,165,531.85450254,257.24472735,4911.82857143,97,2.06750399909,0.942857142857
BigZ03HO,BEAR,2335,2335,0,-189.85298288,-0.000823693269614,1887,810.86239173,1000.71537461,1371.74946467,385,0.810282736034,0.808137044968
BigZ03HO,BULL,5315,5315,0,-186.52181654,-0.00112453268931,4174,2203.61859907,2390.14041561,1768.66415804,602,0.921961983772,0.785324553151
BigZ03HO,SIDEWAYS,1762,1762,0,42.85242301,0.00090991592873,1409,711.78233036,668.92990735,1699.26220204,313,1.06406115579,0.799659477866
BigZ03HO,TRANSITION,1837,1837,0,-597.23691068,-0.0038991787175,1452,877.23728505,1474.47419573,3046.19216113,289,0.594949228403,0.790419161677
BigZ04_TSL3,BEAR,411,411,0,-489.59686454,-0.0142967191133,192,172.70675241,662.30361695,446.934306569,99,0.260766735965,0.467153284672
BigZ04_TSL3,BULL,349,349,0,-68.80247543,-0.00418271499314,200,185.32988379,254.13235922,1204.85673352,124,0.729265192197,0.573065902579
BigZ04_TSL3,SIDEWAYS,248,248,0,-54.85766243,-0.00587409084181,169,125.67797675,180.53563918,1132.52016129,80,0.696139428873,0.681451612903
BigZ04_TSL3,TRANSITION,295,295,0,-135.01728179,-0.0071098878199,192,148.77237677,283.78965856,1491.22033898,108,0.52423466565,0.650847457627
BigZ04_TSL4,BEAR,447,447,0,-485.87989635,-0.0129447093967,216,189.58945608,675.46935243,424.362416107,107,0.280678102416,0.48322147651
BigZ04_TSL4,BULL,380,380,0,-71.92800209,-0.00414388120604,223,206.35140895,278.27941104,1170.43421053,139,0.741525965499,0.586842105263
BigZ04_TSL4,SIDEWAYS,257,257,0,-49.69077475,-0.00518684158446,177,129.79119014,179.48196489,1168.13229572,86,0.723143354373,0.688715953307
BigZ04_TSL4,TRANSITION,314,314,0,-142.39075565,-0.00714836964062,204,159.78633731,302.17709296,1463.51910828,114,0.528783753079,0.649681528662
BinClucMad,BEAR,416,416,0,807.95648781,0.00701601103867,302,1867.4354603,1059.47897249,246.213942308,155,1.76259794558,0.725961538462
BinClucMad,BULL,743,743,0,1562.72667598,0.00855219409847,581,2861.41782598,1298.69115,244.31359354,268,2.20330894376,0.781965006729
BinClucMad,SIDEWAYS,443,443,0,358.06058884,0.00304882299875,307,1405.74056208,1047.67997324,330.598194131,190,1.34176523174,0.693002257336
BinClucMad,TRANSITION,427,427,0,-245.44004784,-0.00105604203997,266,1263.43964933,1508.87969717,362.306791569,172,0.837336238071,0.622950819672
BuyRegions,BEAR,4618,4618,0,-1689.78887217,-0.00300682902116,3695,4440.18996207,6129.97883424,1037.38847986,528,0.724340178349,0.800129926375
BuyRegions,BULL,5102,5102,0,530.39459895,0.00126142417666,4296,6128.19056103,5597.79596208,1187.625441,621,1.09475061302,0.842022736182
BuyRegions,SIDEWAYS,3000,3000,0,977.38231597,0.00175666273646,2609,2712.33178013,1734.94946416,1539.445,477,1.56334915579,0.869666666667
BuyRegions,TRANSITION,3060,3060,0,-785.43945492,-0.00526664797525,2422,3282.19048279,4067.62993771,1412.61764706,442,0.806904888855,0.791503267974
Cluc7werk,BEAR,579,579,0,-345.89275112,-0.00960875791044,99,65.34792695,411.24067807,2.82210708117,77,0.158904336158,0.170984455959
Cluc7werk,BULL,868,868,0,-360.51495788,-0.00890397732205,187,87.53581366,448.05077154,6.54147465438,130,0.19537030002,0.215437788018
Cluc7werk,SIDEWAYS,274,274,0,-45.77271162,-0.00761605794982,71,30.22727767,75.99998929,13.8467153285,58,0.397727393811,0.259124087591
Cluc7werk,TRANSITION,442,442,0,-161.15015534,-0.00988815219237,75,31.05905273,192.20920807,5.66515837104,80,0.161589827261,0.169683257919
ClucHAnix_5M_E0V1E,BEAR,1596,1596,0,-288.06466961,-0.000638567928082,1060,2904.66219997,3192.72686958,184.934210526,293,0.90977472193,0.664160401003
ClucHAnix_5M_E0V1E,BULL,1557,1557,0,730.70796358,0.00416311674785,1149,2945.43501726,2214.72705368,153.041104689,299,1.32993138471,0.73795761079
