strategy_id,btc_regime,episodes,positive_episodes,negative_episodes,median_episode_profit,worst_episode_profit,best_episode_profit,episode_win_rate
FAdxSmaStrategy,BEAR,1,1,0,20.84465941,20.84465941,20.84465941,1
FAdxSmaStrategy,TRANSITION,1,1,0,1.25724436,1.25724436,1.25724436,1
FSupertrendStrategy,BEAR,1,0,1,-5.97891876,-5.97891876,-5.97891876,0
FSupertrendStrategy,TRANSITION,1,0,1,-26.40323234,-26.40323234,-26.40323234,0
FastSupertrend_ts_origstop_fix,BEAR,1,0,1,-153.51847104,-153.51847104,-153.51847104,0
FastSupertrend_ts_origstop_fix,TRANSITION,2,1,1,62.44337766,-73.92541529,198.81217061,0.5
RegimeFilterStrategy,BEAR,1,0,1,-17.46007467,-17.46007467,-17.46007467,0
RegimeFilterStrategy,TRANSITION,2,1,1,38.890866635,-6.36408633,84.1458196,0.5
momentum,BEAR,1,0,1,-301.20942318,-301.20942318,-301.20942318,0
momentum,TRANSITION,2,1,1,62.863729675,-30.83246228,156.55992163,0.5
momentum_rsi,BEAR,1,0,1,-252.40724235,-252.40724235,-252.40724235,0
momentum_rsi,TRANSITION,2,1,1,57.221466875,-30.83246228,145.27539603,0.5
momentum_wick,BEAR,2,1,1,-47.028000415,-104.17616926,10.12016843,0.5
momentum_wick,TRANSITION,2,2,0,20.22068642,9.65544108,30.78593176,1
