strategy_id,btc_regime,coin_regime,trades,long_trades,short_trades,profit_abs,mean_profit_ratio,wins,gross_profit,gross_loss,mean_duration_minutes,active_dates,profit_factor,win_rate
BBRSIv2,BEAR,BEAR,96,96,0,368.78027746,0.0163698373242,95,465.4483018,96.66802434,17043.125,74,4.81491480743,0.989583333333
BBRSIv2,BEAR,BULL,9,9,0,77.17346806,0.0315954552967,9,77.17346806,0,12441.6666667,8,,1
BBRSIv2,BEAR,SIDEWAYS,9,9,0,-171.98968864,-0.0401943815946,8,49.84653736,221.836226,67543.3333333,9,0.22469971771,0.888888888889
BBRSIv2,BEAR,TRANSITION,20,20,0,112.87970624,0.0198716407657,19,115.48171946,2.60201322,80383.5,19,44.3816805281,0.95
BBRSIv2,BULL,BEAR,9,9,0,52.00575799,0.03042994822,9,52.00575799,0,753.333333333,8,,1
BBRSIv2,BULL,BULL,139,139,0,-163.93708889,-0.000453994468376,134,546.8660918,710.80318069,52993.1654676,101,0.769363596923,0.964028776978
BBRSIv2,BULL,SIDEWAYS,39,39,0,-93.13688337,0.00139922596871,38,143.52216863,236.659052,59440.3846154,35,0.606451210791,0.974358974359
BBRSIv2,BULL,TRANSITION,33,33,0,133.69542159,0.0200300142035,33,133.69542159,0,11480.4545455,27,,1
BBRSIv2,SIDEWAYS,BEAR,5,5,0,13.39845033,0.0130056789937,5,13.39845033,0,2655,5,,1
BBRSIv2,SIDEWAYS,BULL,15,15,0,-130.99283693,-0.0220938836884,14,56.25603587,187.2488728,91898,13,0.300434576875,0.933333333333
BBRSIv2,SIDEWAYS,SIDEWAYS,54,54,0,248.46717357,0.0151844727574,54,248.46717357,0,15906.6666667,47,,1
BBRSIv2,SIDEWAYS,TRANSITION,30,30,0,133.06540188,0.0165103339665,30,133.06540188,0,10279,28,,1
BBRSIv2,TRANSITION,BEAR,18,18,0,71.69871043,0.0181725210823,18,71.69871043,0,12780.8333333,12,,1
BBRSIv2,TRANSITION,BULL,27,27,0,106.89720522,0.0177599186862,27,106.89720522,0,8277.77777778,23,,1
BBRSIv2,TRANSITION,SIDEWAYS,18,18,0,84.49907833,0.020107641404,18,84.49907833,0,6507.5,18,,1
BBRSIv2,TRANSITION,TRANSITION,38,38,0,6.64025123,0.00808405270027,37,157.42456673,150.7843155,52182.2368421,31,1.04403807656,0.973684210526
BigTrader,BEAR,BEAR,33,33,0,161.59640205,0.0338215345264,33,161.59640205,0,957.272727273,8,,1
BigTrader,BEAR,BULL,6,6,0,23.78813473,0.0244221094491,6,23.78813473,0,126.666666667,1,,1
BigTrader,BEAR,SIDEWAYS,5,5,0,33.1451836,0.0410521886058,5,33.1451836,0,4,2,,1
BigTrader,BEAR,TRANSITION,6,6,0,28.47726362,0.0282478888987,6,28.47726362,0,269.166666667,4,,1
BigTrader,BULL,BEAR,4,4,0,27.98705953,0.0475266120502,4,27.98705953,0,3147.5,4,,1
BigTrader,BULL,BULL,30,30,0,135.83377604,0.0286561658339,30,135.83377604,0,727,14,,1
BigTrader,BULL,SIDEWAYS,6,6,0,29.21899919,0.022737220716,6,29.21899919,0,5,2,,1
BigTrader,BULL,TRANSITION,9,9,0,47.77440574,0.0308049713895,9,47.77440574,0,1440.55555556,4,,1
BigTrader,SIDEWAYS,BEAR,3,3,0,18.60434136,0.031584809083,3,18.60434136,0,548.333333333,3,,1
BigTrader,SIDEWAYS,SIDEWAYS,12,12,0,66.71558514,0.0283201993996,12,66.71558514,0,60.8333333333,5,,1
BigTrader,SIDEWAYS,TRANSITION,8,8,0,49.24825754,0.0317496546589,8,49.24825754,0,81.875,5,,1
BigTrader,TRANSITION,BEAR,5,5,0,25.66536778,0.0268791183143,5,25.66536778,0,669,2,,1
BigTrader,TRANSITION,BULL,6,6,0,25.99527089,0.0249154161925,6,25.99527089,0,12.5,3,,1
